學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,前一學年度錄取1年級在學學生人數(A),當學年度2年級在學學生數(B),前一學年度學生就學穩定率(%)(C)(C=B/A)
108,私立,技專校院,1037,正修學校財團法人正修科技大學,學士班(進修),2481,1979,79.7700
108,私立,技專校院,1038,萬能學校財團法人萬能科技大學,學士班(日間),1758,1463,83.2200
108,私立,技專校院,1038,萬能學校財團法人萬能科技大學,學士班(進修),1383,709,51.2700
108,私立,一般大學,1039,玄奘大學,學士班(日間),485,395,81.4400
108,私立,一般大學,1039,玄奘大學,學士班(進修),88,21,23.8600
108,私立,技專校院,1040,建國科技大學,學士班(日間),1281,1094,85.4000
108,私立,技專校院,1040,建國科技大學,學士班(進修),742,531,71.5600
108,私立,技專校院,1041,明志科技大學,學士班(日間),896,844,94.2000
108,私立,技專校院,1041,明志科技大學,學士班(進修),133,116,87.2200
108,私立,技專校院,1042,高苑科技大學,學士班(日間),362,254,70.1700
108,私立,技專校院,1042,高苑科技大學,學士班(進修),252,174,69.0500
108,私立,技專校院,1043,大仁科技大學,學士班(日間),914,757,82.8200
108,私立,技專校院,1043,大仁科技大學,學士班(進修),945,562,59.4700
108,私立,技專校院,1044,聖約翰科技大學,五專,66,47,71.2100
108,私立,技專校院,1044,聖約翰科技大學,學士班(日間),531,276,51.9800
108,私立,技專校院,1044,聖約翰科技大學,學士班(進修),196,114,58.1600
108,私立,技專校院,1045,嶺東科技大學,學士班(日間),1819,1649,90.6500
108,私立,技專校院,1045,嶺東科技大學,學士班(進修),801,479,59.8000
108,私立,技專校院,1046,中國科技大學,二專(進修),24,22,91.6700
108,私立,技專校院,1046,中國科技大學,學士班(日間),1655,1442,87.1300
108,私立,技專校院,1046,中國科技大學,學士班(進修),409,257,62.8400
108,私立,技專校院,1047,中臺科技大學,學士班(日間),1494,1353,90.5600
108,私立,技專校院,1047,中臺科技大學,學士班(進修),798,614,76.9400
108,私立,一般大學,1048,亞洲大學,學士班(日間),2262,2067,91.3800
108,私立,一般大學,1048,亞洲大學,學士班(進修),287,207,72.1300
108,私立,一般大學,1049,開南大學,學士班(日間),899,720,80.0900
108,私立,一般大學,1049,開南大學,學士班(進修),248,138,55.6500
108,私立,一般大學,1050,佛光大學,學士班(日間),698,622,89.1100
108,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,五專,201,189,94.0300
108,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,學士班(日間),2062,1850,89.7200
108,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,學士班(進修),996,666,66.8700
108,私立,技專校院,1052,遠東科技大學,二專(進修),20,17,85.0000
108,私立,技專校院,1052,遠東科技大學,學士班(日間),1043,832,79.7700
108,私立,技專校院,1052,遠東科技大學,學士班(進修),211,161,76.3000
108,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,學士班(日間),1090,841,77.1600
108,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,學士班(進修),520,421,80.9600
108,私立,技專校院,1054,景文科技大學,學士班(日間),1130,951,84.1600
108,私立,技專校院,1054,景文科技大學,學士班(進修),597,329,55.1100
108,私立,技專校院,1055,中華醫事科技大學,二專(日間),48,48,100.0000
108,私立,技專校院,1055,中華醫事科技大學,五專,601,570,94.8400
108,私立,技專校院,1055,中華醫事科技大學,學士班(日間),1124,1022,90.9300
108,私立,技專校院,1055,中華醫事科技大學,學士班(進修),563,412,73.1800
108,私立,技專校院,1056,東南科技大學,學士班(日間),1292,1022,79.1000
108,私立,技專校院,1056,東南科技大學,學士班(進修),221,141,63.8000
108,私立,技專校院,1057,德明財經科技大學,學士班(日間),1701,1528,89.8300
108,私立,技專校院,1057,德明財經科技大學,學士班(進修),133,82,61.6500
108,私立,一般大學,1058,明道學校財團法人明道大學,學士班(日間),459,370,80.6100
108,私立,一般大學,1058,明道學校財團法人明道大學,學士班(進修),197,153,77.6600
108,私立,技專校院,1060,南開科技大學,五專,114,103,90.3500
108,私立,技專校院,1060,南開科技大學,學士班(日間),553,467,84.4500
108,私立,技專校院,1060,南開科技大學,學士班(進修),186,144,77.4200
108,私立,技專校院,1061,中華學校財團法人中華科技大學,學士班(日間),888,760,85.5900
108,私立,技專校院,1061,中華學校財團法人中華科技大學,學士班(進修),439,295,67.2000
108,私立,技專校院,1062,僑光科技大學,學士班(日間),1541,1402,90.9800
108,私立,技專校院,1062,僑光科技大學,學士班(進修),1216,910,74.8400
108,私立,技專校院,1063,廣亞學校財團法人育達科技大學,學士班(日間),393,340,86.5100
108,私立,技專校院,1063,廣亞學校財團法人育達科技大學,學士班(進修),771,566,73.4100
108,私立,技專校院,1064,美和學校財團法人美和科技大學,二專(進修),17,13,76.4700
108,私立,技專校院,1064,美和學校財團法人美和科技大學,五專,350,328,93.7100
108,私立,技專校院,1064,美和學校財團法人美和科技大學,學士班(日間),768,694,90.3600
108,私立,技專校院,1064,美和學校財團法人美和科技大學,學士班(進修),658,467,70.9700
108,私立,技專校院,1065,吳鳳科技大學,學士班(日間),888,792,89.1900
108,私立,技專校院,1065,吳鳳科技大學,學士班(進修),232,166,71.5500
108,私立,技專校院,1066,環球學校財團法人環球科技大學,二專(進修),102,61,59.8000
108,私立,技專校院,1066,環球學校財團法人環球科技大學,學士班(日間),588,472,80.2700
108,私立,技專校院,1066,環球學校財團法人環球科技大學,學士班(進修),541,382,70.6100
108,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,學士班(日間),249,167,67.0700
108,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,學士班(進修),74,59,79.7300
108,私立,技專校院,1068,中州學校財團法人中州科技大學,學士班(日間),196,161,82.1400
108,私立,技專校院,1068,中州學校財團法人中州科技大學,學士班(進修),766,432,56.4000
108,私立,技專校院,1069,修平學校財團法人修平科技大學,學士班(日間),868,716,82.4900
108,私立,技專校院,1069,修平學校財團法人修平科技大學,學士班(進修),438,339,77.4000
108,私立,技專校院,1070,長庚學校財團法人長庚科技大學,學士班(日間),1604,1562,97.3800
108,私立,技專校院,1070,長庚學校財團法人長庚科技大學,學士班(進修),556,516,92.8100
108,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,五專,189,168,88.8900
108,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,學士班(日間),1764,1488,84.3500
108,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,學士班(進修),341,121,35.4800
108,私立,技專校院,1072,大華學校財團法人敏實科技大學,二專(進修),63,0,0.0000
108,私立,技專校院,1072,大華學校財團法人敏實科技大學,五專,40,29,72.5000
108,私立,技專校院,1072,大華學校財團法人敏實科技大學,學士班(日間),25,19,76.0000
108,私立,技專校院,1072,大華學校財團法人敏實科技大學,學士班(進修),178,53,29.7800
108,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,五專,86,74,86.0500
108,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,學士班(日間),1195,980,82.0100
108,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,學士班(進修),620,203,32.7400
108,私立,技專校院,1075,文藻學校財團法人文藻外語大學,五專,311,304,97.7500
108,私立,技專校院,1075,文藻學校財團法人文藻外語大學,學士班(日間),1300,1179,90.6900
108,私立,技專校院,1075,文藻學校財團法人文藻外語大學,學士班(進修),635,439,69.1300
108,私立,技專校院,1076,華夏學校財團法人華夏科技大學,二專(進修),80,60,75.0000
108,私立,技專校院,1076,華夏學校財團法人華夏科技大學,五專,132,120,90.9100
108,私立,技專校院,1076,華夏學校財團法人華夏科技大學,學士班(日間),475,312,65.6800
108,私立,技專校院,1076,華夏學校財團法人華夏科技大學,學士班(進修),352,238,67.6100
108,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,五專,255,248,97.2500
108,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,學士班(日間),431,403,93.5000
108,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,學士班(進修),51,35,68.6300
108,私立,技專校院,1078,致理學校財團法人致理科技大學,五專,332,308,92.7700
108,私立,技專校院,1078,致理學校財團法人致理科技大學,學士班(日間),1566,1486,94.8900
108,私立,技專校院,1078,致理學校財團法人致理科技大學,學士班(進修),856,661,77.2200
108,私立,一般大學,1079,康寧學校財團法人康寧大學,二專(進修),132,107,81.0600
108,私立,一般大學,1079,康寧學校財團法人康寧大學,五專,560,501,89.4600
108,私立,一般大學,1079,康寧學校財團法人康寧大學,學士班(日間),112,60,53.5700
108,私立,一般大學,1079,康寧學校財團法人康寧大學,學士班(進修),80,33,41.2500
108,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,二專(進修),92,71,77.1700
108,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,五專,240,206,85.8300
108,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,學士班(日間),743,579,77.9300
108,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,學士班(進修),814,603,74.0800
108,私立,技專校院,1081,東方學校財團法人東方設計大學,五專,119,99,83.1900
108,私立,技專校院,1081,東方學校財團法人東方設計大學,學士班(日間),129,108,83.7200
108,私立,技專校院,1081,東方學校財團法人東方設計大學,學士班(進修),36,24,66.6700
108,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,學士班(日間),392,307,78.3200
108,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,二專(日間),29,26,89.6600
108,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,二專(進修),40,31,77.5000
108,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,五專,144,126,87.5000
108,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,學士班(日間),725,585,80.6900
108,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,學士班(進修),126,94,74.6000
108,私立,一般大學,1125,中信學校財團法人中信金融管理學院,學士班(日間),195,162,83.0800
108,私立,技專校院,1148,大漢技術學院,二專(進修),79,60,75.9500
108,私立,技專校院,1148,大漢技術學院,學士班(日間),87,63,72.4100
108,私立,技專校院,1148,大漢技術學院,學士班(進修),249,165,66.2700
108,私立,技專校院,1159,和春技術學院,二專(進修),82,66,80.4900
108,私立,技專校院,1159,和春技術學院,五專,19,11,57.8900
108,私立,技專校院,1159,和春技術學院,學士班(日間),65,53,81.5400
108,私立,技專校院,1159,和春技術學院,學士班(進修),142,94,66.2000
108,私立,技專校院,1166,亞東技術學院,學士班(日間),1176,1077,91.5800
108,私立,技專校院,1166,亞東技術學院,學士班(進修),46,43,93.4800
108,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,二專(進修),18,9,50.0000
108,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,五專,59,46,77.9700
108,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,學士班(日間),401,315,78.5500
108,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,學士班(進修),252,156,61.9000
108,私立,一般大學,1176,稻江科技暨管理學院,學士班(日間),450,287,63.7800
108,私立,一般大學,1176,稻江科技暨管理學院,學士班(進修),190,132,69.4700
108,私立,技專校院,1182,蘭陽技術學院,五專,65,45,69.2300
108,私立,技專校院,1182,蘭陽技術學院,學士班(日間),132,104,78.7900
108,私立,技專校院,1183,黎明技術學院,二專(進修),53,0,0.0000
108,私立,技專校院,1183,黎明技術學院,五專,77,69,89.6100
108,私立,技專校院,1183,黎明技術學院,學士班(日間),835,707,84.6700
108,私立,技專校院,1183,黎明技術學院,學士班(進修),416,258,62.0200
108,私立,技專校院,1185,經國管理暨健康學院,五專,232,199,85.7800
108,私立,技專校院,1185,經國管理暨健康學院,學士班(日間),571,477,83.5400
108,私立,技專校院,1185,經國管理暨健康學院,學士班(進修),86,48,55.8100
108,私立,技專校院,1188,大同技術學院,五專,14,10,71.4300
108,私立,技專校院,1188,大同技術學院,學士班(日間),232,183,78.8800
108,私立,技專校院,1188,大同技術學院,學士班(進修),275,154,56.0000
108,私立,技專校院,1192,臺灣觀光學院,二專(進修),30,25,83.3300
108,私立,技專校院,1192,臺灣觀光學院,五專,3,2,66.6700
108,私立,技專校院,1192,臺灣觀光學院,學士班(日間),82,37,45.1200
108,私立,技專校院,1192,臺灣觀光學院,學士班(進修),60,43,71.6700
108,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,學士班(日間),156,148,94.8700
108,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,學士班(日間),12,12,100.0000
108,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,二專(日間),27,23,85.1900
108,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,二專(進修),214,82,38.3200
108,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,五專,777,723,93.0500
108,私立,技專校院,1283,仁德醫護管理專科學校,二專(進修),232,121,52.1600
108,私立,技專校院,1283,仁德醫護管理專科學校,五專,1140,1090,95.6100
108,私立,技專校院,1284,樹人醫護管理專科學校,二專(進修),223,206,92.3800
108,私立,技專校院,1284,樹人醫護管理專科學校,五專,1488,1348,90.5900
108,私立,技專校院,1285,慈惠醫護管理專科學校,二專(日間),36,33,91.6700
108,私立,技專校院,1285,慈惠醫護管理專科學校,二專(進修),136,96,70.5900
108,私立,技專校院,1285,慈惠醫護管理專科學校,五專,749,683,91.1900
108,私立,技專校院,1286,耕莘健康管理專科學校,二專(進修),62,47,75.8100
108,私立,技專校院,1286,耕莘健康管理專科學校,五專,932,876,93.9900
108,私立,技專校院,1287,敏惠醫護管理專科學校,五專,803,771,96.0100
108,私立,技專校院,1289,育英醫護管理專科學校,五專,391,377,96.4200
108,私立,技專校院,1291,聖母醫護管理專科學校,五專,439,377,85.8800
108,私立,技專校院,1292,新生醫護管理專科學校,二專(進修),51,45,88.2400
108,私立,技專校院,1292,新生醫護管理專科學校,五專,1234,1142,92.5400
108,私立,技專校院,1293,崇仁醫護管理專科學校,五專,639,612,95.7700
108,私立,宗教研修學院,1R03,臺北基督學院,學士班(日間),19,17,89.4700
108,私立,宗教研修學院,1R04,財團法人一貫道天皇基金會一貫道天皇學院,學士班(日間),31,22,70.9700
108,公立,一般大學,3002,臺北市立大學,學士班(日間),1230,1123,91.3000
109,公立,一般大學,0001,國立政治大學,學士班(日間),1987,1917,96.4800
109,公立,一般大學,0002,國立清華大學,學士班(日間),1802,1737,96.3900
109,公立,一般大學,0003,國立臺灣大學,學士班(日間),3187,3052,95.7600
109,公立,一般大學,0004,國立臺灣師範大學,學士班(日間),1706,1624,95.1900
109,公立,一般大學,0005,國立成功大學,學士班(日間),2379,2246,94.4100
109,公立,一般大學,0006,國立中興大學,學士班(日間),1756,1647,93.7900
109,公立,一般大學,0006,國立中興大學,學士班(進修),214,191,89.2500
109,公立,一般大學,0007,國立陽明交通大學,學士班(日間),1435,1354,94.3600
109,公立,一般大學,0008,國立中央大學,學士班(日間),1331,1252,94.0600
109,公立,一般大學,0009,國立中山大學,學士班(日間),1023,969,94.7200
109,公立,一般大學,0012,國立臺灣海洋大學,學士班(日間),1342,1228,91.5100
109,公立,一般大學,0012,國立臺灣海洋大學,學士班(進修),175,137,78.2900
109,公立,一般大學,0013,國立中正大學,學士班(日間),1461,1352,92.5400
109,公立,一般大學,0014,國立高雄師範大學,學士班(日間),854,797,93.3300
109,公立,一般大學,0015,國立彰化師範大學,學士班(日間),1119,1042,93.1200
109,公立,一般大學,0016,國立陽明大學,學士班(日間),377,352,93.3700
109,公立,一般大學,0017,國立臺北大學,學士班(日間),1286,1211,94.1700
109,公立,一般大學,0017,國立臺北大學,學士班(進修),553,450,81.3700
109,公立,一般大學,0018,國立嘉義大學,學士班(日間),1742,1576,90.4700
109,公立,一般大學,0018,國立嘉義大學,學士班(進修),518,437,84.3600
109,公立,一般大學,0019,國立高雄大學,學士班(日間),1035,942,91.0100
109,公立,一般大學,0019,國立高雄大學,學士班(進修),63,42,66.6700
109,公立,一般大學,0020,國立東華大學,學士班(日間),1728,1619,93.6900
109,公立,一般大學,0021,國立暨南國際大學,學士班(日間),965,892,92.4400
109,公立,技專校院,0022,國立臺灣科技大學,學士班(日間),1258,1209,96.1000
109,公立,技專校院,0023,國立雲林科技大學,學士班(日間),1542,1488,96.5000
109,公立,技專校院,0023,國立雲林科技大學,學士班(進修),44,41,93.1800
109,公立,技專校院,0024,國立屏東科技大學,學士班(日間),1802,1660,92.1200
109,公立,技專校院,0024,國立屏東科技大學,學士班(進修),374,314,83.9600
109,公立,技專校院,0025,國立臺北科技大學,五專,31,31,100.0000
109,公立,技專校院,0025,國立臺北科技大學,學士班(日間),1438,1396,97.0800
109,公立,技專校院,0025,國立臺北科技大學,學士班(進修),433,421,97.2300
109,公立,一般大學,0028,國立臺北藝術大學,學士班(日間),363,344,94.7700
109,公立,一般大學,0029,國立臺灣藝術大學,學士班(日間),489,458,93.6600
109,公立,一般大學,0029,國立臺灣藝術大學,學士班(進修),524,482,91.9800
109,公立,一般大學,0030,國立臺東大學,學士班(日間),876,792,90.4100
109,公立,一般大學,0030,國立臺東大學,學士班(進修),146,96,65.7500
109,公立,一般大學,0031,國立宜蘭大學,學士班(日間),1032,957,92.7300
109,公立,一般大學,0031,國立宜蘭大學,學士班(進修),102,92,90.2000
109,公立,一般大學,0032,國立聯合大學,學士班(日間),1429,1304,91.2500
109,公立,一般大學,0032,國立聯合大學,學士班(進修),303,253,83.5000
109,公立,技專校院,0033,國立虎尾科技大學,二專(日間),29,28,96.5500
109,公立,技專校院,0033,國立虎尾科技大學,五專,41,39,95.1200
109,公立,技專校院,0033,國立虎尾科技大學,學士班(日間),1862,1767,94.9000
109,公立,技專校院,0033,國立虎尾科技大學,學士班(進修),724,617,85.2200
109,公立,一般大學,0035,國立臺南藝術大學,學士班(日間),133,123,92.4800
109,公立,一般大學,0036,國立臺南大學,學士班(日間),888,822,92.5700
109,公立,一般大學,0036,國立臺南大學,學士班(進修),40,30,75.0000
109,公立,一般大學,0037,國立臺北教育大學,學士班(日間),762,730,95.8000
109,公立,一般大學,0039,國立臺中教育大學,學士班(日間),735,693,94.2900
109,公立,技專校院,0042,國立澎湖科技大學,五專,11,10,90.9100
109,公立,技專校院,0042,國立澎湖科技大學,學士班(日間),663,581,87.6300
109,公立,技專校院,0042,國立澎湖科技大學,學士班(進修),79,57,72.1500
109,公立,技專校院,0043,國立勤益科技大學,學士班(日間),1623,1536,94.6400
109,公立,技專校院,0043,國立勤益科技大學,學士班(進修),949,828,87.2500
109,公立,一般大學,0044,國立體育大學,學士班(日間),411,376,91.4800
109,公立,一般大學,0044,國立體育大學,學士班(進修),44,37,84.0900
109,公立,技專校院,0046,國立臺北護理健康大學,學士班(日間),1115,1063,95.3400
109,公立,技專校院,0046,國立臺北護理健康大學,學士班(進修),238,222,93.2800
109,公立,技專校院,0047,國立高雄餐旅大學,五專,52,51,98.0800
109,公立,技專校院,0047,國立高雄餐旅大學,學士班(日間),732,698,95.3600
109,公立,技專校院,0047,國立高雄餐旅大學,學士班(進修),335,326,97.3100
109,公立,一般大學,0048,國立金門大學,學士班(日間),762,621,81.5000
109,公立,一般大學,0048,國立金門大學,學士班(進修),259,186,71.8100
109,公立,一般大學,0049,國立臺灣體育運動大學,學士班(日間),567,496,87.4800
109,公立,一般大學,0049,國立臺灣體育運動大學,學士班(進修),98,77,78.5700
109,公立,技專校院,0050,國立臺中科技大學,五專,758,734,96.8300
109,公立,技專校院,0050,國立臺中科技大學,學士班(日間),1879,1794,95.4800
109,公立,技專校院,0050,國立臺中科技大學,學士班(進修),694,598,86.1700
109,公立,技專校院,0051,國立臺北商業大學,五專,345,333,96.5200
109,公立,技專校院,0051,國立臺北商業大學,學士班(日間),836,803,96.0500
109,公立,技專校院,0051,國立臺北商業大學,學士班(進修),571,482,84.4100
109,公立,一般大學,0052,國立屏東大學,學士班(日間),1539,1454,94.4800
109,公立,一般大學,0052,國立屏東大學,學士班(進修),225,192,85.3300
109,公立,技專校院,0053,國立高雄科技大學,五專,183,177,96.7200
109,公立,技專校院,0053,國立高雄科技大學,學士班(日間),4314,4110,95.2700
109,公立,技專校院,0053,國立高雄科技大學,學士班(進修),1049,875,83.4100
109,公立,技專校院,0144,國立臺灣戲曲學院,學士班(日間),141,125,88.6500
109,公立,技專校院,0221,國立臺南護理專科學校,二專(日間),55,50,90.9100
109,公立,技專校院,0221,國立臺南護理專科學校,五專,363,352,96.9700
109,公立,技專校院,0222,國立臺東專科學校,二專(日間),291,258,88.6600
109,公立,技專校院,0222,國立臺東專科學校,二專(進修),75,58,77.3300
109,公立,技專校院,0222,國立臺東專科學校,五專,54,50,92.5900
109,私立,一般大學,1001,東海大學,學士班(日間),2966,2745,92.5500
109,私立,一般大學,1001,東海大學,學士班(進修),72,56,77.7800
109,私立,一般大學,1002,輔仁大學,學士班(日間),3849,3527,91.6300
109,私立,一般大學,1002,輔仁大學,學士班(進修),1066,822,77.1100
109,私立,一般大學,1003,東吳大學,學士班(日間),2632,2412,91.6400
109,私立,一般大學,1003,東吳大學,學士班(進修),259,199,76.8300
109,私立,一般大學,1004,中原大學,學士班(日間),2896,2761,95.3400
109,私立,一般大學,1005,淡江大學學校財團法人淡江大學,學士班(日間),4344,4052,93.2800
109,私立,一般大學,1005,淡江大學學校財團法人淡江大學,學士班(進修),315,194,61.5900
109,私立,一般大學,1006,中國文化大學,學士班(日間),4535,3946,87.0100
109,私立,一般大學,1006,中國文化大學,學士班(進修),570,349,61.2300
109,私立,一般大學,1007,逢甲大學,學士班(日間),3747,3594,95.9200
109,私立,一般大學,1007,逢甲大學,學士班(進修),164,125,76.2200
109,私立,一般大學,1008,靜宜大學,學士班(日間),2471,2220,89.8400
109,私立,一般大學,1009,長庚大學,學士班(日間),1111,1014,91.2700
109,私立,一般大學,1010,元智大學,學士班(日間),1596,1493,93.5500
109,私立,一般大學,1011,中華大學學校財團法人中華大學,學士班(日間),968,792,81.8200
109,私立,一般大學,1011,中華大學學校財團法人中華大學,學士班(進修),263,58,22.0500
109,私立,一般大學,1012,大葉大學,學士班(日間),1479,1224,82.7600
109,私立,一般大學,1012,大葉大學,學士班(進修),242,93,38.4300
109,私立,一般大學,1013,華梵大學,學士班(日間),115,85,73.9100
109,私立,一般大學,1014,義守大學,學士班(日間),2711,2378,87.7200
109,私立,一般大學,1014,義守大學,學士班(進修),532,263,49.4400
109,私立,一般大學,1015,世新大學,學士班(日間),2144,1957,91.2800
109,私立,一般大學,1015,世新大學,學士班(進修),112,92,82.1400
109,私立,一般大學,1016,銘傳大學,學士班(日間),3747,3436,91.7000
109,私立,一般大學,1017,實踐大學,學士班(日間),2515,2181,86.7200
109,私立,一般大學,1017,實踐大學,學士班(進修),586,412,70.3100
109,私立,技專校院,1018,朝陽科技大學,學士班(日間),2619,2433,92.9000
109,私立,技專校院,1018,朝陽科技大學,學士班(進修),774,501,64.7300
109,私立,一般大學,1019,高雄醫學大學,學士班(日間),1115,1022,91.6600
109,私立,一般大學,1020,南華大學,學士班(日間),1012,886,87.5500
109,私立,一般大學,1020,南華大學,學士班(進修),104,69,66.3500
109,私立,一般大學,1021,真理大學,學士班(日間),1337,1091,81.6000
109,私立,一般大學,1022,大同大學,學士班(日間),830,755,90.9600
109,私立,技專校院,1023,南臺學校財團法人南臺科技大學,五專,71,65,91.5500
109,私立,技專校院,1023,南臺學校財團法人南臺科技大學,學士班(日間),3061,2845,92.9400
109,私立,技專校院,1023,南臺學校財團法人南臺科技大學,學士班(進修),1133,879,77.5800
109,私立,技專校院,1024,崑山科技大學,學士班(日間),1719,1500,87.2600
109,私立,技專校院,1024,崑山科技大學,學士班(進修),840,577,68.6900
109,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,學士班(日間),2355,2146,91.1300
109,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,學士班(進修),834,451,54.0800
109,私立,技專校院,1026,樹德科技大學,學士班(日間),1774,1581,89.1200
109,私立,技專校院,1026,樹德科技大學,學士班(進修),869,491,56.5000
109,私立,一般大學,1027,慈濟學校財團法人慈濟大學,學士班(日間),650,593,91.2300
109,私立,一般大學,1028,臺北醫學大學,學士班(日間),899,823,91.5500
109,私立,一般大學,1029,中山醫學大學,學士班(日間),1309,1200,91.6700
109,私立,一般大學,1029,中山醫學大學,學士班(進修),40,38,95.0000
109,私立,技專校院,1030,龍華科技大學,五專,156,146,93.5900
109,私立,技專校院,1030,龍華科技大學,學士班(日間),1531,1355,88.5000
109,私立,技專校院,1030,龍華科技大學,學士班(進修),1046,779,74.4700
109,私立,技專校院,1031,輔英科技大學,五專,555,528,95.1400
109,私立,技專校院,1031,輔英科技大學,學士班(日間),1668,1493,89.5100
109,私立,技專校院,1031,輔英科技大學,學士班(進修),616,407,66.0700
109,私立,技專校院,1032,明新學校財團法人明新科技大學,二專(日間),26,24,92.3100
109,私立,技專校院,1032,明新學校財團法人明新科技大學,二專(進修),13,9,69.2300
109,私立,技專校院,1032,明新學校財團法人明新科技大學,學士班(日間),1603,1441,89.8900
109,私立,技專校院,1032,明新學校財團法人明新科技大學,學士班(進修),994,792,79.6800
109,私立,一般大學,1033,長榮大學,學士班(日間),1736,1527,87.9600
109,私立,一般大學,1033,長榮大學,學士班(進修),296,88,29.7300
109,私立,技專校院,1034,弘光科技大學,二專(進修),73,57,78.0800
109,私立,技專校院,1034,弘光科技大學,五專,52,51,98.0800
109,私立,技專校院,1034,弘光科技大學,學士班(日間),2056,1919,93.3400
109,私立,技專校院,1034,弘光科技大學,學士班(進修),1182,982,83.0800
109,私立,一般大學,1035,中國醫藥大學,學士班(日間),1129,1078,95.4800
109,私立,技專校院,1036,健行學校財團法人健行科技大學,學士班(日間),1661,1459,87.8400
109,私立,技專校院,1036,健行學校財團法人健行科技大學,學士班(進修),1213,865,71.3100
109,私立,技專校院,1037,正修學校財團法人正修科技大學,二專(進修),74,54,72.9700
109,私立,技專校院,1037,正修學校財團法人正修科技大學,五專,60,53,88.3300
109,私立,技專校院,1037,正修學校財團法人正修科技大學,學士班(日間),2005,1757,87.6300
109,私立,技專校院,1037,正修學校財團法人正修科技大學,學士班(進修),2553,2009,78.6900
109,私立,技專校院,1038,萬能學校財團法人萬能科技大學,學士班(日間),1491,1236,82.9000
109,私立,技專校院,1038,萬能學校財團法人萬能科技大學,學士班(進修),1472,898,61.0100
109,私立,一般大學,1039,玄奘大學,學士班(日間),451,360,79.8200
109,私立,技專校院,1040,建國科技大學,學士班(日間),1065,932,87.5100
109,私立,技專校院,1040,建國科技大學,學士班(進修),818,554,67.7300
109,私立,技專校院,1041,明志科技大學,學士班(日間),893,854,95.6300
109,私立,技專校院,1041,明志科技大學,學士班(進修),119,94,78.9900
109,私立,技專校院,1042,高苑科技大學,學士班(日間),257,172,66.9300
109,私立,技專校院,1042,高苑科技大學,學士班(進修),241,164,68.0500
109,私立,技專校院,1043,大仁科技大學,學士班(日間),841,704,83.7100
109,私立,技專校院,1043,大仁科技大學,學士班(進修),885,656,74.1200
109,私立,技專校院,1044,聖約翰科技大學,二專(進修),29,19,65.5200
109,私立,技專校院,1044,聖約翰科技大學,五專,53,43,81.1300
109,私立,技專校院,1044,聖約翰科技大學,學士班(日間),243,195,80.2500
109,私立,技專校院,1044,聖約翰科技大學,學士班(進修),177,135,76.2700
109,私立,技專校院,1045,嶺東科技大學,學士班(日間),1818,1668,91.7500
109,私立,技專校院,1045,嶺東科技大學,學士班(進修),795,536,67.4200
109,私立,技專校院,1046,中國科技大學,學士班(日間),1612,1421,88.1500
109,私立,技專校院,1046,中國科技大學,學士班(進修),456,268,58.7700
109,私立,技專校院,1047,中臺科技大學,學士班(日間),1451,1318,90.8300
109,私立,技專校院,1047,中臺科技大學,學士班(進修),854,685,80.2100
109,私立,一般大學,1048,亞洲大學,學士班(日間),2246,2020,89.9400
109,私立,一般大學,1048,亞洲大學,學士班(進修),230,132,57.3900
