查核年度,設立別,學校類別,學校統計處代碼,學校名稱,受查範圍(學年度),未發現重大異常情形,須持續追蹤改善(交易循環；建議改進事項、更正事項、收回事項、其他事項；件),本部持續追蹤改善結果說明,備註
109,私立,一般大學,1079,康寧學校財團法人康寧大學,107.108,,"其他循環：建議改進事項：7件。
收入循環：建議改進事項：1件。",本部至110年9月30日止持續追蹤改善結果說明:學校已完成改善。,
109,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,107.108,,收入循環：建議改進事項：1件。,"本部至110年3月31日止持續追蹤改善結果說明:
學校已完成改善。", 
109,私立,技專校院,1081,東方學校財團法人東方設計大學,107.108,,"其他循環、採購及付款循環：建議事項：1件。
其他循環：建議改進事項：3件。
採購及付款循環：建議改進事項：3件。
不動產、房屋及設備循環：建議改進事項：1件。
收入循環：建議改進事項：2件。
薪資循環：建議改進事項：2件。","本部至110年3月31日止持續追蹤改善結果說明:
學校已完成改善。", 
109,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,107.108,,"採購及付款循環：建議改進事項：1件。
其他循環：建議改進事項：2件。","本部至110年3月31日止持續追蹤改善結果說明:
學校已完成改善。", 
109,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,107.108,V,,, 
109,私立,一般大學,1125,中信學校財團法人中信金融管理學院,107.108,,"收入循環：建議改進事項：1件。
採購及付款循環：建議改進事項：1件。
不動產、房屋及設備循環：建議改進事項：3件。
薪資循環：建議改進事項：1件。","本部至110年3月31日止持續追蹤改善結果說明:
學校已完成改善。", 
109,私立,技專校院,1159,和春技術學院,107.108,,"收入循環：建議改進事項：1件。
採購及付款循環：建議改進事項：1件。
不動產、房屋及設備循環：建議事項：3件。
薪資循環：建議改進事項：2件。",本部至110年9月30日止持續追蹤改善結果說明:學校已完成改善。,
109,私立,技專校院,1166,亞東技術學院,107.108,,"薪資循環：建議改進事項：1件。
採購及付款循環：建議改進事項：1件。","本部至110年3月31日止持續追蹤改善結果說明:
學校已完成改善。", 
109,私立,一般大學,1176,稻江科技暨管理學院,107.108,,其他循環：建議改進事項：1件。,本部至110年9月30日止持續追蹤改善結果說明:學校已完成改善。,
109,私立,技專校院,1183,黎明技術學院,107.108,,"薪資循環：建議改進事項：1件。
不動產、房屋及設備循環：建議改進事項：1件。","本部至110年3月31日止持續追蹤改善結果說明:
學校已完成改善。", 
109,私立,技專校院,1192,臺灣觀光學院,107.108,,"其他循環：建議改進事項：2件。
採購及付款循環：收回事項：2件，收回654,457元。",本部至110年9月30日止持續追蹤改善結果說明:學校已完成改善。,
109,私立,技專校院,1284,樹人醫護管理專科學校,107.108,,"採購及付款循環：建議改進事項：1件。
薪資循環：建議改進事項：1件。","本部至110年3月31日止持續追蹤改善結果說明:
學校已完成改善。", 
109,私立,技專校院,1285,慈惠醫護管理專科學校,107.108,,"其他循環：建議改進事項：1件。
採購及付款循環：建議改進事項：2件。
薪資循環：建議改進事項：1件。
薪資循環：收回事項：3件，收回771,840元。","本部至110年3月31日止持續追蹤改善結果說明:
學校已完成改善。", 
109,私立,技專校院,1286,耕莘健康管理專科學校,107.108,,其他循環：建議改進事項︰1件。,"本部至110年3月31日止持續追蹤改善結果說明:
學校已完成改善。", 
109,私立,技專校院,1287,敏惠醫護管理專科學校,107.108,,"採購及付款循環：建議改進事項︰3件。
薪資循環：建議改進事項：1件。","本部至110年3月31日止持續追蹤改善結果說明:
學校已完成改善。", 
109,私立,技專校院,1291,聖母醫護管理專科學校,107.108,,"收入循環：建議改進事項：1件。
其他循環：建議改進事項：3件。
薪資循環：建議改進事項：1件。","本部至110年3月31日止持續追蹤改善結果說明:
學校已完成改善。", 
109,私立,技專校院,1293,崇仁醫護管理專科學校,107.108,,"不動產、房屋及設備循環：建議改進事項：5件。
薪資循環：建議改進事項：1件。","本部至110年3月31日止持續追蹤改善結果說明:
學校已完成改善。", 
109,私立,宗教研修學院,1R02,學校財團法人中華浸信會基督教台灣浸會神學院,107.108,V,,, 
109,私立,宗教研修學院,1R04,財團法人一貫道天皇基金會一貫道天皇學院,107.108,,"收入循環：建議改進事項︰1件。
採購及付款循環：建議改進事項︰6件。
收入循環：建議改進事項︰5件。
薪資循環、其他循環：建議改進事項︰4件。
其他循環：建議改進事項：4件。","本部至110年3月31日止持續追蹤改善結果說明:
學校已完成改善。", 
109,私立,宗教研修學院,1R05,台神學校財團法人台灣神學研究學院,107.108,,"不動產、房屋及設備循環：建議改進事項：1件。
其他循環：建議改進事項︰1件。","本部至110年3月31日止持續追蹤改善結果說明:
學校已完成改善。", 
109,私立,宗教研修學院,1R07,台灣基督長老教會南神神學院,107.108,,"其他循環：建議改進事項︰1件。
採購及付款循環：建議改進事項︰1件。
收入循環：建議改進事項︰1件。
薪資循環、其他循環：建議改進事項︰3件。
其他循環：建議改進事項：2件。",本部至110年9月30日止持續追蹤改善結果說明:學校已完成改善。,
110,私立,一般大學,1002,輔仁大學,108.109,,"採購及付款循環：建議改進事項：1件。
不動產、房屋及設備循環：建議改進事項：1件。
收入循環：建議改進事項：2件。
薪資循環：建議改進事項：2件。
其他循環：建議改進事項：1件。","本部至111年3月31日止持續追蹤改善結果說明:
本部尚在追蹤中。", 
110,私立,一般大學,1006,中國文化大學,108.109,,"其他循環：建議改進事項：1件。
採購及付款循環、收入循環、其他循環：建議改進事項：3件。
不動產、房屋及設備循環：建議改進事項：1件。
其他循環：建議改進事項：4件。","本部至111年3月31日止持續追蹤改善結果說明:
本部尚在追蹤中。", 
110,私立,一般大學,1009,長庚大學,108.109,,"不動產、房屋及設備循環：建議改進事項：1件。
收入循環：建議改進事項：1件。","本部至111年3月31日止持續追蹤改善結果說明:
本部尚在追蹤中。", 
110,私立,一般大學,1014,義守大學,108.109,,"採購及付款循環：建議改進事項：1件。
不動產、房屋及設備循環：建議改進事項：1件。
薪資循環：建議改進事項：2件。
其他循環：建議改進事項：1件。","本部至111年3月31日止持續追蹤改善結果說明:
本部尚在追蹤中。", 
110,私立,一般大學,1017,實踐大學,108.109,,其他循環：建議改進事項：2件。,"本部至111年3月31日止持續追蹤改善結果說明:
本部尚在追蹤中。", 
110,私立,一般大學,1019,高雄醫學大學,108.109,,"其他循環：建議改進事項：4件。
不動產、房屋及設備循環：建議改進事項：2件。","本部至111年3月31日止持續追蹤改善結果說明:
本部尚在追蹤中。", 
110,私立,技專校院,1026,樹德科技大學,108.109,,"其他循環：建議改進事項：3件。
採購及付款循環：建議改進事項：1件。
不動產、房屋及設備循環：建議改進事項︰1件。
薪資循環：收回事項：1件，收回256萬8,961元。","本部至111年3月31日止持續追蹤改善結果說明:
學校已完成改善。", 
110,私立,一般大學,1027,慈濟學校財團法人慈濟大學,108.109,,"採購及付款循環：建議改進事項：2件。
其他循環：建議改進事項：1件。","本部至111年3月31日止持續追蹤改善結果說明:
本部尚在追蹤中。", 
110,私立,一般大學,1035,中國醫藥大學,108.109,,"採購及付款循環：建議改進事項：2件。
不動產、房屋及設備循環：建議改進事項：1件。
其他循環：建議改進事項：8件。
薪資循環：建議改進事項：1件。","本部至111年3月31日止持續追蹤改善結果說明:
本部尚在追蹤中。", 
110,私立,技專校院,1037,正修學校財團法人正修科技大學,108.109,,"採購及付款循環：建議改進事項︰2件。
收入循環：建議改進事項︰1件。","本部至111年3月31日止持續追蹤改善結果說明:
學校已完成改善。", 
110,私立,技專校院,1041,明志科技大學,108.109,,"收入循環：建議改進事項︰1件。
其他循環：建議改進事項︰1件。
不動產、房屋及設循環：建議改進事項︰2件。","本部至111年3月31日止持續追蹤改善結果說明:
學校已完成改善。", 
110,私立,技專校院,1042,高苑科技大學,108.109,,"採購及付款循環：建議改進事項︰1件。
不動產、房屋及設備循環：建議改進事項︰3件。
收入循環：建議改進事項︰1件。
薪資循環：建議改進事項：3件。
其他循環：建議改進事項：1件。","本部至111年3月31日止持續追蹤改善結果說明:
本部尚在追蹤中。", 
110,私立,技專校院,1043,大仁科技大學,108.109,,"其他循環：建議改進事項：1件。
採購及付款循環：建議改進事項：1件。
不動產、房屋及設備循環：建議改進事項：3件。
採購及付款循環：收回事項：1件，收回12,000元。","本部至111年3月31日止持續追蹤改善結果說明:
學校已完成改善。", 
110,私立,技專校院,1044,聖約翰科技大學,108.109,,"採購及付款循環：建議改進事項：3件。
不動產、房屋及設備循環：建議改進事項：3件。","本部至111年3月31日止持續追蹤改善結果說明:
學校已完成改善。", 
110,私立,一般大學,1050,佛光大學,108.109,,"薪資循環：建議改進事項：2件。
其他循環：建議改進事項：1件。","本部至111年3月31日止持續追蹤改善結果說明:
本部尚在追蹤中。", 
110,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,108.109,,"其他循環：建議改進事項︰1件。
其他循環：收回事項：1件，收回10萬9,937元。","本部至111年3月31日止持續追蹤改善結果說明:
學校已完成改善。", 
110,私立,技專校院,1055,中華醫事科技大學,108.109,,"其他循環：建議改進事項：1件。
不動產、房屋及設備循環：建議改進事項：2件。
採購及付款循環：建議改進事項：2件。
薪資循環：收回事項：1件，收回231,300元。","本部至111年3月31日止持續追蹤改善結果說明:
本部尚在追蹤中。", 
110,私立,技專校院,1057,德明財經科技大學,108.109,,"其他款循環：建議改進事項︰1件。
採購及付款循環：建議改進事項︰1件。","本部至111年3月31日止持續追蹤改善結果說明:
學校已完成改善。", 
110,私立,一般大學,1058,明道學校財團法人明道大學,108.109,,"採購及付款循環：建議改進事項︰2件。
收入循環：建議改進事項：3件。
其他循環：建議改進事項︰3件。","本部至111年3月31日止持續追蹤改善結果說明:
本部尚在追蹤中。", 
110,私立,技專校院,1061,中華學校財團法人中華科技大學,108.109,,不動產、房屋及設備循環：建議改進事項：2件。,"本部至111年3月31日止持續追蹤改善結果說明:
學校已完成改善。", 
110,私立,技專校院,1064,美和學校財團法人美和科技大學,108.109,,"其他循環：建議改進事項︰1件。
採購及付款循環：建議改進事項：1件。
其他循環：收回事項：1件，收回88,000元。","本部至111年3月31日止持續追蹤改善結果說明:
學校已完成改善。", 
110,私立,技專校院,1065,吳鳳科技大學,108.109,,"不動產、房屋及設循環：建議改進事項︰2件。
收入循環：建議改進事項︰3件。
其他循環：建議改進事項︰1件。","本部至111年3月31日止持續追蹤改善結果說明:
學校已完成改善。", 
110,私立,技專校院,1066,環球學校財團法人環球科技大學,108.109,,不動產、房屋及設備循環：建議改進事項：1件。,"本部至111年3月31日止持續追蹤改善結果說明:
學校已完成改善。", 
110,私立,技專校院,1068,中州學校財團法人中州科技大學,108.109,,"採購及付款循環：建議事項：3件。
不動產、房屋及設備循環：建議改進事項：1件。
其他循環：建議改進事項：1件。","本部至111年3月31日止持續追蹤改善結果說明:
學校已完成改善。", 
110,私立,技專校院,1069,修平學校財團法人修平科技大學,108.109,,"採購及付款循環：建議改進事項：1件。
收入循環：建議改進事項︰2件。","本部至111年3月31日止持續追蹤改善結果說明:
學校已完成改善。", 
110,私立,技專校院,1070,長庚學校財團法人長庚科技大學,108.109,V,,, 
110,私立,技專校院,1075,文藻學校財團法人文藻外語大學,108.109,V,,, 
110,私立,技專校院,1078,致理學校財團法人致理科技大學,108.109,,不動產、房屋及設備循環：建議改進事項：1件。,"本部至111年3月31日止持續追蹤改善結果說明:
學校已完成改善。", 
110,私立,一般大學,1079,康寧學校財團法人康寧大學,108.109,,"其他循環：建議改進事項：3件。
採購及付款循環：建議改進事項：1件。
薪資循環：建議改進事項：2件。","本部至111年3月31日止持續追蹤改善結果說明:
本部尚在追蹤中。", 
110,私立,技專校院,1148,大漢技術學院,108.109,,"其他循環：建議改進事項：1件。
採購及付款循環：建議改進事項：1件。
不動產、房屋及設備循環：建議改進事項：1件。
收入循環：建議改進事項：1件。
其他循環：建議改進事項：3件。","本部至111年3月31日止持續追蹤改善結果說明:
本部尚在追蹤中。", 
110,私立,技專校院,1188,大同技術學院,108.109,,"採購及付款循環：建議改進事項：2件。
其他循環：建議改進事項：1件。","本部至111年3月31日止持續追蹤改善結果說明:
學校已完成改善。", 
110,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,108.109,,薪資循環：建議改進事項：1件。,"本部至111年3月31日止持續追蹤改善結果說明:
本部尚在追蹤中。", 
110,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,108.109,V,,, 
110,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,108.109,,不動產、房屋及設備循環：建議改進事項：1件。,"本部至111年3月31日止持續追蹤改善結果說明:
學校已完成改善。", 
110,私立,技專校院,1289,育英醫護管理專科學校,108.109,V,,, 
