學年度,設立別,學校類別,學校統計處代碼,學校名稱,學校財團法人名稱,類別,性別,姓名,屆數,任期起迄年月日
107,私立,一般大學,1002,輔仁大學,輔仁大學學校財團法人,董事,男,李克勉,19,2016/11/13~2020/11/12
107,私立,一般大學,1002,輔仁大學,輔仁大學學校財團法人,董事,男,周守仁,19,2017/11/27~2020/11/12
107,私立,一般大學,1002,輔仁大學,輔仁大學學校財團法人,董事,男,林吉男,19,2016/11/13~2020/11/12
107,私立,一般大學,1002,輔仁大學,輔仁大學學校財團法人,董事,女,林思伶,19,2017/08/15~2020/11/12
107,私立,一般大學,1002,輔仁大學,輔仁大學學校財團法人,董事,女,林恒毅,19,2016/11/13~2020/11/12
107,私立,一般大學,1002,輔仁大學,輔仁大學學校財團法人,董事,男,姚武鍔,19,2016/11/13~2020/11/12
107,私立,一般大學,1002,輔仁大學,輔仁大學學校財團法人,董事,男,柏殿宏,19,2016/11/13~2020/11/12
107,私立,一般大學,1002,輔仁大學,輔仁大學學校財團法人,董事,男,洪山川,19,2016/11/13~2020/11/12
107,私立,一般大學,1002,輔仁大學,輔仁大學學校財團法人,董事,男,馬漢光,19,2016/11/13~2020/11/12
107,私立,一般大學,1002,輔仁大學,輔仁大學學校財團法人,董事,男,張日亮,19,2017/08/15~2020/11/12
107,私立,一般大學,1002,輔仁大學,輔仁大學學校財團法人,董事,男,張達人,19,2016/11/13~2020/11/12
107,私立,一般大學,1002,輔仁大學,輔仁大學學校財團法人,董事,男,黃兆明,19,2016/11/13~2020/11/12
107,私立,一般大學,1002,輔仁大學,輔仁大學學校財團法人,董事,男,楊百川,19,2016/11/13~2020/11/12
107,私立,一般大學,1002,輔仁大學,輔仁大學學校財團法人,董事,女,葉紫華,19,2016/11/13~2020/11/12
107,私立,一般大學,1002,輔仁大學,輔仁大學學校財團法人,董事,男,詹德隆,19,2016/11/13~2020/11/12
107,私立,一般大學,1002,輔仁大學,輔仁大學學校財團法人,董事,男,劉志明,19,2016/11/13~2020/11/12
107,私立,一般大學,1002,輔仁大學,輔仁大學學校財團法人,董事,男,劉振忠,19,2016/11/13~2020/11/12
107,私立,一般大學,1002,輔仁大學,輔仁大學學校財團法人,董事,男,鍾安住,19,2016/11/13~2020/11/12
107,私立,一般大學,1002,輔仁大學,輔仁大學學校財團法人,董事,女,羅麥瑞,19,2016/11/13~2020/11/12
107,私立,一般大學,1002,輔仁大學,輔仁大學學校財團法人,董事,男,蘇耀文,19,2016/11/13~2020/11/12
107,私立,一般大學,1003,東吳大學,財團法人東吳大學,監察人,男,帥以仁, ,2017/07/24~2021/07/23
107,私立,一般大學,1003,東吳大學,財團法人東吳大學,監察人,女,馬君梅, ,2017/07/24~2021/07/23
107,私立,一般大學,1003,東吳大學,財團法人東吳大學,監察人,男,劉吉人, ,2017/02/07~2021/02/06
107,私立,一般大學,1003,東吳大學,財團法人東吳大學,董事,男,王紹堉,27,2017/07/24~2021/07/23
107,私立,一般大學,1003,東吳大學,財團法人東吳大學,董事,男,王榮周,27,2017/07/24~2021/07/23
107,私立,一般大學,1003,東吳大學,財團法人東吳大學,董事,男,白培英,27,2017/07/24~2021/07/23
107,私立,一般大學,1003,東吳大學,財團法人東吳大學,董事,男,何壽川,27,2017/07/24~2021/07/23
107,私立,一般大學,1003,東吳大學,財團法人東吳大學,董事,男,吳東進,27,2017/07/24~2021/07/23
107,私立,一般大學,1003,東吳大學,財團法人東吳大學,董事,女,李鍾桂,27,2017/07/24~2021/07/23
107,私立,一般大學,1003,東吳大學,財團法人東吳大學,董事,男,唐松章,27,2017/07/24~2021/07/23
107,私立,一般大學,1003,東吳大學,財團法人東吳大學,董事,男,陳金讓,27,2017/07/24~2021/07/23
107,私立,一般大學,1003,東吳大學,財團法人東吳大學,董事,男,陸潤康,27,2017/07/24~2021/07/23
107,私立,一般大學,1003,東吳大學,財團法人東吳大學,董事,男,曾紀鴻,27,2017/07/24~2021/07/23
107,私立,一般大學,1003,東吳大學,財團法人東吳大學,董事,男,游象卿,27,2017/07/24~2021/07/23
107,私立,一般大學,1004,中原大學,財團法人中原大學,監察人,男,朱寶奎, ,2018/09/29~2022/09/28
107,私立,一般大學,1004,中原大學,財團法人中原大學,董事,男,白培英,12,2014/11/16~2018/11/15
107,私立,一般大學,1004,中原大學,財團法人中原大學,董事,女,吳志揚,12,2014/11/16~2018/11/15
107,私立,一般大學,1004,中原大學,財團法人中原大學,董事,男,吳運東,12,2014/11/16~2018/11/15
107,私立,一般大學,1004,中原大學,財團法人中原大學,董事,男,沈正,12,2014/11/16~2018/11/15
107,私立,一般大學,1004,中原大學,財團法人中原大學,董事,男,林木連,12,2014/11/16~2018/11/15
107,私立,一般大學,1004,中原大學,財團法人中原大學,董事,男,梅佑義,12,2014/11/16~2018/11/15
107,私立,一般大學,1004,中原大學,財團法人中原大學,董事,男,許智偉,12,2014/11/16~2018/11/15
107,私立,一般大學,1004,中原大學,財團法人中原大學,董事,男,陳建信,12,2016/05/31~2018/11/15
107,私立,一般大學,1004,中原大學,財團法人中原大學,董事,男,陳朝洋,12,2014/11/16~2018/11/15
107,私立,一般大學,1004,中原大學,財團法人中原大學,董事,女,彭蒙惠,12,2014/11/16~2018/11/15
107,私立,一般大學,1004,中原大學,財團法人中原大學,董事,男,程萬里,12,2016/03/11~2018/11/15
107,私立,一般大學,1004,中原大學,財團法人中原大學,董事,男,樓思仁,12,2014/11/16~2018/11/15
107,私立,一般大學,1004,中原大學,財團法人中原大學,董事,男,鍾張培士,12,2014/11/16~2018/11/15
107,私立,一般大學,1005,淡江大學學校財團法人淡江大學,財團法人淡江大學,監察人,女,王美蘭, ,2018/12/08~2022/12/07
107,私立,一般大學,1005,淡江大學學校財團法人淡江大學,財團法人淡江大學,董事,男,李坤炎,13,2018/09/30~2022/09/29
107,私立,一般大學,1005,淡江大學學校財團法人淡江大學,財團法人淡江大學,董事,男,李承泰,13,2018/09/30~2022/09/29
107,私立,一般大學,1005,淡江大學學校財團法人淡江大學,財團法人淡江大學,董事,男,李述德,13,2018/09/30~2022/09/29
107,私立,一般大學,1005,淡江大學學校財團法人淡江大學,財團法人淡江大學,董事,男,林嘉政,13,2018/09/30~2022/09/29
107,私立,一般大學,1005,淡江大學學校財團法人淡江大學,財團法人淡江大學,董事,男,洪宏翔,13,2018/09/30~2022/09/29
107,私立,一般大學,1005,淡江大學學校財團法人淡江大學,財團法人淡江大學,董事,女,張室宜,13,2018/09/30~2022/09/29
107,私立,一般大學,1005,淡江大學學校財團法人淡江大學,財團法人淡江大學,董事,女,張家宜,13,2018/09/30~2022/09/29
107,私立,一般大學,1005,淡江大學學校財團法人淡江大學,財團法人淡江大學,董事,男,戴萬欽,13,2018/09/30~2022/09/29
107,私立,一般大學,1005,淡江大學學校財團法人淡江大學,財團法人淡江大學,董事,男,簡宜彬,13,2018/09/30~2022/09/29
107,私立,一般大學,1006,中國文化大學,財團法人中國文化大學,監察人,男,李伸一, ,2017/05/26~2021/05/25
107,私立,一般大學,1006,中國文化大學,財團法人中國文化大學,董事,男,王寶輝,18,2018/07/06~2021/04/06
107,私立,一般大學,1006,中國文化大學,財團法人中國文化大學,董事,男,白省三,18,2017/05/10~2021/04/06
107,私立,一般大學,1006,中國文化大學,財團法人中國文化大學,董事,男,金榮華,18,2017/05/10~2021/04/06
107,私立,一般大學,1006,中國文化大學,財團法人中國文化大學,董事,男,袁興夏,18,2017/05/10~2021/04/06
107,私立,一般大學,1006,中國文化大學,財團法人中國文化大學,董事,男,張冠群,18,2017/05/10~2021/04/06
107,私立,一般大學,1006,中國文化大學,財團法人中國文化大學,董事,女,張海燕,18,2017/05/10~2021/04/06
107,私立,一般大學,1006,中國文化大學,財團法人中國文化大學,董事,男,張鏡湖,18,2017/05/10~2021/04/06
107,私立,一般大學,1006,中國文化大學,財團法人中國文化大學,董事,男,陳樹,18,2017/05/10~2021/04/06
107,私立,一般大學,1006,中國文化大學,財團法人中國文化大學,董事,男,彭誠浩,18,2017/05/10~2021/04/06
107,私立,一般大學,1006,中國文化大學,財團法人中國文化大學,董事,男,黃有良,18,2018/07/06~2021/04/06
107,私立,一般大學,1006,中國文化大學,財團法人中國文化大學,董事,男,蔡政文,18,2017/05/10~2021/04/06
107,私立,一般大學,1006,中國文化大學,財團法人中國文化大學,公益監察人,男,江榮祥, ,2018/01/01~2018/12/31
107,私立,一般大學,1007,逢甲大學,財團法人逢甲大學,監察人,男,陳貴端, ,2016/04/18~2020/04/17
107,私立,一般大學,1007,逢甲大學,財團法人逢甲大學,董事,女,宋文琪,19,2016/09/11~2020/09/10
107,私立,一般大學,1007,逢甲大學,財團法人逢甲大學,董事,男,高承恕,19,2016/09/11~2020/09/10
107,私立,一般大學,1007,逢甲大學,財團法人逢甲大學,董事,男,張 珩,19,2016/09/11~2020/09/10
107,私立,一般大學,1007,逢甲大學,財團法人逢甲大學,董事,男,許士軍,19,2016/09/11~2020/09/10
107,私立,一般大學,1007,逢甲大學,財團法人逢甲大學,董事,女,郭麗群,19,2016/09/11~2020/09/10
107,私立,一般大學,1007,逢甲大學,財團法人逢甲大學,董事,男,陳金讓,19,2016/09/11~2020/09/10
107,私立,一般大學,1007,逢甲大學,財團法人逢甲大學,董事,男,彭德湘,19,2016/09/11~2020/09/10
107,私立,一般大學,1007,逢甲大學,財團法人逢甲大學,董事,男,劉安之,19,2017/01/12~2020/09/10
107,私立,一般大學,1007,逢甲大學,財團法人逢甲大學,董事,男,劉招明,19,2016/09/11~2020/09/10
107,私立,一般大學,1007,逢甲大學,財團法人逢甲大學,董事,男,盧志遠,19,2016/09/11~2020/09/10
107,私立,一般大學,1007,逢甲大學,財團法人逢甲大學,董事,男,謝振裕,19,2016/09/11~2020/09/10
107,私立,一般大學,1008,靜宜大學,財團法人靜宜大學,監察人,女,林思伶, ,2018/04/03~2022/04/02
107,私立,一般大學,1008,靜宜大學,財團法人靜宜大學,董事,女,王德蘭,10,2018/07/01~2022/06/30
107,私立,一般大學,1008,靜宜大學,財團法人靜宜大學,董事,男,白正龍,10,2018/07/01~2022/06/30
107,私立,一般大學,1008,靜宜大學,財團法人靜宜大學,董事,男,林吉男,10,2018/07/01~2022/06/30
107,私立,一般大學,1008,靜宜大學,財團法人靜宜大學,董事,男,徐世昭,10,2018/07/01~2022/06/30
107,私立,一般大學,1008,靜宜大學,財團法人靜宜大學,董事,女,馬玉潔,10,2018/07/01~2022/06/30
107,私立,一般大學,1008,靜宜大學,財團法人靜宜大學,董事,女,傅雅蘭,10,2018/07/01~2022/06/30
107,私立,一般大學,1008,靜宜大學,財團法人靜宜大學,董事,男,黃清富,10,2018/07/01~2022/06/30
107,私立,一般大學,1008,靜宜大學,財團法人靜宜大學,董事,女,廖玲馨,10,2018/07/01~2022/06/30
107,私立,一般大學,1008,靜宜大學,財團法人靜宜大學,董事,男,劉丹桂,10,2018/07/01~2022/06/30
107,私立,一般大學,1008,靜宜大學,財團法人靜宜大學,董事,男,劉志明,10,2018/07/01~2022/06/30
107,私立,一般大學,1008,靜宜大學,財團法人靜宜大學,董事,男,劉振忠,10,2018/07/01~2022/06/30
107,私立,一般大學,1008,靜宜大學,財團法人靜宜大學,董事,女,蔡瑛雲,10,2018/07/01~2022/06/30
107,私立,一般大學,1008,靜宜大學,財團法人靜宜大學,董事,男,鄭文宏,10,2018/07/01~2022/06/30
107,私立,一般大學,1008,靜宜大學,財團法人靜宜大學,董事,男,鍾安住,10,2018/07/01~2022/06/30
107,私立,一般大學,1008,靜宜大學,財團法人靜宜大學,董事,男,蘇耀文,10,2018/07/01~2022/06/30
107,私立,一般大學,1009,長庚大學,財團法人長庚大學,監察人,男,黃銘隆, ,2014/12/31~2018/12/30
107,私立,一般大學,1009,長庚大學,財團法人長庚大學,董事,男,王文淵,10,2014/11/20~2018/11/19
107,私立,一般大學,1009,長庚大學,財團法人長庚大學,董事,男,王文潮,10,2014/11/20~2018/11/19
107,私立,一般大學,1009,長庚大學,財團法人長庚大學,董事,女,王貴雲,10,2014/11/20~2018/11/19
107,私立,一般大學,1009,長庚大學,財團法人長庚大學,董事,女,王瑞瑜,10,2014/11/20~2018/11/19
107,私立,一般大學,1009,長庚大學,財團法人長庚大學,董事,男,吳嘉昭,10,2014/11/20~2018/11/19
107,私立,一般大學,1009,長庚大學,財團法人長庚大學,董事,男,林健男,10,2014/11/20~2018/11/19
107,私立,一般大學,1009,長庚大學,財團法人長庚大學,董事,男,洪福源,10,2014/11/20~2018/11/19
107,私立,一般大學,1009,長庚大學,財團法人長庚大學,董事,男,翁文能,10,2014/11/20~2018/11/19
107,私立,一般大學,1009,長庚大學,財團法人長庚大學,董事,男,張承能,10,2014/11/20~2018/11/19
107,私立,一般大學,1009,長庚大學,財團法人長庚大學,董事,男,陳昱瑞,10,2014/11/20~2018/11/19
107,私立,一般大學,1009,長庚大學,財團法人長庚大學,董事,男,陳徹,10,2014/11/20~2018/11/19
107,私立,一般大學,1009,長庚大學,財團法人長庚大學,董事,男,陳寳郎,10,2014/11/20~2018/11/19
107,私立,一般大學,1009,長庚大學,財團法人長庚大學,董事,男,黃振青,10,2014/11/20~2018/11/19
107,私立,一般大學,1009,長庚大學,財團法人長庚大學,董事,男,楊政達,10,2014/11/20~2018/11/19
107,私立,一般大學,1009,長庚大學,財團法人長庚大學,董事,男,龔文華,10,2014/11/20~2018/11/19
107,私立,一般大學,1010,元智大學,財團法人元智大學,監察人,女,董麗貞, ,2015/08/25~2019/08/24
107,私立,一般大學,1010,元智大學,財團法人元智大學,董事,男,王孝一,10,2016/09/11~2020/09/10
107,私立,一般大學,1010,元智大學,財團法人元智大學,董事,男,王景益,10,2016/09/11~2020/09/10
107,私立,一般大學,1010,元智大學,財團法人元智大學,董事,男,朱樹勳,10,2016/09/11~2020/09/10
107,私立,一般大學,1010,元智大學,財團法人元智大學,董事,男,林芳郁,10,2016/09/11~2020/09/10
107,私立,一般大學,1010,元智大學,財團法人元智大學,董事,男,孫震,10,2016/09/11~2020/09/10
107,私立,一般大學,1010,元智大學,財團法人元智大學,董事,男,徐旭平,10,2016/09/11~2020/09/10
107,私立,一般大學,1010,元智大學,財團法人元智大學,董事,男,徐旭東,10,2016/09/11~2020/09/10
107,私立,一般大學,1010,元智大學,財團法人元智大學,董事,女,徐雪芳,10,2016/09/11~2020/09/10
107,私立,一般大學,1010,元智大學,財團法人元智大學,董事,女,徐菊芳,10,2016/09/11~2020/09/10
107,私立,一般大學,1010,元智大學,財團法人元智大學,董事,男,張才雄,10,2016/09/11~2020/09/10
107,私立,一般大學,1010,元智大學,財團法人元智大學,董事,男,郭為藩,10,2016/09/11~2020/09/10
107,私立,一般大學,1010,元智大學,財團法人元智大學,董事,男,陳長文,10,2016/09/11~2020/09/10
107,私立,一般大學,1010,元智大學,財團法人元智大學,董事,男,曾志朗,10,2016/09/11~2020/09/10
107,私立,一般大學,1010,元智大學,財團法人元智大學,董事,男,劉炯朗,10,2016/09/11~2020/09/10
107,私立,一般大學,1010,元智大學,財團法人元智大學,董事,男,戴立寧,10,2016/09/11~2020/09/10
107,私立,一般大學,1011,中華大學學校財團法人中華大學,財團法人中華大學,監察人,男,黃義宏, ,2018/06/08~2022/06/07
107,私立,一般大學,1011,中華大學學校財團法人中華大學,財團法人中華大學,董事,男,王瑜哲,10,2017/11/07~2021/11/06
107,私立,一般大學,1011,中華大學學校財團法人中華大學,財團法人中華大學,董事,男,林立元,10,2018/07/20~2021/11/06
107,私立,一般大學,1011,中華大學學校財團法人中華大學,財團法人中華大學,董事,女,林貝珊,10,2017/11/07~2021/11/06
107,私立,一般大學,1011,中華大學學校財團法人中華大學,財團法人中華大學,董事,女,郭麗姝,10,2017/11/07~2021/11/06
107,私立,一般大學,1011,中華大學學校財團法人中華大學,財團法人中華大學,董事,女,陳瑞竹,10,2017/11/07~2021/11/06
107,私立,一般大學,1011,中華大學學校財團法人中華大學,財團法人中華大學,董事,男,傅碩林,10,2017/11/07~2021/11/06
107,私立,一般大學,1011,中華大學學校財團法人中華大學,財團法人中華大學,董事,男,彭鈺博,10,2017/11/07~2021/11/06
107,私立,一般大學,1011,中華大學學校財團法人中華大學,財團法人中華大學,董事,男,黃河鑫,10,2017/11/07~2021/11/06
107,私立,一般大學,1011,中華大學學校財團法人中華大學,財團法人中華大學,董事,男,黃細玉,10,2017/11/07~2021/11/06
107,私立,一般大學,1011,中華大學學校財團法人中華大學,財團法人中華大學,董事,男,楊玉全,10,2017/11/07~2021/11/06
107,私立,一般大學,1011,中華大學學校財團法人中華大學,財團法人中華大學,董事,女,楊洪秋霞,10,2017/11/07~2021/11/06
107,私立,一般大學,1011,中華大學學校財團法人中華大學,財團法人中華大學,董事,男,楊振隆,10,2017/11/07~2021/11/06
107,私立,一般大學,1011,中華大學學校財團法人中華大學,財團法人中華大學,董事,男,楊祥興,10,2017/11/07~2021/11/06
107,私立,一般大學,1011,中華大學學校財團法人中華大學,財團法人中華大學,董事,女,蔡宛芸,10,2017/11/07~2021/11/06
107,私立,一般大學,1011,中華大學學校財團法人中華大學,財團法人中華大學,董事,男,蔡建豐,10,2017/11/07~2021/11/06
107,私立,一般大學,1012,大葉大學,財團法人大葉大學,監察人,男,陳宏杰, ,2014/12/02~2018/12/01
107,私立,一般大學,1012,大葉大學,財團法人大葉大學,董事,男,方文昌,10,2018/04/29~2022/04/28
107,私立,一般大學,1012,大葉大學,財團法人大葉大學,董事,男,吳清基,10,2018/04/29~2022/04/28
107,私立,一般大學,1012,大葉大學,財團法人大葉大學,董事,男,張世良,10,2018/04/29~2022/04/28
107,私立,一般大學,1012,大葉大學,財團法人大葉大學,董事,男,郭光雄,10,2018/04/29~2022/04/28
107,私立,一般大學,1012,大葉大學,財團法人大葉大學,董事,男,黃正雄,10,2018/04/29~2022/04/28
107,私立,一般大學,1012,大葉大學,財團法人大葉大學,董事,男,黃營杉,10,2018/04/29~2022/04/28
107,私立,一般大學,1012,大葉大學,財團法人大葉大學,董事,男,葉季展,10,2018/04/29~2022/04/28
107,私立,一般大學,1012,大葉大學,財團法人大葉大學,董事,女,葉林月昭,10,2018/04/29~2022/04/28
107,私立,一般大學,1012,大葉大學,財團法人大葉大學,董事,男,蘇炎坤,10,2018/04/29~2022/04/28
107,私立,一般大學,1013,華梵大學,財團法人華梵大學,監察人,男,黃正傑, ,2015/03/02~2019/03/01
107,私立,一般大學,1013,華梵大學,財團法人華梵大學,董事,男,李復甸,10,2016/12/26~2020/12/25
107,私立,一般大學,1013,華梵大學,財團法人華梵大學,董事,男,高樹榮,10,2016/12/26~2020/12/25
107,私立,一般大學,1013,華梵大學,財團法人華梵大學,董事,男,莊南田,10,2016/12/26~2020/12/25
107,私立,一般大學,1013,華梵大學,財團法人華梵大學,董事,男,陳榮基,10,2016/12/26~2020/12/25
107,私立,一般大學,1013,華梵大學,財團法人華梵大學,董事,男,黃書瑋,10,2016/12/26~2020/12/25
107,私立,一般大學,1013,華梵大學,財團法人華梵大學,董事,男,廖清照,10,2016/12/26~2020/12/25
107,私立,一般大學,1013,華梵大學,財團法人華梵大學,董事,女,釋仁朗(楊 媛),10,2016/12/26~2020/12/25
107,私立,一般大學,1013,華梵大學,財團法人華梵大學,董事,女,釋仁華(蔡采杏),10,2016/12/26~2020/12/25
107,私立,一般大學,1013,華梵大學,財團法人華梵大學,董事,男,釋今能,10,2016/12/26~2020/12/25
107,私立,一般大學,1013,華梵大學,財團法人華梵大學,董事,女,釋修慈(王淑雲),10,2016/12/26~2020/12/25
107,私立,一般大學,1013,華梵大學,財團法人華梵大學,董事,女,釋修熏(温敏琴),10,2016/12/26~2020/12/25
107,私立,一般大學,1013,華梵大學,財團法人華梵大學,董事,女,釋修禪(林恩慧),10,2016/12/26~2020/12/25
107,私立,一般大學,1013,華梵大學,財團法人華梵大學,董事,女,釋悟觀(李淑華),10,2016/12/26~2020/12/25
107,私立,一般大學,1013,華梵大學,財團法人華梵大學,董事,女,釋堅慧(黃謝鶴),10,2016/12/26~2020/12/25
107,私立,一般大學,1013,華梵大學,財團法人華梵大學,董事,女,釋道淨 (賴昱蓉),10,2016/12/26~2020/12/25
107,私立,一般大學,1014,義守大學,財團法人義守大學,監察人,男,葉煌財, ,2015/03/04~2019/03/03
107,私立,一般大學,1014,義守大學,財團法人義守大學,董事,男,李伯皇,10,2016/10/09~2020/10/08
107,私立,一般大學,1014,義守大學,財團法人義守大學,董事,男,林志龍,10,2016/10/09~2020/10/08
107,私立,一般大學,1014,義守大學,財團法人義守大學,董事,男,林宗慶,10,2016/10/09~2020/10/08
107,私立,一般大學,1014,義守大學,財團法人義守大學,董事,男,林義守,10,2016/10/09~2020/10/08
107,私立,一般大學,1014,義守大學,財團法人義守大學,董事,男,許祺祥,10,2016/10/09~2020/10/08
107,私立,一般大學,1014,義守大學,財團法人義守大學,董事,男,陳欽博,10,2016/10/09~2020/10/08
107,私立,一般大學,1014,義守大學,財團法人義守大學,董事,男,黃俊雄,10,2016/10/09~2020/10/08
107,私立,一般大學,1014,義守大學,財團法人義守大學,董事,男,黃景聰,10,2016/10/09~2020/10/08
107,私立,一般大學,1014,義守大學,財團法人義守大學,董事,男,蔡維穎,10,2016/10/09~2020/10/08
107,私立,一般大學,1015,世新大學,財團法人世新大學,監察人,男,徐仁輝, ,2016/10/13~2020/10/27
107,私立,一般大學,1015,世新大學,財團法人世新大學,董事,男,Johnathan Pak,19,2017/11/08~2021/11/07
107,私立,一般大學,1015,世新大學,財團法人世新大學,董事,男,王子文,19,2017/11/08~2021/11/07
107,私立,一般大學,1015,世新大學,財團法人世新大學,董事,男,成天明,19,2017/11/08~2021/11/07
107,私立,一般大學,1015,世新大學,財團法人世新大學,董事,男,李柏園,19,2017/11/08~2021/11/07
107,私立,一般大學,1015,世新大學,財團法人世新大學,董事,男,周成虎,19,2017/11/08~2021/11/07
107,私立,一般大學,1015,世新大學,財團法人世新大學,董事,男,林壯松,19,2017/11/08~2021/11/07
107,私立,一般大學,1015,世新大學,財團法人世新大學,董事,男,胡德偉,19,2017/11/08~2021/11/07
107,私立,一般大學,1015,世新大學,財團法人世新大學,董事,男,容敬思,19,2017/11/08~2021/11/07
107,私立,一般大學,1015,世新大學,財團法人世新大學,董事,男,馬述健,19,2017/11/08~2021/11/07
107,私立,一般大學,1015,世新大學,財團法人世新大學,董事,男,高思復,19,2017/11/08~2021/11/07
107,私立,一般大學,1015,世新大學,財團法人世新大學,董事,男,許水德,19,2017/11/08~2021/11/07
107,私立,一般大學,1015,世新大學,財團法人世新大學,董事,男,陳柏華,19,2017/11/08~2021/11/07
107,私立,一般大學,1015,世新大學,財團法人世新大學,董事,男,黃東烈,19,2017/11/08~2021/11/07
107,私立,一般大學,1015,世新大學,財團法人世新大學,董事,女,黃珍琪,19,2017/11/08~2021/11/07
107,私立,一般大學,1015,世新大學,財團法人世新大學,董事,男,羅鵬,19,2017/11/08~2021/11/07
107,私立,一般大學,1016,銘傳大學,財團法人銘傳大學,監察人,男,陳合良, ,2014/12/17~2018/12/16
107,私立,一般大學,1016,銘傳大學,財團法人銘傳大學,董事,女,Ping Wen (溫冰),17,2017/01/13~2021/01/12
107,私立,一般大學,1016,銘傳大學,財團法人銘傳大學,董事,女,何一華,17,2018/11/15~2021/01/12
107,私立,一般大學,1016,銘傳大學,財團法人銘傳大學,董事,男,李  嵩,17,2017/01/13~2021/01/12
107,私立,一般大學,1016,銘傳大學,財團法人銘傳大學,董事,男,李選士,17,2017/01/13~2021/01/12
107,私立,一般大學,1016,銘傳大學,財團法人銘傳大學,董事,男,沈大川,17,2017/01/13~2021/01/12
107,私立,一般大學,1016,銘傳大學,財團法人銘傳大學,董事,男,林伯川,17,2018/07/10~2021/01/12
107,私立,一般大學,1016,銘傳大學,財團法人銘傳大學,董事,男,陳啟明,17,2017/01/13~2021/01/12
107,私立,一般大學,1016,銘傳大學,財團法人銘傳大學,董事,男,陳耀生,17,2017/01/13~2021/01/12
107,私立,一般大學,1017,實踐大學,財團法人實踐大學,監察人,男,謝宗興, ,2016/07/23~2020/07/22
107,私立,一般大學,1017,實踐大學,財團法人實踐大學,董事,男,方錫經,20,2018/08/28~2022/08/27
107,私立,一般大學,1017,實踐大學,財團法人實踐大學,董事,男,王浩威,20,2018/08/28~2022/08/27
107,私立,一般大學,1017,實踐大學,財團法人實踐大學,董事,男,何景賢,20,2018/08/28~2022/08/27
107,私立,一般大學,1017,實踐大學,財團法人實踐大學,董事,男,林高德,20,2018/08/28~2022/08/27
107,私立,一般大學,1017,實踐大學,財團法人實踐大學,董事,女,劉麗雲,20,2018/08/28~2022/08/27
107,私立,一般大學,1017,實踐大學,財團法人實踐大學,董事,男,歐晉德,20,2018/08/28~2022/08/27
107,私立,一般大學,1017,實踐大學,財團法人實踐大學,董事,女,潘維剛,20,2018/08/28~2022/08/27
107,私立,一般大學,1017,實踐大學,財團法人實踐大學,董事,女,謝文宜,20,2018/08/28~2022/08/27
107,私立,一般大學,1017,實踐大學,財團法人實踐大學,董事,男,謝孟雄,20,2018/08/28~2022/08/27
107,私立,一般大學,1017,實踐大學,財團法人實踐大學,公益監察人,男,王泰昌, ,2018/01/01~2018/12/31
107,私立,技專校院,1018,朝陽科技大學,朝陽科技大學,董事,男,王文傑,8,2016/05/30~2020/05/29
107,私立,技專校院,1018,朝陽科技大學,朝陽科技大學,董事,男,江文國,8,2016/05/30~2020/05/29
107,私立,技專校院,1018,朝陽科技大學,朝陽科技大學,董事,女,李月容,8,2016/05/30~2020/05/29
