學年度,設立別 ,學校類別,學校代碼,學校名稱,"日間/
進修",學制,"新生
註冊率","系所招生
特色說明",,
105,公立,一般大學,3,國立臺灣大學,日,博士班,74.27,本校博士班計有98系所，請參考各系所特色說明。博士班甄試網址：http://gra103.aca.ntu.edu.tw/grad，博士班招生網址：http://gra103.aca.ntu.edu.tw/grad,,
105,公立,一般大學,3,國立臺灣大學,職,碩士班,98.92,本校碩士在職專班計有17系所，請參考各系所特色說明。碩士在職專班網址：http://gra103.aca.ntu.edu.tw/grap,,
105,公立,一般大學,4,國立臺灣師範大學,日,學士班,97.42,本校學士班共33學系，其中4學系採學籍分組，人類發展與家庭學系(家庭生活教育組、幼兒發展與教育組、營養科學與教育組)、美術學系(國畫組、西畫組)、工業教育學系(能源應用組、車輛技術組)、東亞學系(漢學與文化組、政治與經濟組)。 教育學系近三年有21名考上高考、17名考上普考、12名考上特考，孕育許多優秀行政人員至公家機關服務。 地理系培訓參加國際地理奧林匹亞競賽，榮獲1金2銀1銅的好成績，團體總排名為世界第五。 德國2015紅點設計獎傳達設計類最高榮譽「Best of the Best」，設計學系許芳瑜、陳政豪以動畫短片「掠食Greedy Germ」獲得。設計系涵蓋平面設計、媒體設計、產品設計、室內設計，除辦理跨國工作坊、研習營等，亦可參加各類國內外競賽，累積經驗。,,
105,公立,一般大學,4,國立臺灣師範大學,日,碩士班,87.06,本校碩士班共54學系，其中有6學系採學籍分組，分別為教育心理與輔導學系(教育心理學組、諮商心理學組)、人類發展與家庭學系(家庭生活教育組、幼兒發展與教育組、營養科學與教育組)、英語學系(文學組、語言學組、英語教學組)、科技應用與人力資源發展學系(科技與工程教育組、人力資源組、網路學習組)、運動競技學系(運動競技碩士班、運動科學碩士班)、東亞學系(漢學與文化組、政治與經濟組)。 翻譯研究所畢業生就業率100%，多數為自由譯者，或擔任政府部會、企業機關等翻譯人員。張家福同學更榮獲2015年第五屆海峽兩岸口譯大賽冠軍，取得英國倫敦一周遊學。,,
105,公立,一般大學,4,國立臺灣師範大學,日,博士班,88.11,本校博士班共36學系，其中有3學系採學籍分組，分別為教育心理與輔導學系(教育心理學組、諮商心理學組)、英語學系(文學組、語言學組、英語教學組)、音樂學系(研究與教育組、表演與創作組)。 音樂系博士生王建堂參加2015大阪國際音樂比賽，從眾多國際菁英選手中脫穎而出，勇奪絃樂組金牌，為台灣奪得絃樂組首獎第一人。,,
105,公立,一般大學,4,國立臺灣師範大學,職,碩士班,80.53,本校碩士在職專班共31學系，無學籍分組。 社會教育學系鄭惠如，投入餐飲創業，僱用弱勢或失婚員工，為臺灣第一人獲美國國務院選為由歐巴馬主持的2016年第七屆全球企業高峰會代表。藉此能深度認識矽谷企業的創業文化，更可與總統歐巴馬及全球各地的創業青年交流。 流行音樂產業碩士專班學生周岳澄，2013及2014年分別獲得金曲獎最佳客語專輯、最佳演唱組合獎，也是捷運地景音樂創作者。,,
105,公立,一般大學,5,國立成功大學,日,學士班,95.31,"本校計45學系學士班，除特殊管道採外加名額外，每年計提供2,709個名額，領域包括文、理、工、電資、設計、管理、醫、社科及生科等九大學院。每年註冊率均達95%以上，為國內為學術領域最完整的綜合型大學。辦學理念深獲社會各界肯定，105年榮膺遠見雜誌「企業最愛大學生」「企業最愛研究生」調查，以及由校長互評的「大學聲望調查」項目中冠軍。另根據天下雜誌、CHEERS雜誌針對國內千家大企業大學生評價調查結果，本校自1993年迄今，年年蟬聯「企業界最愛」，無論是專業能力、團隊精神、敬業精神…等，成大畢業生兼具職場的爆發力與任職期間的續航力，贏得企業最愛千里馬的封號。 本校每學期經由校際遠距教學、網路教學、英語檢測制度、次專長學程、跨領域學分學程及大班教學小班研討等措施，提供學生多元化的學習機會。透過跨領域學習與整合能力教育、人文素養培育、國際視野擴展及專業能力提升，期許每位成大畢業生均為企業最愛。",,
105,公立,一般大學,5,國立成功大學,日,碩士班,94.85,本校計79學系所碩士班，專業領域橫跨文、理、工、電資、設計、管理、醫、社科及生科等，每年全校註冊率均達92%以上。堅強的師資陣容、豐沛的教學資源及卓越的研究成果，是成大推向國際一流大學的雄厚根本，而紮實、創新、活潑、多元化課程，更充分滿足學生的求知慾。成大是南台灣的學術重鎮，校內設有很多國家級的研究中心與實驗室，支援教學與研究。除提供學士班畢業生有接受專業教育機會，並配合社會快速變化及多元需求，隨時掌握國際社會之脈動，與國際學術同步接軌。 成大除了是南臺灣學術重鎮，也是南臺灣研究重鎮，素擁有「南成大、 北臺大」之美譽。成大人才輩出，研究風氣鼎盛，產學合作眾多，成果亮麗。另成大師生研究論文總篇數，亦位居全國各大學頂端的地位。,,
105,公立,一般大學,5,國立成功大學,日,博士班,58.49,本校計56學系所博士班，專業領域橫跨文、理、工、電資、設計、管理、醫、社科及生科等。近幾年因經濟不景氣、博士班就業機會相對減少，導致報考博士班的人數逐年下降。為減緩博士班招生不佳的情況，延續校內研究能量，本校各系所均提供優渥學助學金，以鼓勵學生報考。 本校各學系博士班研究風氣良好，學生除接受專業學識的學習，與指導教授的互動，甚至企業產學的合作，以期學識與實務密切接合，替國家社會培養優秀人才。本校活躍於國際學術舞台，無論是學術表現或教學及研究成果， 在世界上均獲得極高的評價。未來將建立校園創業環境與文化，進一步培育出台灣，甚至全球「最愛企業」 的創業家。,,
105,公立,一般大學,5,國立成功大學,職,碩士班,93.11,本校計19學系所碩士在職專班，專業領域橫跨文、理、工、電資、設計、管理、醫、及社科等，提供在職人士專業進修的機會。每年全校註冊情況相當良好，因在職生須獲公司首肯並須顧及工作情況，全校註冊率於99%至87%間變化。 為培育兼具理論與實務的人才，本校各系所規劃以專業學程為導向，期以協助產業界培育各領域之專業研究人才。因應軟硬體科技進展，改變產業軟體文化的現狀，本校除了為畢業生奠定「企業最愛」的學養基礎外，更將配合產業與社會脈動，結合企業界校友的資源，培訓創業人才。,,
105,公立,一般大學,6,國立中興大學,日,學士班,96.11,學校未提供說明,,
105,公立,一般大學,6,國立中興大學,日,碩士班,92.26,學校未提供說明,,
105,公立,一般大學,6,國立中興大學,日,博士班,70.14,學校未提供說明,,
105,公立,一般大學,6,國立中興大學,職,碩士班,95.22,學校未提供說明,,
105,公立,一般大學,6,國立中興大學,進,學士班,98.33,學校未提供說明,,
105,公立,一般大學,7,國立交通大學,日,學士班,97.17,本校學士班招生力求照顧弱勢、區域平衡政策，希望全國各地、各階層的學生都有機會進入本校就讀。105學年度學士班繁星招生錄取來自178所高中的197名學生，繁星招生名額比率達15.21%，屬全國較高者，且其中67所高中沒有任何一人入圍本校個人申請第1階段篩選，顯示本校繁星招生對於高中區域平衡影響非常顯著。105學年度學士班個人申請”旋坤揚帆”(經濟弱勢)招生分組，提供全校2.37%名額普及各學系共31名招收經濟弱勢學生，學測科目檢定門檻降為最高前標(一般學系學測科目門檻為頂標)，經濟弱勢學生入學管道名額比例領先全國。,,
105,公立,一般大學,7,國立交通大學,日,碩士班,96.82,學校未提供說明,,
105,公立,一般大學,7,國立交通大學,日,博士班,77.87,本校部份博士班辦理博士生產學合作培育研發菁英計畫及博士生國際共同人才培育計畫，詳參http://exam.nctu.edu.tw 。,,
105,公立,一般大學,7,國立交通大學,職,碩士班,96.26,學校未提供說明,,
105,公立,一般大學,8,國立中央大學,日,學士班,96.6,中央大學近年來大幅提升繁星推薦名額，105學年度提供270個繁星推薦名額，佔全部名額之18%，為全國頂尖大學之冠，有效避免新生多集中於都會型明星高中，來自城與鄉不同學習資源及背景的高中學生將可促進校園組成多元化，有利學生多元發展，亦可落實城鄉差距平衡精神。另為善盡社會責任，積極增加弱勢學生入學機會，於原住民部分提供繁星推薦及個人申請外加名額；於經濟弱勢學生部分，則於個人申請設立向日葵組聯合招生，調降學測篩選標準，優先錄取經濟弱勢學生，並提供向日葵組錄取經濟弱勢學生2年、每年6萬元獎助學金。,,
105,公立,一般大學,8,國立中央大學,日,碩士班,92.23,提高甄試入學名額比例，提早錄取優秀學生進入實驗室從事研究工作。於考試入學部分，則積極減少筆試考科，合併相似考科系所辦理聯合招生，另移撥部分名額聯合清華大學、交通大學及陽明大學辦理台聯大碩士班聯合招生，有效減輕學生應考負擔及提高學生報名意願。,,
105,公立,一般大學,8,國立中央大學,日,博士班,82.56,以學院為核心，與產業界或國際知名學研機構合作共同培育，將博士生的培育分流為產業研發及學術研究兩種模式，使本校所培育之博士生能更即時的滿足產業高階研發人才需求或具備進入國際學術網絡移動能力。整合教育部、產業界及校內資源，提供博士生就讀期間4年、每月2.5萬元獎助學金。105年於大專校院校務資訊公開平台公布之博士班畢業生就業率，中央大學博士班畢業生已投入職場比率高達97%，為國內頂尖大學中排名第二。,,
105,公立,一般大學,8,國立中央大學,職,碩士班,89.22,"積極因應產業人才需求，調整碩士在職專班開設領域及名額，以實務導向培育碩士班在職學生成為企業中高階幹部，105年於大專校院校務資訊公開平台公布之資訊，中央大學碩士在職專班畢業學生畢業後第一年薪資平均即近86,000元。",,
105,公立,一般大學,9,國立中山大學,日,學士班,95.86,學校未提供說明,,
105,公立,一般大學,9,國立中山大學,日,碩士班,88.22,學校未提供說明,,
105,公立,一般大學,9,國立中山大學,日,博士班,88.89,學校未提供說明,,
105,公立,一般大學,9,國立中山大學,職,碩士班,91.88,學校未提供說明,,
105,公立,一般大學,12,國立臺灣海洋大學,日,學士班,96.08,學校未提供說明,,
105,公立,一般大學,12,國立臺灣海洋大學,日,碩士班,82.69,學校未提供說明,,
105,公立,一般大學,12,國立臺灣海洋大學,日,博士班,79.69,學校未提供說明,,
105,公立,一般大學,12,國立臺灣海洋大學,職,碩士班,89.53,學校未提供說明,,
105,公立,一般大學,12,國立臺灣海洋大學,進,學士班,96.4,學校未提供說明,,
105,公立,一般大學,13,國立中正大學,日,學士班,95.21,本校以培養學生具有競爭力Competitive、人文關懷Considerate、及團隊合作United精神之優秀人才為教育目標。重視中學教育階段多元人才特質，配合大學多元入學方案及教育部高教政策，以落實多元入學、高中均質、區域均衡及照顧弱勢學生的理念為招生方向，學生依個人志願選擇有興趣學系就讀，同時兼顧學系適性選才之目的。本校學生，入學時的學測成績優秀，本身即具優秀素質人才，本校以培育未來一流人才的角度看待學生，培養其對事務追求卓越的態度、鼓勵其成就大事。本校與成功、中山、中興大學組成臺灣綜合大學系統，增廣學生學習領域，共享學習資源。為與國際接軌，積極與許多國際名校締結姊妹校進行學術交流、交換學生及雙聯學制。專業知識與人文素養，有如一車雙軌不宜偏廢，本校尊重學風自由及多元價值，大學生活，不僅是習得專業知識或職涯能力，還應具豐富生命的涵養及追求幸福的動能，以開?的心胸涵納多元言論及知識領域。,,
105,公立,一般大學,13,國立中正大學,日,碩士班,87.2,中正大學旨在培育具有精湛專業知識與深厚人文素養，並且能夠面對、解決問題的人才。本校以培養「未來一流人才」的角度看待學生，培養其對事務追求卓越的態度、鼓勵其成就大事。 專業知識與人文素養，有如一車雙軌不宜偏廢。本校尊重學風自由及多元價值，大學生活，不僅是習得專業知識或職涯能力，還應具備豐富生命的涵養以及追求幸福的動能，並以開?的心胸涵納多元言論及知識領域。 研究所旨在培養具有獨立思考、判斷能力以探究真理的學術研究人才，本校重點研究，除了繼續強化前瞻製造系統、高齡社會、毒品防治等頂尖的研究團隊外，亦將促成人文/社會與理工的跨域合作，落實人文/社會與科技相輔相成的理念，並鼓勵兼具實用價值的研究。積極從事產、官、學合作計畫；加強與雲嘉南地區政府部門或研究法人單位之間的合作。此外，視研究生為未來的年輕同事，給予精實訓練，並強化其獨立從事研究的能力。,,
105,公立,一般大學,13,國立中正大學,日,博士班,86.41,中正大學旨在培育具有精湛專業知識與深厚人文素養，並且能夠面對、解決問題的人才。本校以培養「未來一流人才」的角度看待學生，培養其對事務追求卓越的態度、鼓勵其成就大事。 專業知識與人文素養，有如一車雙軌不宜偏廢。本校尊重學風自由及多元價值，大學生活，不僅是習得專業知識或職涯能力，還應具備豐富生命的涵養以及追求幸福的動能，並以開?的心胸涵納多元言論及知識領域。 研究所旨在培養具有獨立思考、判斷能力以探究真理的學術研究人才，本校重點研究，除了繼續強化前瞻製造系統、高齡社會、毒品防治等頂尖的研究團隊外，亦將促成人文/社會與理工的跨域合作，落實人文/社會與科技相輔相成的理念，並鼓勵兼具實用價值的研究。積極從事產、官、學合作計畫；加強與雲嘉南地區政府部門或研究法人單位之間的合作。此外，視研究生為未來的年輕同事，給予精實訓練，並強化其獨立從事研究的能力。,,
105,公立,一般大學,13,國立中正大學,職,碩士班,86.79,本校碩專班以深入淺出的教學方法，提供學習及交流新式知識與技術的回流教育，是公、私部門在職人員進修之良好管道。亦有數位專班，提供更便利、多元的學習方式。 強調跨界整合，提供財務理論架構、案例驗證、經濟分析、決策管理、法律、醫療資訊、資料庫管理等課程。高階主管班，主要招收中小企業高階主管，以培育高階管理人才，協助企業提升經營績效。 結合產官學、軍教、媒體等菁英，課程除強化本職學能及研究能力外，亦能拓展綿密學習之人際脈絡，提供具全球視野與在地關懷之勞工與人力資源議題、國防與戰略、溝通談判、地方政治研究、法律法學等課程。 以當代文學、建築、歷史、民俗與宗教相互參照，建立台灣文化共同體意識，提升本土文化之推廣與教授能力。重視教育行政、領導、課程與教學，主張防治犯罪應從教育做起，期能擴展教育工作者國際教育知能及培育高級犯罪防治人才。另有為成人及高齡事業機構之經營管理及成人教育推廣而開設之課程。,,
105,公立,一般大學,14,國立高雄師範大學,日,學士班,95.36,學校未提供說明,,
105,公立,一般大學,14,國立高雄師範大學,日,碩士班,84.62,學校未提供說明,,
105,公立,一般大學,14,國立高雄師範大學,日,博士班,96.3,學校未提供說明,,
105,公立,一般大學,14,國立高雄師範大學,職,碩士班,65.15,學校未提供說明,,
105,公立,一般大學,15,國立彰化師範大學,日,學士班,96.36,本校為彰化縣唯一的國立大學，長年致力於中部地區師資培育，追求卓越之辦學精神，孕育學界優良師資，奉獻教學專長。並因應時下就業型態轉變，戮力於各系所之創新研究，秉持務實致用之人才培育宗旨，積極與產業界規劃開設高階能力培訓課程，爭取研發經費及資源。深耕教學與研究之餘，本校亦陸續開創多元學分學程，擴大學生未來就業選擇。,,
105,公立,一般大學,15,國立彰化師範大學,日,碩士班,86.66,本校為彰化縣唯一的國立大學，長年致力於中部地區師資培育，追求卓越之辦學精神，孕育學界優良師資，奉獻教學專長。並因應時下就業型態轉變，戮力於各系所之創新研究，秉持務實致用之人才培育宗旨，積極與產業界規劃開設高階能力培訓課程，爭取研發經費及資源。深耕教學與研究之餘，本校亦陸續開創多元學分學程，擴大學生未來就業選擇。,,
105,公立,一般大學,15,國立彰化師範大學,日,博士班,94.25,本校為彰化縣唯一的國立大學，長年致力於中部地區師資培育，追求卓越之辦學精神，孕育學界優良師資，奉獻教學專長。並因應時下就業型態轉變，戮力於各系所之創新研究，秉持務實致用之人才培育宗旨，積極與產業界規劃開設高階能力培訓課程，爭取研發經費及資源。深耕教學與研究之餘，本校亦陸續開創多元學分學程，擴大學生未來就業選擇。,,
105,公立,一般大學,15,國立彰化師範大學,職,碩士班,94.23,本校在職進修碩士班分為教師在職進修碩士學位班（簡稱教碩班）和碩士在職專班。教碩班之招生特色係配合政府政策，推動教師在職進修課程及滿足偏遠地區教師進修需求，以提升教師專業成長。碩士在職專班之招生特色係結合社會脈動並開設具有競爭力之課程，符應社會大眾進修需求。,,
105,公立,一般大學,16,國立陽明大學,日,學士班,92.52,本校共設立11個學士班(含1個學士學位學程及1個不分系)，分別涵蓋於醫學院、生物醫學暨工程學院、生命科學院、護理學院、牙醫學院及藥物科學院之研究領域。本校採行PBL(Problem-Based Learning)等教學方式，培養學生自我學習及思考能力；同時與中研院合作通識課程，學生能夠和不同學術領域的大師們近身交流，親聆大師們的啟發和接受嚴謹的邏輯思考訓練，以期培育出具紮實基礎知識、人文關懷且能自我思考判斷的領導人才。 如欲瞭解本校各學士班教學及研究領域規劃，請詳參本校教學單位介紹（http://web.ym.edu.tw/files/11-1133-2.php）。,,
105,公立,一般大學,16,國立陽明大學,日,碩士班,84.59,本校共設立32個碩士班(含3個碩士學位學程)，分別涵蓋於醫學院、生物醫學暨工程學院、生命科學院、護理學院、牙醫學院、人文與社會科學學院及藥物科學院之研究領域，同時本校與中央大學、交通大學及清華大學組成「台灣聯合大學系統」，藉由締盟同時強化四校基礎教育結構與整合重點研究，歷年來在生醫領域研究有卓越表現，亦培養眾多生醫領導人才。 如欲瞭解本校各碩士班教學及研究領域規劃，請詳參本校教學單位介紹（http://web.ym.edu.tw/files/11-1133-2.php）。,,
105,公立,一般大學,16,國立陽明大學,日,博士班,82.1,本校共設立28個博士班(含5個博士學位學程)，分別涵蓋於醫學院、生物醫學暨工程學院、生命科學院、護理學院、牙醫學院及藥物科學院之研究領域，同時本校與中央大學、交通大學及清華大學組成「台灣聯合大學系統」，藉由締盟同時強化四校基礎教育結構與整合重點研究，歷年來在生醫領域研究有卓越表現，亦培養眾多生醫領導人才。 如欲瞭解本校各博士班教學及研究領域規劃，請詳參本校教學單位介紹（http://web.ym.edu.tw/files/11-1133-2.php）。,,
105,公立,一般大學,16,國立陽明大學,職,碩士班,89.23,本校共設立4個碩士在職專班(含1個碩士在職學位學程)，分別涵蓋於醫學院、生命科學院、護理學院之研究領域，提供為醫療照護產業專業人員在職進修最佳管道，歷年來已培養眾多生醫領導人才。 如欲瞭解本校各碩士在職專班教學及研究領域規劃，請詳參本校教學單位介紹（http://web.ym.edu.tw/files/11-1133-2.php）。,,
105,公立,一般大學,17,國立臺北大學,日,學士班,97.26,本校前身為省立行政專科學校，創立於民國38年，為我國最早的大學之ㄧ，嗣後經歷省立法商學院、中興大學法商學院等階段發展，於民國89年改制為國立臺北大學。14年來發展為具備法律、商學、公共事務、社會科學、人文與電機資訊6學院，共有法律、企管、會計、統計、金融與合作經營、休閒運動管理、公共行政暨政策、財政、不動產與城鄉環境(原地政)、經濟、社會學、社會工作、中文、應用外語、歷史、電機工程、資訊工程、通訊工程等18學系，6獨立研究所、22碩士班、9博士班、8碩士在職專班以及9進修學士班的綜合大學。另有師資培育中心、通識中心、全球變遷與永續科學研究中心及亞洲研究中心等學術組織。本校師資陣容堅強，教學認真卓越，積極推動學生修讀輔系、雙主修跨領域專業學習，培養出的學生不僅品學兼優，畢業後為社會各行各業所器重，更是孕育國家高級文官與高階管理人才之搖籃。畢業校友人才濟濟，表現傑出，深獲社會各界肯定與讚賞。,,
105,公立,一般大學,17,國立臺北大學,日,碩士班,91.01,本校前身為省立行政專科學校，創立於民國38年，為我國最早的大學之ㄧ，嗣後經歷省立法商學院、中興大學法商學院等階段發展，於民國89年改制為國立臺北大學。14年來發展為具備法律、商學、公共事務、社會科學、人文與電機資訊6學院，共有法律、企管、會計、統計、金融與合作經營、休閒運動管理、公共行政暨政策、財政、不動產與城鄉環境(原地政)、經濟、社會學、社會工作、中文、應用外語、歷史、電機工程、資訊工程、通訊工程等18學系，6獨立研究所、22碩士班、9博士班、8碩士在職專班以及9進修學士班的綜合大學。另有師資培育中心、通識中心、全球變遷與永續科學研究中心及亞洲研究中心等學術組織。本校師資陣容堅強，教學認真卓越，積極推動學生修讀輔系、雙主修跨領域專業學習，培養出的學生不僅品學兼優，畢業後為社會各行各業所器重，更是孕育國家高級文官與高階管理人才之搖籃。畢業校友人才濟濟，表現傑出，深獲社會各界肯定與讚賞。,,
105,公立,一般大學,17,國立臺北大學,日,博士班,87.8,本校前身為省立行政專科學校，創立於民國38年，為我國最早的大學之ㄧ，嗣後經歷省立法商學院、中興大學法商學院等階段發展，於民國89年改制為國立臺北大學。14年來發展為具備法律、商學、公共事務、社會科學、人文與電機資訊6學院，共有法律、企管、會計、統計、金融與合作經營、休閒運動管理、公共行政暨政策、財政、不動產與城鄉環境(原地政)、經濟、社會學、社會工作、中文、應用外語、歷史、電機工程、資訊工程、通訊工程等18學系，6獨立研究所、22碩士班、9博士班、8碩士在職專班以及9進修學士班的綜合大學。另有師資培育中心、通識中心、全球變遷與永續科學研究中心及亞洲研究中心等學術組織。本校師資陣容堅強，教學認真卓越，積極推動學生修讀輔系、雙主修跨領域專業學習，培養出的學生不僅品學兼優，畢業後為社會各行各業所器重，更是孕育國家高級文官與高階管理人才之搖籃。畢業校友人才濟濟，表現傑出，深獲社會各界肯定與讚賞。,,
105,公立,一般大學,17,國立臺北大學,職,碩士班,97.85,本校碩士在職專班共8所：國際財務金融碩士在職專班、企業管理學系碩士在職專班、會計學系碩士在職專班、統計學系碩士在職專班、公共行政暨政策學系碩士在職專班、自然資源與環境管理研究所碩士在職專班、社會學系碩士在職專班、犯罪學研究所碩士在職專班。上課地點位處臺北金融商圈地帶，交通運輸發達，停車方便，地理位置優越，讓在職生可輕鬆利用下班時間進修、投資自己。,,
105,公立,一般大學,17,國立臺北大學,進,學士班,93.28,臺北大學進修學士班共有8系1學程，就讀進修學士班具有正式學籍，修畢規定學分者，將獲得國立大學學位文憑。在夜間上課的優勢，可充分把握白天的精華時段，以充實自己或累積社會工作經驗。本校進修學士班具有十大優勢：國立大學學位證書、優異師資、學費低廉、交通便捷、提供宿舍、業界工讀最愛、可雙主修或輔修、可至日間選課、可至臺北聯合大學系統之他校選課、寒暑期海外研習與國際交換機會。,,
105,公立,一般大學,18,國立嘉義大學,日,學士班,95.37,有關本校招生特色說明，請詳見本校招生資訊網頁http://www.ncyu.edu.tw/NewSite/content9.aspx?site_content_sn=54582。,,
105,公立,一般大學,18,國立嘉義大學,日,碩士班,80.09,有關本校招生特色說明，請詳見本校招生資訊網頁http://www.ncyu.edu.tw/NewSite/content9.aspx?site_content_sn=54582。,,
105,公立,一般大學,18,國立嘉義大學,日,博士班,97.3,有關本校招生特色說明，請詳見本校招生資訊網頁http://www.ncyu.edu.tw/NewSite/content9.aspx?site_content_sn=54582。,,
105,公立,一般大學,18,國立嘉義大學,職,碩士班,81.95,有關本校招生特色說明，請詳見本校招生資訊網頁http://www.ncyu.edu.tw/NewSite/content9.aspx?site_content_sn=54582。,,
105,公立,一般大學,18,國立嘉義大學,進,學士班,91.91,有關本校招生特色說明，請詳見本校招生資訊網頁http://www.ncyu.edu.tw/NewSite/content9.aspx?site_content_sn=54582。,,
105,公立,一般大學,19,國立高雄大學,日,學士班,95.91,一、本校共有西洋語文學系、創意設計與建築學系（建築組、設計組）、運動健康與休閒學系、運動競技學系、東亞語文學系（韓語組、越語組、日語組）、法律系、政治法律學系、財經法律學系、亞太工商管理學系（工管組、企管組）、應用經濟學系、金融管理學系、資訊管理學系、應用數學系、應用化學系、應用物理學系、生命科學系、電機工程學系、土木與環境工程學系、化學工程及材料工程學系、資訊工程學系等系所招生學士班，招生人數共1027名。 二、歡迎有興趣者，透過繁星推薦、個人申請與指定科目考試、單獨招生（僅限運動競技學系）、四技二專甄選（目前為創意設計與建築學系）等大學多元入學管道，進入本校就讀。,,
