學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,修讀雙主修人次小計,修讀雙主修人次男,修讀雙主修人次女
106,1,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,02311009,應用英語系,學士班(日間),1,0,1
106,1,私立,技專校院,1052,遠東科技大學,02122004,多媒體與遊戲發展管理系,學士班(日間),1,0,1
106,1,私立,技專校院,1052,遠東科技大學,02123006,創意商品設計與管理系,學士班(日間),1,1,0
106,1,私立,技專校院,1054,景文科技大學,04111011,理財與稅務規劃系,學士班(日間),1,0,1
106,1,私立,技專校院,1054,景文科技大學,04131007,企業管理系,學士班(日間),1,0,1
106,1,私立,技專校院,1054,景文科技大學,06131015,資訊管理系,學士班(日間),1,1,0
106,1,私立,技專校院,1055,中華醫事科技大學,04133002,醫務暨健康事業管理系,學士班(日間),4,1,3
106,1,私立,技專校院,1055,中華醫事科技大學,05121004,生物科技系,學士班(日間),1,0,1
106,1,私立,技專校院,1055,中華醫事科技大學,05191017,食品營養系,學士班(日間),5,2,3
106,1,私立,技專校院,1055,中華醫事科技大學,09141021,醫學檢驗生物技術系,學士班(日間),3,1,2
106,1,私立,技專校院,1055,中華醫事科技大學,09141022,視光系,學士班(日間),2,2,0
106,1,私立,技專校院,1055,中華醫事科技大學,09191013,職業安全衛生系,學士班(日間),2,1,1
106,1,私立,技專校院,1055,中華醫事科技大學,09199019,長期照顧系,學士班(日間),42,12,30
106,1,私立,技專校院,1055,中華醫事科技大學,09221024,幼兒保育系,學士班(日間),2,2,0
106,1,私立,技專校院,1055,中華醫事科技大學,10121027,化妝品應用與管理系,學士班(日間),1,0,1
106,1,私立,技專校院,1057,德明財經科技大學,04143013,行銷管理系,學士班(日間),1,1,0
106,1,私立,一般大學,1058,明道學校財團法人明道大學,02112010,數位設計學系,學士班(日間),1,0,1
106,1,私立,一般大學,1058,明道學校財團法人明道大學,02311006,應用日語學系,學士班(日間),1,1,0
106,1,私立,一般大學,1058,明道學校財團法人明道大學,02322003,中國文學學系,學士班(日間),1,1,0
106,1,私立,一般大學,1058,明道學校財團法人明道大學,08111037,精緻農業學系,學士班(日間),1,1,0
106,1,私立,一般大學,1058,明道學校財團法人明道大學,10131039,餐旅管理學系,學士班(日間),1,1,0
106,1,私立,一般大學,1058,明道學校財團法人明道大學,10152040,休閒保健學系,學士班(日間),2,0,2
106,1,私立,技專校院,1061,中華學校財團法人中華科技大學,07141014,電子工程系,學士班(日間),1,1,0
106,1,私立,技專校院,1061,中華學校財團法人中華科技大學,07191024,工業工程與管理系,學士班(日間),2,2,0
106,1,私立,技專校院,1062,僑光科技大學,10131025,旅館與會展管理系,學士班(日間),1,0,1
106,1,私立,技專校院,1063,廣亞學校財團法人育達科技大學,02311005,應用日語系,學士班(日間),2,0,2
106,1,私立,技專校院,1063,廣亞學校財團法人育達科技大學,06131024,資訊管理系,學士班(日間),1,0,1
106,1,私立,技專校院,1063,廣亞學校財團法人育達科技大學,10151031,休閒事業管理系,學士班(日間),1,0,1
106,1,私立,技專校院,1064,美和學校財團法人美和科技大學,09231016,社會工作系,學士班(日間),1,0,1
106,1,私立,技專校院,1064,美和學校財團法人美和科技大學,10121021,美容系,學士班(日間),1,0,1
106,1,私立,技專校院,1065,吳鳳科技大學,01121023,幼兒保育系,學士班(日間),1,0,1
106,1,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,10131030,餐旅管理學系,學士班(日間),3,0,3
106,1,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,10151036,觀光事業管理學系,學士班(日間),1,0,1
106,1,私立,技專校院,1069,修平學校財團法人修平科技大學,06121018,資訊網路技術系,學士班(日間),2,2,0
106,1,私立,技專校院,1070,長庚學校財團法人長庚科技大學,09131004,護理系,學士班(日間),1,1,0
106,1,私立,技專校院,1070,長庚學校財團法人長庚科技大學,09131006,呼吸照護系,學士班(日間),1,0,1
106,1,私立,技專校院,1070,長庚學校財團法人長庚科技大學,09221008,幼兒保育系,學士班(日間),2,0,2
106,1,私立,技專校院,1072,大華學校財團法人敏實科技大學,07191022,工業工程與管理系,學士班(日間),1,0,1
106,1,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,02123005,商業設計系,學士班(日間),1,0,1
106,1,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,03211007,資訊傳播系,學士班(日間),3,0,3
106,1,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,04199011,企業管理系,學士班(日間),1,0,1
106,1,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,06134023,資訊科技應用系,學士班(日間),1,0,1
106,1,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,10131025,餐旅管理系,學士班(日間),1,1,0
106,1,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,10151030,旅運管理系,學士班(日間),1,1,0
106,1,私立,技專校院,1075,文藻學校財團法人文藻外語大學,02311007,英國語文系,學士班(日間),20,6,14
106,1,私立,技專校院,1075,文藻學校財團法人文藻外語大學,02311007,英國語文系,學士班(進修),14,1,13
106,1,私立,技專校院,1075,文藻學校財團法人文藻外語大學,02311009,法國語文系,學士班(日間),12,2,10
106,1,私立,技專校院,1075,文藻學校財團法人文藻外語大學,02311010,德國語文系,學士班(日間),10,0,10
106,1,私立,技專校院,1075,文藻學校財團法人文藻外語大學,02311010,德國語文系,學士班(進修),2,0,2
106,1,私立,技專校院,1075,文藻學校財團法人文藻外語大學,02311011,西班牙語文系,學士班(日間),16,1,15
106,1,私立,技專校院,1075,文藻學校財團法人文藻外語大學,02311011,西班牙語文系,學士班(進修),1,0,1
106,1,私立,技專校院,1075,文藻學校財團法人文藻外語大學,02311012,日本語文系,學士班(日間),5,1,4
106,1,私立,技專校院,1075,文藻學校財團法人文藻外語大學,02311012,日本語文系,學士班(進修),1,0,1
106,1,私立,技專校院,1075,文藻學校財團法人文藻外語大學,02312013,翻譯系,學士班(日間),38,3,35
106,1,私立,技專校院,1075,文藻學校財團法人文藻外語大學,02323004,應用華語文系,學士班(日間),15,4,11
106,1,私立,技專校院,1075,文藻學校財團法人文藻外語大學,03122016,國際事務系,學士班(日間),9,2,7
106,1,私立,技專校院,1075,文藻學校財團法人文藻外語大學,03211018,傳播藝術系,學士班(日間),12,1,11
106,1,私立,技專校院,1075,文藻學校財團法人文藻外語大學,04131020,國際企業管理系,學士班(日間),8,4,4
106,1,私立,技專校院,1075,文藻學校財團法人文藻外語大學,06134024,數位內容應用與管理系,學士班(日間),3,0,3
106,1,私立,技專校院,1075,文藻學校財團法人文藻外語大學,10151025,國際觀光與會展學士學位學程,學士班(進修),1,0,1
106,1,私立,技專校院,1078,致理學校財團法人致理科技大學,02311010,應用英語系,學士班(日間),1,0,1
106,1,私立,技專校院,1078,致理學校財團法人致理科技大學,02311010,應用英語系,學士班(進修),2,2,0
106,1,私立,技專校院,1078,致理學校財團法人致理科技大學,04111013,會計資訊系,學士班(進修),1,0,1
106,1,私立,技專校院,1078,致理學校財團法人致理科技大學,04131014,企業管理系,學士班(日間),1,0,1
106,1,私立,技專校院,1078,致理學校財團法人致理科技大學,04132019,行銷與流通管理系,學士班(進修),2,0,2
106,1,私立,技專校院,1078,致理學校財團法人致理科技大學,04199020,商務科技管理系,學士班(日間),1,0,1
106,1,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,10152024,海洋運動休閒系,學士班(日間),1,1,0
106,1,私立,一般大學,1176,稻江科技暨管理學院,10152039,休閒遊憩管理學系,學士班(日間),1,1,0
106,1,私立,技專校院,1183,黎明技術學院,06121009,資訊管理系,學士班(進修),1,0,1
106,1,私立,技專校院,1183,黎明技術學院,06132010,數位多媒體系,學士班(日間),1,0,1
106,1,公立,一般大學,3002,臺北市立大學,01111001,教育學系,學士班(日間),6,2,4
106,1,公立,一般大學,3002,臺北市立大學,01113029,特殊教育學系,學士班(日間),5,1,4
106,1,公立,一般大學,3002,臺北市立大學,01115036,學習與媒材設計學系,學士班(日間),1,0,1
106,1,公立,一般大學,3002,臺北市立大學,01121027,幼兒教育學系,學士班(日間),11,1,10
106,1,公立,一般大學,3002,臺北市立大學,01131017,英語教學系,學士班(日間),1,1,0
106,1,公立,一般大學,3002,臺北市立大學,01141025,體育學系,學士班(日間),2,2,0
106,1,公立,一般大學,3002,臺北市立大學,02111040,視覺藝術學系,學士班(日間),1,1,0
106,1,公立,一般大學,3002,臺北市立大學,02221019,歷史與地理學系,學士班(日間),4,4,0
106,1,公立,一般大學,3002,臺北市立大學,02322043,中國語文學系,學士班(日間),10,1,9
106,1,公立,一般大學,3002,臺北市立大學,05211023,地球環境暨生物資源學系,學士班(日間),1,1,0
106,1,公立,一般大學,3002,臺北市立大學,05399011,應用物理暨化學系,學士班(日間),4,2,2
106,1,公立,一般大學,3002,臺北市立大學,10141060,球類運動學系,學士班(日間),8,5,3
106,1,公立,一般大學,3002,臺北市立大學,10141062,陸上運動學系,學士班(日間),6,3,3
106,1,公立,一般大學,3002,臺北市立大學,10141063,水上運動學系,學士班(日間),4,4,0
106,1,公立,一般大學,3002,臺北市立大學,10152050,休閒運動管理學系,學士班(日間),4,0,4
106,1,公立,一般大學,3002,臺北市立大學,10152052,運動健康科學系,學士班(日間),1,0,1
106,2,公立,一般大學,0001,國立政治大學,01111001,教育學系,學士班(日間),54,19,35
106,2,公立,一般大學,0001,國立政治大學,02221020,歷史學系,學士班(日間),42,24,18
106,2,公立,一般大學,0001,國立政治大學,02222031,民族學系,學士班(日間),57,17,40
106,2,公立,一般大學,0001,國立政治大學,02231022,哲學系,學士班(日間),48,15,33
106,2,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,學士班(日間),40,13,27
106,2,公立,一般大學,0001,國立政治大學,02311011,日本語文學系,學士班(日間),36,9,27
106,2,公立,一般大學,0001,國立政治大學,02311012,阿拉伯語文學系,學士班(日間),47,15,32
106,2,公立,一般大學,0001,國立政治大學,02311014,韓國語文學系,學士班(日間),22,5,17
106,2,公立,一般大學,0001,國立政治大學,02311015,土耳其語文學系,學士班(日間),20,7,13
106,2,公立,一般大學,0001,國立政治大學,02311016,歐洲語文學系,學士班(日間),60,11,49
106,2,公立,一般大學,0001,國立政治大學,02311017,斯拉夫語文學系,學士班(日間),32,9,23
106,2,公立,一般大學,0001,國立政治大學,02311087,東南亞語言與文化學士學位學程,學士班(日間),1,0,1
106,2,公立,一般大學,0001,國立政治大學,02322008,中國文學系,學士班(日間),81,25,56
106,2,公立,一般大學,0001,國立政治大學,03111024,經濟學系,學士班(日間),56,20,36
106,2,公立,一般大學,0001,國立政治大學,03121026,政治學系,學士班(日間),45,18,27
106,2,公立,一般大學,0001,國立政治大學,03122045,外交學系,學士班(日間),58,20,38
106,2,公立,一般大學,0001,國立政治大學,03131032,心理學系,學士班(日間),22,11,11
106,2,公立,一般大學,0001,國立政治大學,03141030,社會學系,學士班(日間),45,20,25
106,2,公立,一般大學,0001,國立政治大學,03143043,地政學系,學士班(日間),56,25,31
106,2,公立,一般大學,0001,國立政治大學,03211056,傳播學院大一大二不分系,學士班(日間),80,17,63
106,2,公立,一般大學,0001,國立政治大學,03213052,廣播電視學系,學士班(日間),20,6,14
106,2,公立,一般大學,0001,國立政治大學,03214051,新聞學系,學士班(日間),23,9,14
106,2,公立,一般大學,0001,國立政治大學,04111059,會計學系,學士班(日間),49,24,25
106,2,公立,一般大學,0001,國立政治大學,04121065,財務管理學系,學士班(日間),22,10,12
106,2,公立,一般大學,0001,國立政治大學,04121068,金融學系,學士班(日間),18,8,10
106,2,公立,一般大學,0001,國立政治大學,04122070,財政學系,學士班(日間),41,16,25
106,2,公立,一般大學,0001,國立政治大學,04123069,風險管理與保險學系,學士班(日間),17,9,8
106,2,公立,一般大學,0001,國立政治大學,04131060,企業管理學系,學士班(日間),68,22,46
106,2,公立,一般大學,0001,國立政治大學,04134041,公共行政學系,學士班(日間),30,2,28
106,2,公立,一般大學,0001,國立政治大學,04141067,國際經營與貿易學系,學士班(日間),43,9,34
106,2,公立,一般大學,0001,國立政治大學,04143055,廣告學系,學士班(日間),51,16,35
106,2,公立,一般大學,0001,國立政治大學,04211073,法律學系,學士班(日間),66,39,27
106,2,公立,一般大學,0001,國立政治大學,05411078,應用數學系,學士班(日間),8,4,4
106,2,公立,一般大學,0001,國立政治大學,05421079,統計學系,學士班(日間),10,5,5
106,2,公立,一般大學,0001,國立政治大學,06131080,資訊管理學系,學士班(日間),55,27,28
106,2,公立,一般大學,0001,國立政治大學,06131081,資訊科學系,學士班(日間),32,21,11
106,2,公立,一般大學,0002,國立清華大學,01113095,特殊教育學系,學士班(日間),1,0,1
106,2,公立,一般大學,0002,國立清華大學,01131105,英語教學系,學士班(日間),4,2,2
106,2,公立,一般大學,0002,國立清華大學,02131098,藝術與設計學系,學士班(日間),1,0,1
106,2,公立,一般大學,0002,國立清華大學,02299010,人文社會學院學士班,學士班(日間),8,3,5
106,2,公立,一般大學,0002,國立清華大學,02311002,外國語文學系,學士班(日間),18,4,14
106,2,公立,一般大學,0002,國立清華大學,02322003,中國文學系,學士班(日間),15,4,11
106,2,公立,一般大學,0002,國立清華大學,02322109,中國語文學系,學士班(日間),1,0,1
106,2,公立,一般大學,0002,國立清華大學,03111011,經濟學系,學士班(日間),21,14,7
106,2,公立,一般大學,0002,國立清華大學,04121020,計量財務金融學系,學士班(日間),1,0,1
106,2,公立,一般大學,0002,國立清華大學,04199023,科技管理學院學士班,學士班(日間),2,1,1
106,2,公立,一般大學,0002,國立清華大學,05121025,生命科學系,學士班(日間),2,2,0
106,2,公立,一般大學,0002,國立清華大學,05199032,生命科學院學士班,學士班(日間),3,3,0
106,2,公立,一般大學,0002,國立清華大學,05211102,環境與文化資源學系,學士班(日間),1,0,1
106,2,公立,一般大學,0002,國立清華大學,05311037,化學系,學士班(日間),2,2,0
106,2,公立,一般大學,0002,國立清華大學,05331038,物理學系,學士班(日間),2,2,0
106,2,公立,一般大學,0002,國立清華大學,05411043,數學系,學士班(日間),11,9,2
106,2,公立,一般大學,0002,國立清華大學,06131053,資訊工程學系,學士班(日間),1,0,1
106,2,公立,一般大學,0002,國立清華大學,07112058,材料科學工程學系,學士班(日間),2,2,0
106,2,公立,一般大學,0002,國立清華大學,07141049,電機工程學系,學士班(日間),3,2,1
106,2,公立,一般大學,0002,國立清華大學,07141055,電機資訊學院學士班,學士班(日間),1,0,1
106,2,公立,一般大學,0002,國立清華大學,07151056,動力機械工程學系,學士班(日間),2,2,0
106,2,公立,一般大學,0002,國立清華大學,07191061,工業工程與工程管理學系,學士班(日間),2,0,2
106,2,公立,一般大學,0002,國立清華大學,07193063,生醫工程與環境科學系,學士班(日間),2,2,0
106,2,公立,一般大學,0002,國立清華大學,07194069,原子科學院學士班,學士班(日間),1,1,0
106,2,公立,一般大學,0002,國立清華大學,09121073,醫學科學系,學士班(日間),1,0,1
106,2,公立,一般大學,0003,國立臺灣大學,02221012,歷史學系,學士班(日間),2,1,1
106,2,公立,一般大學,0003,國立臺灣大學,02222013,人類學系,學士班(日間),1,1,0
106,2,公立,一般大學,0003,國立臺灣大學,02231014,哲學系,學士班(日間),2,1,1
106,2,公立,一般大學,0003,國立臺灣大學,02311007,外國語文學系,學士班(日間),1,0,1
106,2,公立,一般大學,0003,國立臺灣大學,02322006,中國文學系,學士班(日間),1,0,1
106,2,公立,一般大學,0003,國立臺灣大學,03111015,經濟學系,學士班(日間),1,1,0
106,2,公立,一般大學,0003,國立臺灣大學,03141018,社會學系,學士班(日間),3,1,2
106,2,公立,一般大學,0003,國立臺灣大學,05321052,地質科學系,學士班(日間),2,1,1
106,2,公立,一般大學,0003,國立臺灣大學,05331054,物理學系,學士班(日間),1,1,0
106,2,公立,一般大學,0003,國立臺灣大學,07151072,生物產業機電工程學系,學士班(日間),2,2,0
106,2,公立,一般大學,0003,國立臺灣大學,07321075,生物環境系統工程學系,學士班(日間),1,1,0
106,2,公立,一般大學,0003,國立臺灣大學,08111087,農藝學系,學士班(日間),1,1,0
106,2,公立,一般大學,0003,國立臺灣大學,08121091,園藝暨景觀學系,學士班(日間),1,0,1
106,2,公立,一般大學,0003,國立臺灣大學,08193096,農業經濟學系,學士班(日間),1,0,1
106,2,公立,一般大學,0003,國立臺灣大學,08211102,森林環境暨資源學系,學士班(日間),3,0,3
106,2,公立,一般大學,0003,國立臺灣大學,08411104,獸醫學系,學士班(日間),1,0,1
106,2,公立,一般大學,0003,國立臺灣大學,09141136,醫學檢驗暨生物技術學系,學士班(日間),1,1,0
106,2,公立,一般大學,0003,國立臺灣大學,09152133,職能治療學系,學士班(日間),1,0,1
106,2,公立,一般大學,0003,國立臺灣大學,09231144,社會工作學系,學士班(日間),1,1,0
106,2,公立,一般大學,0004,國立臺灣師範大學,01111001,教育學系,學士班(日間),78,19,59
106,2,公立,一般大學,0004,國立臺灣師範大學,01113018,特殊教育學系,學士班(日間),15,3,12
106,2,公立,一般大學,0004,國立臺灣師範大學,01131004,公民教育與活動領導學系,學士班(日間),23,3,20
106,2,公立,一般大學,0004,國立臺灣師範大學,01131009,社會教育學系,學士班(日間),16,2,14
106,2,公立,一般大學,0004,國立臺灣師範大學,01131017,健康促進與衛生教育學系,學士班(日間),25,10,15
106,2,公立,一般大學,0004,國立臺灣師範大學,01141007,人類發展與家庭學系,學士班(日間),29,4,25
106,2,公立,一般大學,0004,國立臺灣師範大學,01141010,工業教育學系,學士班(日間),3,2,1
106,2,公立,一般大學,0004,國立臺灣師範大學,01141015,體育學系,學士班(日間),10,7,3
106,2,公立,一般大學,0004,國立臺灣師範大學,01199022,科技應用與人力資源發展學系,學士班(日間),12,8,4
106,2,公立,一般大學,0004,國立臺灣師範大學,02131023,美術學系,學士班(日間),1,0,1
106,2,公立,一般大學,0004,國立臺灣師範大學,02151024,音樂學系,學士班(日間),21,1,20
106,2,公立,一般大學,0004,國立臺灣師範大學,02152027,表演藝術學士學位學程,學士班(日間),1,0,1
106,2,公立,一般大學,0004,國立臺灣師範大學,02221035,歷史學系,學士班(日間),10,2,8
106,2,公立,一般大學,0004,國立臺灣師範大學,02311033,英語學系,學士班(日間),11,5,6
106,2,公立,一般大學,0004,國立臺灣師範大學,02313005,華語文教學系,學士班(日間),16,2,14
106,2,公立,一般大學,0004,國立臺灣師範大學,02321028,臺灣語文學系,學士班(日間),8,1,7
106,2,公立,一般大學,0004,國立臺灣師範大學,02322029,國文學系,學士班(日間),35,6,29
106,2,公立,一般大學,0004,國立臺灣師範大學,03131003,教育心理與輔導學系,學士班(日間),8,2,6
106,2,公立,一般大學,0004,國立臺灣師範大學,03142041,地理學系,學士班(日間),8,5,3
106,2,公立,一般大學,0004,國立臺灣師範大學,03143042,東亞學系,學士班(日間),12,3,9
106,2,公立,一般大學,0004,國立臺灣師範大學,03214050,圖文傳播學系,學士班(日間),7,2,5
106,2,公立,一般大學,0004,國立臺灣師範大學,04131051,企業管理學系,學士班(日間),4,0,4
106,2,公立,一般大學,0004,國立臺灣師範大學,05111056,生命科學系,學士班(日間),9,6,3
106,2,公立,一般大學,0004,國立臺灣師範大學,05311059,化學系,學士班(日間),10,7,3
106,2,公立,一般大學,0004,國立臺灣師範大學,05321060,地球科學系,學士班(日間),8,6,2
106,2,公立,一般大學,0004,國立臺灣師範大學,05331061,物理學系,學士班(日間),11,7,4
106,2,公立,一般大學,0004,國立臺灣師範大學,05411062,數學系,學士班(日間),6,3,3
106,2,公立,一般大學,0004,國立臺灣師範大學,06131065,資訊工程學系,學士班(日間),4,2,2
106,2,公立,一般大學,0004,國立臺灣師範大學,07141063,電機工程學系,學士班(日間),2,1,1
106,2,公立,一般大學,0004,國立臺灣師範大學,07151068,機電工程學系,學士班(日間),3,2,1
106,2,公立,一般大學,0004,國立臺灣師範大學,10141074,運動競技學系,學士班(日間),1,1,0
106,2,公立,一般大學,0005,國立成功大學,02123113,工業設計學系,學士班(日間),4,3,1
106,2,公立,一般大學,0005,國立成功大學,02221110,歷史學系,學士班(日間),20,8,12
106,2,公立,一般大學,0005,國立成功大學,02311108,外國語文學系,學士班(日間),14,3,11
106,2,公立,一般大學,0005,國立成功大學,02321106,台灣文學系,學士班(日間),10,3,7
106,2,公立,一般大學,0005,國立成功大學,02322107,中國文學系,學士班(日間),17,2,15
106,2,公立,一般大學,0005,國立成功大學,03111114,經濟學系,學士班(日間),12,6,6
106,2,公立,一般大學,0005,國立成功大學,03121115,政治學系,學士班(日間),17,4,13
106,2,公立,一般大學,0005,國立成功大學,03131117,心理學系,學士班(日間),11,8,3
106,2,公立,一般大學,0005,國立成功大學,04111120,會計學系,學士班(日間),7,3,4
106,2,公立,一般大學,0005,國立成功大學,04131121,企業管理學系,學士班(日間),13,5,8
106,2,公立,一般大學,0005,國立成功大學,04199057,工業與資訊管理學系,學士班(日間),5,4,1
106,2,公立,一般大學,0005,國立成功大學,04211001,法律學系,學士班(日間),14,7,7
106,2,公立,一般大學,0005,國立成功大學,05111003,生命科學系,學士班(日間),6,3,3
106,2,公立,一般大學,0005,國立成功大學,05121008,生物科技與產業科學系,學士班(日間),6,4,2
106,2,公立,一般大學,0005,國立成功大學,05311017,化學系,學士班(日間),5,0,5
106,2,公立,一般大學,0005,國立成功大學,05321019,地球科學系,學士班(日間),22,16,6
106,2,公立,一般大學,0005,國立成功大學,05331021,物理學系,學士班(日間),5,5,0
106,2,公立,一般大學,0005,國立成功大學,05411027,數學系,學士班(日間),16,11,5
106,2,公立,一般大學,0005,國立成功大學,05421029,統計學系,學士班(日間),8,4,4
106,2,公立,一般大學,0005,國立成功大學,06131036,資訊工程學系,學士班(日間),6,5,1
106,2,公立,一般大學,0005,國立成功大學,07111050,化學工程學系,學士班(日間),6,4,2
106,2,公立,一般大學,0005,國立成功大學,07112063,材料科學及工程學系,學士班(日間),1,0,1
106,2,公立,一般大學,0005,國立成功大學,07121070,環境工程學系,學士班(日間),7,5,2
106,2,公立,一般大學,0005,國立成功大學,07122026,水利及海洋工程學系,學士班(日間),11,8,3
106,2,公立,一般大學,0005,國立成功大學,07132074,能源國際學士學位學程,學士班(日間),2,2,0
106,2,公立,一般大學,0005,國立成功大學,07141032,電機工程學系,學士班(日間),4,3,1
106,2,公立,一般大學,0005,國立成功大學,07141035,光電科學與工程學系,學士班(日間),2,2,0
106,2,公立,一般大學,0005,國立成功大學,07141071,工程科學系,學士班(日間),1,1,0
106,2,公立,一般大學,0005,國立成功大學,07151042,機械工程學系,學士班(日間),10,6,4
106,2,公立,一般大學,0005,國立成功大學,07162043,航空太空工程學系,學士班(日間),8,6,2
106,2,公立,一般大學,0005,國立成功大學,07163044,系統及船舶機電工程學系,學士班(日間),5,3,2
106,2,公立,一般大學,0005,國立成功大學,07193061,生物醫學工程學系,學士班(日間),3,3,0
106,2,公立,一般大學,0005,國立成功大學,07241064,資源工程學系,學士班(日間),2,2,0
106,2,公立,一般大學,0005,國立成功大學,07311075,建築學系,學士班(日間),1,1,0
106,2,公立,一般大學,0005,國立成功大學,07313076,都市計劃學系,學士班(日間),2,0,2
106,2,公立,一般大學,0005,國立成功大學,07321049,土木工程學系,學士班(日間),7,5,2
106,2,公立,一般大學,0005,國立成功大學,07322067,測量及空間資訊學系,學士班(日間),8,5,3
106,2,公立,一般大學,0005,國立成功大學,09121077,醫學系,學士班(日間),3,2,1
106,2,公立,一般大學,0005,國立成功大學,09152089,職能治療學系,學士班(日間),2,0,2
106,2,公立,一般大學,0005,國立成功大學,10411098,交通管理科學系,學士班(日間),8,5,3
106,2,公立,一般大學,0006,國立中興大學,02221007,歷史學系,學士班(日間),41,20,21
106,2,公立,一般大學,0006,國立中興大學,02311006,外國語文學系,學士班(日間),13,2,11
106,2,公立,一般大學,0006,國立中興大學,02322005,中國文學系,學士班(日間),29,6,23
106,2,公立,一般大學,0006,國立中興大學,03111009,應用經濟學系,學士班(日間),7,3,4
106,2,公立,一般大學,0006,國立中興大學,04111015,會計學系,學士班(日間),2,2,0
106,2,公立,一般大學,0006,國立中興大學,04121019,財務金融學系,學士班(日間),1,1,0
106,2,公立,一般大學,0006,國立中興大學,04143020,行銷學系,學士班(日間),1,0,1
106,2,公立,一般大學,0006,國立中興大學,04211023,法律學系,學士班(日間),2,2,0
106,2,公立,一般大學,0006,國立中興大學,05111026,生命科學系,學士班(日間),4,3,1
106,2,公立,一般大學,0006,國立中興大學,05111029,昆蟲學系,學士班(日間),6,3,3
106,2,公立,一般大學,0006,國立中興大學,05121031,生物科技學士學位學程,學士班(日間),5,3,2
106,2,公立,一般大學,0006,國立中興大學,05292082,水土保持學系,學士班(日間),2,0,2
106,2,公立,一般大學,0006,國立中興大學,05311039,化學系,學士班(日間),1,0,1
106,2,公立,一般大學,0006,國立中興大學,05331040,物理學系,學士班(日間),1,1,0
106,2,公立,一般大學,0006,國立中興大學,05411041,應用數學系,學士班(日間),3,2,1
106,2,公立,一般大學,0006,國立中興大學,07151050,機械工程學系,學士班(日間),1,1,0
106,2,公立,一般大學,0006,國立中興大學,07211081,食品暨應用生物科技學系,學士班(日間),1,0,1
106,2,公立,一般大學,0006,國立中興大學,07312061,景觀與遊憩學士學位學程,學士班(日間),2,1,1
106,2,公立,一般大學,0006,國立中興大學,07321054,土木工程學系,學士班(日間),5,3,2
106,2,公立,一般大學,0006,國立中興大學,08111063,農藝學系,學士班(日間),5,2,3
106,2,公立,一般大學,0006,國立中興大學,08121067,園藝學系,學士班(日間),2,2,0
106,2,公立,一般大學,0006,國立中興大學,08191083,土壤環境科學系,學士班(日間),6,4,2
106,2,公立,一般大學,0006,國立中興大學,08193078,國際農企業學士學位學程,學士班(日間),4,0,4
106,2,公立,一般大學,0006,國立中興大學,08194068,植物病理學系,學士班(日間),5,3,2
106,2,公立,一般大學,0006,國立中興大學,08211086,森林學系,學士班(日間),6,3,3
106,2,公立,一般大學,0007,國立陽明交通大學,02299008,人文社會學系,學士班(日間),11,5,6
106,2,公立,一般大學,0007,國立陽明交通大學,02311005,外國語文學系,學士班(日間),6,1,5
106,2,公立,一般大學,0007,國立陽明交通大學,03211015,傳播與科技學系,學士班(日間),4,2,2
106,2,公立,一般大學,0007,國立陽明交通大學,04121020,資訊管理與財務金融學系,學士班(日間),3,0,3
106,2,公立,一般大學,0007,國立陽明交通大學,04131018,管理科學系,學士班(日間),18,6,12
106,2,公立,一般大學,0007,國立陽明交通大學,05121028,生物科技學系,學士班(日間),25,18,7
106,2,公立,一般大學,0007,國立陽明交通大學,05311036,應用化學系,學士班(日間),25,18,7
106,2,公立,一般大學,0007,國立陽明交通大學,05331041,電子物理學系,學士班(日間),23,21,2
106,2,公立,一般大學,0007,國立陽明交通大學,05411045,應用數學系,學士班(日間),24,17,7
106,2,公立,一般大學,0007,國立陽明交通大學,06131058,資訊工程學系,學士班(日間),3,3,0
106,2,公立,一般大學,0007,國立陽明交通大學,07141050,電機工程學系,學士班(日間),4,4,0
106,2,公立,一般大學,0007,國立陽明交通大學,07141051,電子工程學系,學士班(日間),2,2,0
106,2,公立,一般大學,0007,國立陽明交通大學,07141055,光電工程學系,學士班(日間),5,4,1
106,2,公立,一般大學,0007,國立陽明交通大學,07141074,奈米科學及工程學士學位學程,學士班(日間),1,1,0
106,2,公立,一般大學,0007,國立陽明交通大學,07151070,機械工程學系,學士班(日間),6,6,0
106,2,公立,一般大學,0007,國立陽明交通大學,07191075,工業工程與管理學系,學士班(日間),15,9,6
106,2,公立,一般大學,0007,國立陽明交通大學,07321071,土木工程學系,學士班(日間),8,6,2
106,2,公立,一般大學,0007,國立陽明交通大學,10411086,運輸與物流管理學系,學士班(日間),2,0,2
106,2,公立,一般大學,0008,國立中央大學,02311007,英美語文學系,學士班(日間),8,3,5
106,2,公立,一般大學,0008,國立中央大學,02311008,法國語文學系,學士班(日間),10,2,8
