學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,合作學校國家(地區)別,合作學校國家(地區)區域別,雙聯合作案件數
105,2,公立,一般大學,0003,國立臺灣大學,04131031,國際企業學系,學士班(日間),日本,其他亞洲地區,1
105,2,公立,一般大學,0003,國立臺灣大學,04199034,臺大－復旦EMBA境外專班,碩士在職專班,大陸地區,大陸地區,1
105,2,公立,一般大學,0003,國立臺灣大學,04211035,法律學系,博士班,日本,其他亞洲地區,1
105,2,公立,一般大學,0003,國立臺灣大學,04211035,法律學系,博士班,德意志聯邦共和國,歐洲,1
105,2,公立,一般大學,0003,國立臺灣大學,05111040,植物科學研究所,博士班,法國,歐洲,1
105,2,公立,一般大學,0003,國立臺灣大學,05121045,生化科學研究所,博士班,法國,歐洲,1
105,2,公立,一般大學,0003,國立臺灣大學,05212043,生態學與演化生物學研究所,博士班,法國,歐洲,1
105,2,公立,一般大學,0003,國立臺灣大學,05311051,化學系,博士班,法國,歐洲,1
105,2,公立,一般大學,0003,國立臺灣大學,05321052,地質科學系,博士班,法國,歐洲,2
105,2,公立,一般大學,0003,國立臺灣大學,05322056,大氣科學系,學士班(日間),美國,北美洲,1
105,2,公立,一般大學,0003,國立臺灣大學,05322056,大氣科學系,碩士班(日間),美國,北美洲,1
105,2,公立,一般大學,0003,國立臺灣大學,05322056,大氣科學系,博士班,美國,北美洲,1
105,2,公立,一般大學,0003,國立臺灣大學,05323057,海洋研究所,博士班,法國,歐洲,1
105,2,公立,一般大學,0003,國立臺灣大學,05411059,數學系,博士班,法國,歐洲,2
105,2,公立,一般大學,0003,國立臺灣大學,06131062,資訊管理學系,學士班(日間),美國,北美洲,3
105,2,公立,一般大學,0003,國立臺灣大學,06131062,資訊管理學系,碩士班(日間),美國,北美洲,1
105,2,公立,一般大學,0003,國立臺灣大學,06131067,資訊工程學系,學士班(日間),美國,北美洲,2
105,2,公立,一般大學,0003,國立臺灣大學,07111076,化學工程學系,博士班,法國,歐洲,1
105,2,公立,一般大學,0003,國立臺灣大學,07112078,材料科學與工程學系,博士班,芬蘭共和國,歐洲,1
105,2,公立,一般大學,0003,國立臺灣大學,07112078,材料科學與工程學系,博士班,法國,歐洲,1
105,2,公立,一般大學,0003,國立臺灣大學,07141064,電機工程學系,碩士班(日間),美國,北美洲,1
105,2,公立,一般大學,0003,國立臺灣大學,07141065,電子工程學研究所,博士班,法國,歐洲,1
105,2,公立,一般大學,0003,國立臺灣大學,07141066,光電工程學研究所,碩士班(日間),比利時王國,歐洲,2
105,2,公立,一般大學,0003,國立臺灣大學,07141066,光電工程學研究所,博士班,法國,歐洲,1
105,2,公立,一般大學,0003,國立臺灣大學,07141068,電信工程學研究所,碩士班(日間),法國,歐洲,2
105,2,公立,一般大學,0003,國立臺灣大學,07151069,機械工程學系,碩士班(日間),大陸地區,大陸地區,1
105,2,公立,一般大學,0003,國立臺灣大學,07151069,機械工程學系,博士班,法國,歐洲,1
105,2,公立,一般大學,0003,國立臺灣大學,07151082,工程科學及海洋工程學系,學士班(日間),法國,歐洲,1
105,2,公立,一般大學,0003,國立臺灣大學,07151082,工程科學及海洋工程學系,博士班,法國,歐洲,3
105,2,公立,一般大學,0003,國立臺灣大學,07193081,生醫電子與資訊學研究所,博士班,法國,歐洲,1
105,2,公立,一般大學,0003,國立臺灣大學,07194071,應用力學研究所,博士班,捷克共和國,歐洲,1
105,2,公立,一般大學,0003,國立臺灣大學,07194071,應用力學研究所,博士班,法國,歐洲,1
105,2,公立,一般大學,0003,國立臺灣大學,07194083,醫學工程學研究所,博士班,法國,歐洲,1
105,2,公立,一般大學,0003,國立臺灣大學,07313086,建築與城鄉研究所,博士班,荷蘭王國,歐洲,1
105,2,公立,一般大學,0003,國立臺灣大學,07321074,土木工程學系,碩士班(日間),新加坡共和國,東協,1
105,2,公立,一般大學,0003,國立臺灣大學,07321074,土木工程學系,碩士班(日間),泰國,東協,1
105,2,公立,一般大學,0003,國立臺灣大學,07321074,土木工程學系,碩士班(日間),越南社會主義共和國,東協,1
105,2,公立,一般大學,0003,國立臺灣大學,07321074,土木工程學系,碩士班(日間),英國,歐洲,1
105,2,公立,一般大學,0003,國立臺灣大學,07321074,土木工程學系,博士班,比利時王國,歐洲,1
105,2,公立,一般大學,0003,國立臺灣大學,07321074,土木工程學系,博士班,法國,歐洲,1
105,2,公立,一般大學,0003,國立臺灣大學,07321075,生物環境系統工程學系,學士班(日間),美國,北美洲,1
105,2,公立,一般大學,0003,國立臺灣大學,08112089,動物科學技術學系,博士班,法國,歐洲,1
105,2,公立,一般大學,0003,國立臺灣大學,08193096,農業經濟學系,博士班,法國,歐洲,1
105,2,公立,一般大學,0004,國立臺灣師範大學,,不分系所,不分學制,日本,其他亞洲地區,1
105,2,公立,一般大學,0004,國立臺灣師範大學,,不分系所,不分學制,美國,北美洲,1
105,2,公立,一般大學,0004,國立臺灣師範大學,01111001,教育學系,學士班(日間),美國,北美洲,1
105,2,公立,一般大學,0004,國立臺灣師範大學,01141015,體育學系,碩士班(日間),美國,北美洲,1
105,2,公立,一般大學,0004,國立臺灣師範大學,01141015,體育學系,博士班,美國,北美洲,1
105,2,公立,一般大學,0004,國立臺灣師範大學,02221036,臺灣史研究所,碩士班(日間),日本,其他亞洲地區,1
105,2,公立,一般大學,0004,國立臺灣師範大學,02311033,英語學系,學士班(日間),美國,北美洲,1
105,2,公立,一般大學,0004,國立臺灣師範大學,02313005,華語文教學系華語教學境外碩士在職專班,碩士在職專班,泰國,東協,1
105,2,公立,一般大學,0004,國立臺灣師範大學,02322029,國文學系,學士班(日間),馬來西亞,東協,1
105,2,公立,一般大學,0004,國立臺灣師範大學,02322029,國文學系,碩士班(日間),大陸地區,大陸地區,1
105,2,公立,一般大學,0004,國立臺灣師範大學,02322029,國文學系,學士班(日間),大韓民國(南韓),其他亞洲地區,2
105,2,公立,一般大學,0004,國立臺灣師範大學,02322029,國文學系,碩士班(日間),大韓民國(南韓),其他亞洲地區,1
105,2,公立,一般大學,0004,國立臺灣師範大學,02322029,國文學系,博士班,大韓民國(南韓),其他亞洲地區,1
105,2,公立,一般大學,0004,國立臺灣師範大學,02323030,應用華語文學系,學士班(日間),馬來西亞,東協,1
105,2,公立,一般大學,0004,國立臺灣師範大學,03131003,教育心理與輔導學系,學士班(日間),馬來西亞,東協,1
105,2,公立,一般大學,0004,國立臺灣師範大學,03131003,教育心理與輔導學系,學士班(日間),美國,北美洲,1
105,2,公立,一般大學,0004,國立臺灣師範大學,03131003,教育心理與輔導學系,碩士班(日間),美國,北美洲,1
105,2,公立,一般大學,0004,國立臺灣師範大學,03143045,歐洲文化與觀光研究所,碩士班(日間),法國,歐洲,1
105,2,公立,一般大學,0004,國立臺灣師範大學,03214050,圖文傳播學系,學士班(日間),美國,北美洲,1
105,2,公立,一般大學,0004,國立臺灣師範大學,04131052,管理研究所,碩士班(日間),大韓民國(南韓),其他亞洲地區,1
105,2,公立,一般大學,0004,國立臺灣師範大學,04131052,管理研究所,碩士班(日間),法國,歐洲,1
105,2,公立,一般大學,0004,國立臺灣師範大學,04131052,管理研究所,碩士班(日間),德意志聯邦共和國,歐洲,1
105,2,公立,一般大學,0004,國立臺灣師範大學,04131052,管理研究所,碩士班(日間),美國,北美洲,2
105,2,公立,一般大學,0004,國立臺灣師範大學,05311059,化學系,學士班(日間),日本,其他亞洲地區,1
105,2,公立,一般大學,0004,國立臺灣師範大學,05311059,化學系,學士班(日間),美國,北美洲,1
105,2,公立,一般大學,0004,國立臺灣師範大學,05331061,物理學系,博士班,芬蘭共和國,歐洲,1
105,2,公立,一般大學,0004,國立臺灣師範大學,07141065,資訊工程學系,碩士班(日間),瑞典王國,歐洲,1
105,2,公立,一般大學,0004,國立臺灣師範大學,07141065,資訊工程學系,博士班,比利時王國,歐洲,1
105,2,公立,一般大學,0005,國立成功大學,02123113,工業設計學系,學士班(日間),馬來西亞,東協,1
105,2,公立,一般大學,0005,國立成功大學,02311108,外國語文學系,學士班(日間),馬來西亞,東協,1
105,2,公立,一般大學,0005,國立成功大學,02322107,中國文學系,學士班(日間),馬來西亞,東協,5
105,2,公立,一般大學,0005,國立成功大學,04111120,會計學系,碩士班(日間),英國,歐洲,2
105,2,公立,一般大學,0005,國立成功大學,04111120,會計學系,碩士班(日間),美國,北美洲,2
105,2,公立,一般大學,0005,國立成功大學,04121126,財務金融研究所,碩士班(日間),香港,港澳,1
105,2,公立,一般大學,0005,國立成功大學,04121126,財務金融研究所,碩士班(日間),法國,歐洲,1
105,2,公立,一般大學,0005,國立成功大學,04121126,財務金融研究所,碩士班(日間),英國,歐洲,1
105,2,公立,一般大學,0005,國立成功大學,04121126,財務金融研究所,碩士班(日間),美國,北美洲,2
105,2,公立,一般大學,0005,國立成功大學,04131121,企業管理學系,碩士班(日間),法國,歐洲,1
105,2,公立,一般大學,0005,國立成功大學,04131121,企業管理學系,碩士班(日間),英國,歐洲,1
105,2,公立,一般大學,0005,國立成功大學,04131121,企業管理學系,碩士班(日間),美國,北美洲,1
105,2,公立,一般大學,0005,國立成功大學,04131124,國際企業研究所,碩士班(日間),法國,歐洲,1
105,2,公立,一般大學,0005,國立成功大學,04131124,國際企業研究所,碩士班(日間),英國,歐洲,1
105,2,公立,一般大學,0005,國立成功大學,04131124,國際企業研究所,碩士班(日間),美國,北美洲,1
105,2,公立,一般大學,0005,國立成功大學,04131125,國際經營管理研究所(IMBA),碩士班(日間),法國,歐洲,2
105,2,公立,一般大學,0005,國立成功大學,04131125,國際經營管理研究所(IMBA),碩士班(日間),英國,歐洲,1
105,2,公立,一般大學,0005,國立成功大學,04199056,電信管理研究所,碩士班(日間),英國,歐洲,2
105,2,公立,一般大學,0005,國立成功大學,04199056,電信管理研究所,碩士班(日間),美國,北美洲,2
105,2,公立,一般大學,0005,國立成功大學,04199057,工業與資訊管理學系,碩士班(日間),美國,北美洲,2
105,2,公立,一般大學,0005,國立成功大學,05111003,生命科學系,學士班(日間),美國,北美洲,1
105,2,公立,一般大學,0005,國立成功大學,05421029,統計學系,碩士班(日間),英國,歐洲,1
105,2,公立,一般大學,0005,國立成功大學,05421029,統計學系,學士班(日間),美國,北美洲,1
105,2,公立,一般大學,0005,國立成功大學,05421029,統計學系,碩士班(日間),美國,北美洲,1
105,2,公立,一般大學,0005,國立成功大學,06131030,資訊管理研究所,碩士班(日間),美國,北美洲,1
105,2,公立,一般大學,0005,國立成功大學,06131036,資訊工程學系,學士班(日間),馬來西亞,東協,2
105,2,公立,一般大學,0005,國立成功大學,06131036,資訊工程學系,博士班,法國,歐洲,1
105,2,公立,一般大學,0005,國立成功大學,07111050,化學工程學系,學士班(日間),美國,北美洲,2
105,2,公立,一般大學,0005,國立成功大學,07141032,電機工程學系,碩士班(日間),德意志聯邦共和國,歐洲,1
105,2,公立,一般大學,0005,國立成功大學,07141032,電機工程學系,博士班,美國,北美洲,1
105,2,公立,一般大學,0005,國立成功大學,07141033,微電子工程研究所,碩士班(日間),美國,北美洲,2
105,2,公立,一般大學,0005,國立成功大學,07141033,微電子工程研究所,博士班,美國,北美洲,1
105,2,公立,一般大學,0005,國立成功大學,07151042,機械工程學系,碩士班(日間),德意志聯邦共和國,歐洲,1
105,2,公立,一般大學,0005,國立成功大學,07162043,航空太空工程學系,碩士班(日間),法國,歐洲,2
105,2,公立,一般大學,0005,國立成功大學,07163044,系統及船舶機電工程學系,學士班(日間),美國,北美洲,1
105,2,公立,一般大學,0005,國立成功大學,07313076,都市計劃學系,碩士班(日間),英國,歐洲,2
105,2,公立,一般大學,0005,國立成功大學,07322067,測量及空間資訊學系,學士班(日間),大陸地區,大陸地區,1
105,2,公立,一般大學,0005,國立成功大學,07322067,測量及空間資訊學系,博士班,美國,北美洲,1
105,2,公立,一般大學,0005,國立成功大學,10411098,交通管理科學系,學士班(日間),馬來西亞,東協,1
105,2,公立,一般大學,0005,國立成功大學,10411098,交通管理科學系,碩士班(日間),法國,歐洲,1
105,2,公立,一般大學,0005,國立成功大學,10411098,交通管理科學系,碩士班(日間),英國,歐洲,3
105,2,公立,一般大學,0005,國立成功大學,10411098,交通管理科學系,碩士班(日間),美國,北美洲,1
105,2,公立,一般大學,0006,國立中興大學,,不分系所,不分學制,日本,其他亞洲地區,1
105,2,公立,一般大學,0006,國立中興大學,,不分系所,不分學制,法國,歐洲,1
105,2,公立,一般大學,0006,國立中興大學,,不分系所,不分學制,美國,北美洲,2
105,2,公立,一般大學,0006,國立中興大學,,不分系所,不分學制,厄瓜多共和國,中南美洲,1
105,2,公立,一般大學,0006,國立中興大學,02322005,中國文學系,學士班(日間),越南社會主義共和國,東協,1
105,2,公立,一般大學,0006,國立中興大學,04199021,科技管理研究所科技管理碩士班,碩士班(日間),澳大利亞,其他亞洲地區,1
105,2,公立,一般大學,0006,國立中興大學,04211023,法律學系科技法律碩士班,碩士班(日間),美國,北美洲,1
105,2,公立,一般大學,0006,國立中興大學,07112057,材料科學與工程學系,碩士班(日間),日本,其他亞洲地區,1
105,2,公立,一般大學,0006,國立中興大學,07121059,環境工程學系,博士班,美國,北美洲,1
105,2,公立,一般大學,0006,國立中興大學,07141045,電機工程學系,博士班,大陸地區,大陸地區,1
105,2,公立,一般大學,0006,國立中興大學,07141045,電機工程學系,碩士班(日間),日本,其他亞洲地區,1
105,2,公立,一般大學,0006,國立中興大學,07141045,電機工程學系,學士班(日間),美國,北美洲,1
105,2,公立,一般大學,0006,國立中興大學,07151050,機械工程學系,碩士班(日間),日本,其他亞洲地區,1
105,2,公立,一般大學,0006,國立中興大學,07151050,機械工程學系,碩士班(日間),捷克共和國,歐洲,1
105,2,公立,一般大學,0006,國立中興大學,07151050,機械工程學系,博士班,捷克共和國,歐洲,1
105,2,公立,一般大學,0006,國立中興大學,07321054,土木工程學系,博士班,美國,北美洲,1
105,2,公立,一般大學,0006,國立中興大學,08112066,動物科學系,博士班,法國,歐洲,1
105,2,公立,一般大學,0006,國立中興大學,08191083,土壤環境科學系,博士班,美國,北美洲,2
105,2,公立,一般大學,0006,國立中興大學,08193078,國際農企業學士學位學程,學士班(日間),紐西蘭,其他亞洲地區,1
105,2,公立,一般大學,0006,國立中興大學,08411087,獸醫學系,學士班(日間),美國,北美洲,1
105,2,公立,一般大學,0007,國立陽明交通大學,,不分系所,不分學制,越南社會主義共和國,東協,1
105,2,公立,一般大學,0007,國立陽明交通大學,,不分系所,不分學制,印度尼西亞共和國,東協,1
105,2,公立,一般大學,0007,國立陽明交通大學,,不分系所,不分學制,大陸地區,大陸地區,6
105,2,公立,一般大學,0007,國立陽明交通大學,,不分系所,不分學制,日本,其他亞洲地區,2
105,2,公立,一般大學,0007,國立陽明交通大學,,不分系所,不分學制,比利時王國,歐洲,1
105,2,公立,一般大學,0007,國立陽明交通大學,,不分系所,不分學制,法國,歐洲,1
105,2,公立,一般大學,0007,國立陽明交通大學,,不分系所,不分學制,加拿大,北美洲,2
105,2,公立,一般大學,0007,國立陽明交通大學,,不分系所,不分學制,美國,北美洲,2
105,2,公立,一般大學,0007,國立陽明交通大學,02299008,人文社會學系族群與文化碩士班,碩士班(日間),馬來西亞,東協,1
105,2,公立,一般大學,0007,國立陽明交通大學,02299010,社會與文化研究所,博士班,法國,歐洲,1
105,2,公立,一般大學,0007,國立陽明交通大學,04121020,資訊管理與財務金融學系財務金融碩士班,碩士班(日間),荷蘭王國,歐洲,1
105,2,公立,一般大學,0007,國立陽明交通大學,04121020,資訊管理與財務金融學系財務金融碩士班,碩士班(日間),美國,北美洲,1
105,2,公立,一般大學,0007,國立陽明交通大學,04131016,管理學院企業管理碩士學位學程,碩士班(日間),美國,北美洲,1
105,2,公立,一般大學,0007,國立陽明交通大學,04131017,經營管理研究所,碩士班(日間),荷蘭王國,歐洲,1
105,2,公立,一般大學,0007,國立陽明交通大學,04131018,管理科學系,碩士班(日間),大韓民國(南韓),其他亞洲地區,1
105,2,公立,一般大學,0007,國立陽明交通大學,04131018,管理科學系,博士班,美國,北美洲,1
105,2,公立,一般大學,0007,國立陽明交通大學,04199023,科技管理研究所,碩士班(日間),大韓民國(南韓),其他亞洲地區,1
105,2,公立,一般大學,0007,國立陽明交通大學,04199023,科技管理研究所,碩士班(日間),荷蘭王國,歐洲,1
105,2,公立,一般大學,0007,國立陽明交通大學,04212027,科技法律研究所,碩士班(日間),美國,北美洲,3
105,2,公立,一般大學,0007,國立陽明交通大學,05124035,跨領域神經科學博士學位學程(台灣聯合大學系統),博士班,澳大利亞,其他亞洲地區,1
105,2,公立,一般大學,0007,國立陽明交通大學,05311036,應用化學系,碩士班(日間),日本,其他亞洲地區,1
105,2,公立,一般大學,0007,國立陽明交通大學,05311036,應用化學系,博士班,比利時王國,歐洲,1
105,2,公立,一般大學,0007,國立陽明交通大學,05311036,應用化學系,博士班,法國,歐洲,2
105,2,公立,一般大學,0007,國立陽明交通大學,05311036,應用化學系分子科學博士班,博士班,日本,其他亞洲地區,1
105,2,公立,一般大學,0007,國立陽明交通大學,05331041,電子物理學系,博士班,越南社會主義共和國,東協,1
105,2,公立,一般大學,0007,國立陽明交通大學,05331041,電子物理學系,碩士班(日間),比利時王國,歐洲,1
105,2,公立,一般大學,0007,國立陽明交通大學,05421047,統計學研究所,碩士班(日間),印度尼西亞共和國,東協,1
105,2,公立,一般大學,0007,國立陽明交通大學,06131061,資訊科學與工程研究所,碩士班(日間),法國,歐洲,1
105,2,公立,一般大學,0007,國立陽明交通大學,06132049,多媒體工程研究所,碩士班(日間),法國,歐洲,1
105,2,公立,一般大學,0007,國立陽明交通大學,07112072,材料科學與工程學系,碩士班(日間),法國,歐洲,1
105,2,公立,一般大學,0007,國立陽明交通大學,07112072,材料科學與工程學系,博士班,瑞典王國,歐洲,1
105,2,公立,一般大學,0007,國立陽明交通大學,07112072,材料科學與工程學系奈米科技碩士班,碩士班(日間),比利時王國,歐洲,1
105,2,公立,一般大學,0007,國立陽明交通大學,07141050,電機工程學系,學士班(日間),比利時王國,歐洲,1
105,2,公立,一般大學,0007,國立陽明交通大學,07141051,電子工程學系,學士班(日間),比利時王國,歐洲,1
105,2,公立,一般大學,0007,國立陽明交通大學,07141053,電子研究所,碩士班(日間),比利時王國,歐洲,1
105,2,公立,一般大學,0007,國立陽明交通大學,07141053,電子研究所,碩士班(日間),法國,歐洲,1
105,2,公立,一般大學,0007,國立陽明交通大學,07141053,電子研究所,博士班,法國,歐洲,1
105,2,公立,一般大學,0007,國立陽明交通大學,07141055,光電工程學系,學士班(日間),比利時王國,歐洲,1
105,2,公立,一般大學,0007,國立陽明交通大學,07141055,光電工程學系,碩士班(日間),比利時王國,歐洲,1
105,2,公立,一般大學,0007,國立陽明交通大學,07141055,光電工程學系,碩士班(日間),法國,歐洲,1
105,2,公立,一般大學,0007,國立陽明交通大學,07141062,電信工程研究所,碩士班(日間),比利時王國,歐洲,1
105,2,公立,一般大學,0007,國立陽明交通大學,07141062,電信工程研究所,碩士班(日間),法國,歐洲,2
105,2,公立,一般大學,0007,國立陽明交通大學,07141062,電信工程研究所,博士班,法國,歐洲,1
105,2,公立,一般大學,0007,國立陽明交通大學,07141064,電控工程研究所,博士班,澳大利亞,其他亞洲地區,1
105,2,公立,一般大學,0007,國立陽明交通大學,07141064,電控工程研究所,碩士班(日間),法國,歐洲,2
105,2,公立,一般大學,0007,國立陽明交通大學,07141064,電控工程研究所,博士班,比利時王國,歐洲,1
105,2,公立,一般大學,0007,國立陽明交通大學,07141066,國際半導體產業學院碩士班,碩士班(日間),美國,北美洲,1
105,2,公立,一般大學,0007,國立陽明交通大學,07141068,電機資訊國際碩士學位學程,碩士班(日間),馬來西亞,東協,1
105,2,公立,一般大學,0007,國立陽明交通大學,07141068,電機資訊國際碩士學位學程,碩士班(日間),比利時王國,歐洲,1
105,2,公立,一般大學,0007,國立陽明交通大學,07141068,電機資訊國際碩士學位學程,碩士班(日間),法國,歐洲,1
105,2,公立,一般大學,0007,國立陽明交通大學,07141068,電機資訊學士班,學士班(日間),比利時王國,歐洲,1
105,2,公立,一般大學,0007,國立陽明交通大學,07141068,電機資訊學士班,學士班(日間),美國,北美洲,1
105,2,公立,一般大學,0007,國立陽明交通大學,07141074,奈米科學及工程學士學位學程,學士班(日間),比利時王國,歐洲,1
105,2,公立,一般大學,0007,國立陽明交通大學,07191075,工業工程與管理學系,碩士班(日間),印度尼西亞共和國,東協,2
105,2,公立,一般大學,0007,國立陽明交通大學,07191075,工業工程與管理學系,碩士班(日間),日本,其他亞洲地區,1
105,2,公立,一般大學,0007,國立陽明交通大學,07191075,工業工程與管理學系,碩士班(日間),荷蘭王國,歐洲,1
105,2,公立,一般大學,0007,國立陽明交通大學,07191075,工業工程與管理學系,學士班(日間),美國,北美洲,1
105,2,公立,一般大學,0007,國立陽明交通大學,10411086,運輸與物流管理學系,學士班(日間),美國,北美洲,1
