,學年度,設立別 ,學校類別,學校代碼,學校名稱,系所代碼,系所名稱,學制,畢業生總人數,男,女
,102,私立,技專校院,1023,南臺科技大學,340802,行銷與流通管理系,學士班(日間),116,24,92
,102,私立,技專校院,1023,南臺科技大學,340802,行銷與流通管理系,學士班(進修),44,11,33
,102,私立,技專校院,1023,南臺科技大學,340802,行銷與流通管理系,碩士班(日間),11,4,7
,102,私立,技專校院,1023,南臺科技大學,340802,行銷與流通管理系,碩士在職專班,12,6,6
,102,私立,技專校院,1023,南臺科技大學,349901,科技管理研究所,碩士班(日間),1,1,0
,102,私立,技專校院,1023,南臺科技大學,349909,管理與資訊系,學士班(日間),198,89,109
,102,私立,技專校院,1023,南臺科技大學,349909,管理與資訊系,學士班(進修),24,16,8
,102,私立,技專校院,1023,南臺科技大學,349909,管理與資訊系工業管理碩士班,碩士班(日間),6,2,4
,102,私立,技專校院,1023,南臺科技大學,349909,管理與資訊系工業管理碩士班,碩士在職專班,8,8,0
,102,私立,技專校院,1023,南臺科技大學,349939,高階主管企管碩士班,碩士在職專班,23,15,8
,102,私立,技專校院,1023,南臺科技大學,349997,商管專業學院碩士班,碩士班(日間),28,15,13
,102,私立,技專校院,1023,南臺科技大學,380201,財經法律研究所,碩士班(日間),9,6,3
,102,私立,技專校院,1023,南臺科技大學,380201,財經法律研究所,碩士在職專班,7,5,2
,102,私立,技專校院,1023,南臺科技大學,420302,生物科技系,學士班(日間),60,30,30
,102,私立,技專校院,1023,南臺科技大學,420302,生物科技系,學士班(進修),7,3,4
,102,私立,技專校院,1023,南臺科技大學,420302,生物科技系,碩士班(日間),11,7,4
,102,私立,技專校院,1023,南臺科技大學,420302,生物科技系,碩士在職專班,5,2,3
,102,私立,技專校院,1023,南臺科技大學,480109,資訊管理系,學士班(日間),142,79,63
,102,私立,技專校院,1023,南臺科技大學,480109,資訊管理系,學士班(進修),35,19,16
,102,私立,技專校院,1023,南臺科技大學,480109,資訊管理系,碩士班(日間),12,7,5
,102,私立,技專校院,1023,南臺科技大學,480109,資訊管理系,碩士在職專班,14,8,6
,102,私立,技專校院,1023,南臺科技大學,480302,多媒體與電腦娛樂科學系,學士班(日間),109,74,35
,102,私立,技專校院,1023,南臺科技大學,480302,多媒體與電腦娛樂科學系,學士班(進修),29,20,9
,102,私立,技專校院,1023,南臺科技大學,480302,多媒體與電腦娛樂科學系,碩士班(日間),9,7,2
,102,私立,技專校院,1023,南臺科技大學,520101,電機工程系,學士班(日間),199,192,7
,102,私立,技專校院,1023,南臺科技大學,520101,電機工程系,學士班(進修),74,72,2
,102,私立,技專校院,1023,南臺科技大學,520101,電機工程系,碩士班(日間),40,39,1
,102,私立,技專校院,1023,南臺科技大學,520101,電機工程系生物醫學工程碩士班,碩士班(日間),7,6,1
,102,私立,技專校院,1023,南臺科技大學,520101,電機工程系,碩士在職專班,4,4,0
,102,私立,技專校院,1023,南臺科技大學,520101,電機工程系,博士班,3,3,0
,102,私立,技專校院,1023,南臺科技大學,520103,電子工程系,學士班(日間),230,212,18
,102,私立,技專校院,1023,南臺科技大學,520103,電子工程系,學士班(進修),21,17,4
,102,私立,技專校院,1023,南臺科技大學,520103,電子工程系,碩士班(日間),26,24,2
,102,私立,技專校院,1023,南臺科技大學,520103,電子工程系通訊工程碩士班,碩士班(日間),3,3,0
,102,私立,技專校院,1023,南臺科技大學,520106,光電工程系,學士班(日間),110,105,5
,102,私立,技專校院,1023,南臺科技大學,520106,光電工程系,學士班(進修),29,27,2
,102,私立,技專校院,1023,南臺科技大學,520106,光電工程系,碩士班(日間),22,20,2
,102,私立,技專校院,1023,南臺科技大學,520114,資訊工程系,學士班(日間),91,79,12
,102,私立,技專校院,1023,南臺科技大學,520114,資訊工程系,學士班(進修),31,27,4
,102,私立,技專校院,1023,南臺科技大學,520114,資訊工程系,碩士班(日間),14,14,0
,102,私立,技專校院,1023,南臺科技大學,520201,機械工程系,學士班(日間),330,304,26
,102,私立,技專校院,1023,南臺科技大學,520201,機械工程系,學士班(進修),75,62,13
,102,私立,技專校院,1023,南臺科技大學,520201,機械工程系,碩士班(日間),30,27,3
,102,私立,技專校院,1023,南臺科技大學,520201,機械工程系奈米科技碩士班,碩士班(日間),8,7,1
,102,私立,技專校院,1023,南臺科技大學,520201,機械工程系能源工程碩士班,碩士班(日間),3,3,0
,102,私立,技專校院,1023,南臺科技大學,520403,化學工程與材料工程系,學士班(日間),97,70,27
,102,私立,技專校院,1023,南臺科技大學,520403,化學工程與材料工程系,碩士班(日間),23,18,5
,102,私立,技專校院,1023,南臺科技大學,760401,幼兒保育系,學士班(日間),86,1,85
,102,私立,技專校院,1023,南臺科技大學,760401,幼兒保育系,學士班(進修),8,0,8
,102,私立,技專校院,1023,南臺科技大學,810102,餐旅管理系,學士班(日間),110,24,86
,102,私立,技專校院,1023,南臺科技大學,810102,餐旅管理系,學士班(進修),96,31,65
,102,私立,技專校院,1023,南臺科技大學,810102,餐旅管理系,碩士班(日間),5,5,0
,102,私立,技專校院,1023,南臺科技大學,810508,休閒事業管理系,學士班(日間),104,14,90
,102,私立,技專校院,1023,南臺科技大學,810508,休閒事業管理系,學士班(進修),81,10,71
,102,私立,技專校院,1023,南臺科技大學,810508,休閒事業管理系,碩士班(日間),16,7,9
,102,私立,技專校院,1023,南臺科技大學,810508,休閒事業管理系,碩士在職專班,25,13,12
,102,私立,技專校院,1024,崑山科技大學,220312,應用英語系,學士班(日間),64,12,52
,102,私立,技專校院,1024,崑山科技大學,220312,應用英語系,學士班(進修),37,14,23
,102,私立,技專校院,1024,崑山科技大學,230201,視覺傳達設計系,學士班(日間),106,23,83
,102,私立,技專校院,1024,崑山科技大學,230201,視覺傳達設計系,學士班(進修),33,8,25
,102,私立,技專校院,1024,崑山科技大學,230201,視覺傳達設計系,碩士班(日間),15,6,9
,102,私立,技專校院,1024,崑山科技大學,230201,視覺傳達設計系,碩士在職專班,2,1,1
,102,私立,技專校院,1024,崑山科技大學,230402,空間設計系,學士班(日間),42,16,26
,102,私立,技專校院,1024,崑山科技大學,230402,空間設計系,學士班(進修),8,5,3
,102,私立,技專校院,1024,崑山科技大學,320105,資訊傳播系,學士班(日間),49,28,21
,102,私立,技專校院,1024,崑山科技大學,320105,資訊傳播系,學士班(進修),29,13,16
,102,私立,技專校院,1024,崑山科技大學,320107,視訊傳播設計系,學士班(日間),54,17,37
,102,私立,技專校院,1024,崑山科技大學,320107,視訊傳播設計系,學士班(進修),21,5,16
,102,私立,技專校院,1024,崑山科技大學,320107,視訊傳播設計系媒體藝術碩士班,碩士班(日間),5,4,1
,102,私立,技專校院,1024,崑山科技大學,320401,公共關係暨廣告系,學士班(日間),106,25,81
,102,私立,技專校院,1024,崑山科技大學,320401,公共關係暨廣告系,學士班(進修),16,3,13
,102,私立,技專校院,1024,崑山科技大學,340201,會計資訊系,學士班(日間),86,23,63
,102,私立,技專校院,1024,崑山科技大學,340201,會計資訊系,學士班(進修),9,1,8
,102,私立,技專校院,1024,崑山科技大學,340301,企業管理系,學士班(日間),81,29,52
,102,私立,技專校院,1024,崑山科技大學,340301,企業管理系,學士班(進修),135,61,74
,102,私立,技專校院,1024,崑山科技大學,340301,企業管理系,碩士班(日間),12,7,5
,102,私立,技專校院,1024,崑山科技大學,340301,企業管理系,碩士在職專班,20,9,11
,102,私立,技專校院,1024,崑山科技大學,340401,國際貿易系,學士班(日間),88,16,72
,102,私立,技專校院,1024,崑山科技大學,340401,國際貿易系,學士班(進修),11,3,8
,102,私立,技專校院,1024,崑山科技大學,340501,財務金融系,學士班(日間),95,23,72
,102,私立,技專校院,1024,崑山科技大學,340501,財務金融系,學士班(進修),22,8,14
,102,私立,技專校院,1024,崑山科技大學,349967,房地產開發與管理系,學士班(日間),87,39,48
,102,私立,技專校院,1024,崑山科技大學,349967,房地產開發與管理系,學士班(進修),52,27,25
,102,私立,技專校院,1024,崑山科技大學,349967,房地產開發與管理研究所,碩士班(日間),11,5,6
,102,私立,技專校院,1024,崑山科技大學,349988,商管類產業研發專班,碩士班(日間),42,28,14
,102,私立,技專校院,1024,崑山科技大學,480109,資訊管理系,學士班(日間),104,66,38
,102,私立,技專校院,1024,崑山科技大學,480109,資訊管理系,學士班(進修),53,37,16
,102,私立,技專校院,1024,崑山科技大學,480109,資訊管理系,碩士班(日間),6,6,0
,102,私立,技專校院,1024,崑山科技大學,480109,資訊管理系,碩士在職專班,11,10,1
,102,私立,技專校院,1024,崑山科技大學,520101,電機工程系,學士班(日間),157,155,2
,102,私立,技專校院,1024,崑山科技大學,520101,電機工程系,學士班(進修),73,72,1
,102,私立,技專校院,1024,崑山科技大學,520101,電機工程系,碩士班(日間),12,12,0
,102,私立,技專校院,1024,崑山科技大學,520101,電機工程系,碩士在職專班,12,11,1
,102,私立,技專校院,1024,崑山科技大學,520103,電子工程系,學士班(日間),104,97,7
,102,私立,技專校院,1024,崑山科技大學,520103,電子工程系,學士班(進修),17,16,1
,102,私立,技專校院,1024,崑山科技大學,520103,電子工程系,碩士班(日間),17,17,0
,102,私立,技專校院,1024,崑山科技大學,520103,電子工程系,碩士在職專班,4,4,0
,102,私立,技專校院,1024,崑山科技大學,520106,光電工程系,學士班(日間),45,43,2
,102,私立,技專校院,1024,崑山科技大學,520106,光電工程系,學士班(進修),30,30,0
,102,私立,技專校院,1024,崑山科技大學,520106,光電工程系,碩士班(日間),12,11,1
,102,私立,技專校院,1024,崑山科技大學,520114,資訊工程系,學士班(日間),95,89,6
,102,私立,技專校院,1024,崑山科技大學,520114,資訊工程系,學士班(進修),21,20,1
,102,私立,技專校院,1024,崑山科技大學,520114,資訊工程系數位生活科技碩士班,碩士班(日間),9,8,1
,102,私立,技專校院,1024,崑山科技大學,520114,資訊工程系數位生活科技碩士在職專班,碩士在職專班,3,3,0
,102,私立,技專校院,1024,崑山科技大學,520130,電腦與通訊系,學士班(日間),85,79,6
,102,私立,技專校院,1024,崑山科技大學,520130,電腦與通訊系,學士班(進修),18,17,1
,102,私立,技專校院,1024,崑山科技大學,520130,電腦與通訊系,碩士班(日間),9,9,0
,102,私立,技專校院,1024,崑山科技大學,520201,機械工程系,學士班(日間),213,193,20
,102,私立,技專校院,1024,崑山科技大學,520201,機械工程系,學士班(進修),141,137,4
,102,私立,技專校院,1024,崑山科技大學,520201,機械工程系,碩士班(日間),32,23,9
,102,私立,技專校院,1024,崑山科技大學,520201,機械工程系,碩士在職專班,14,13,1
,102,私立,技專校院,1024,崑山科技大學,520201,機械工程系機械與能源工程博士班,博士班,1,1,0
,102,私立,技專校院,1024,崑山科技大學,520288,機械類產業研發專班,碩士班(日間),26,21,5
,102,私立,技專校院,1024,崑山科技大學,520501,材料工程系,學士班(日間),39,33,6
,102,私立,技專校院,1024,崑山科技大學,520501,材料工程系,學士班(進修),10,10,0
,102,私立,技專校院,1024,崑山科技大學,520501,材料工程系,碩士班(日間),7,6,1
,102,私立,技專校院,1024,崑山科技大學,520501,材料工程系,碩士在職專班,7,6,1
,102,私立,技專校院,1024,崑山科技大學,520901,環境工程系,學士班(日間),86,75,11
,102,私立,技專校院,1024,崑山科技大學,520901,環境工程系,學士班(進修),31,24,7
,102,私立,技專校院,1024,崑山科技大學,520901,環境工程系,碩士班(日間),12,9,3
,102,私立,技專校院,1024,崑山科技大學,520901,環境工程系,碩士在職專班,10,6,4
,102,私立,技專校院,1024,崑山科技大學,760401,幼兒保育系,學士班(日間),46,0,46
,102,私立,技專校院,1024,崑山科技大學,760401,幼兒保育系,學士班(進修),19,0,19
,102,私立,技專校院,1025,嘉南藥理大學,220214,儒學研究所,碩士班(日間),3,1,2
,102,私立,技專校院,1025,嘉南藥理大學,220303,應用外語系,學士班(日間),93,18,75
,102,私立,技專校院,1025,嘉南藥理大學,220303,應用外語系,學士班(進修),12,2,10
,102,私立,技專校院,1025,嘉南藥理大學,340901,醫務管理系,學士班(日間),158,32,126
,102,私立,技專校院,1025,嘉南藥理大學,340901,醫務管理系,學士班(進修),45,12,33
,102,私立,技專校院,1025,嘉南藥理大學,340901,醫務管理系,碩士班(日間),18,5,13
,102,私立,技專校院,1025,嘉南藥理大學,340901,醫務管理系,碩士在職專班,18,1,17
,102,私立,技專校院,1025,嘉南藥理大學,349930,文化事業發展系,學士班(日間),79,22,57
,102,私立,技專校院,1025,嘉南藥理大學,349930,文化事業發展系,學士班(進修),4,3,1
,102,私立,技專校院,1025,嘉南藥理大學,420302,生物科技系,學士班(日間),93,56,37
,102,私立,技專校院,1025,嘉南藥理大學,420302,生物科技系,學士班(進修),13,9,4
,102,私立,技專校院,1025,嘉南藥理大學,420302,生物科技系,碩士班(日間),9,7,2
,102,私立,技專校院,1025,嘉南藥理大學,420302,生物科技系,碩士在職專班,7,4,3
,102,私立,技專校院,1025,嘉南藥理大學,480109,資訊管理系,學士班(日間),145,82,63
,102,私立,技專校院,1025,嘉南藥理大學,480109,資訊管理系,學士班(進修),30,18,12
,102,私立,技專校院,1025,嘉南藥理大學,480513,應用空間資訊系,學士班(日間),138,100,38
,102,私立,技專校院,1025,嘉南藥理大學,480513,應用空間資訊系,學士班(進修),22,15,7
,102,私立,技專校院,1025,嘉南藥理大學,480519,資訊多媒體應用系,學士班(日間),106,99,7
,102,私立,技專校院,1025,嘉南藥理大學,480519,資訊多媒體應用系,學士班(進修),20,17,3
,102,私立,技專校院,1025,嘉南藥理大學,520903,環境工程與科學系,學士班(日間),98,80,18
,102,私立,技專校院,1025,嘉南藥理大學,520903,環境工程與科學系,學士班(進修),33,31,2
,102,私立,技專校院,1025,嘉南藥理大學,520903,環境工程與科學系,碩士班(日間),26,17,9
,102,私立,技專校院,1025,嘉南藥理大學,520903,環境工程與科學系,碩士在職專班,8,8,0
,102,私立,技專校院,1025,嘉南藥理大學,620602,食品科技系,學士班(日間),157,52,105
,102,私立,技專校院,1025,嘉南藥理大學,620602,食品科技系,學士班(進修),35,15,20
,102,私立,技專校院,1025,嘉南藥理大學,720209,職業安全衛生系,學士班(日間),105,90,15
,102,私立,技專校院,1025,嘉南藥理大學,720209,職業安全衛生系,學士班(進修),27,20,7
,102,私立,技專校院,1025,嘉南藥理大學,720209,職業安全衛生系產業安全衛生與防災碩士班,碩士班(日間),5,4,1
,102,私立,技專校院,1025,嘉南藥理大學,720209,職業安全衛生系產業安全衛生與防災碩士班,碩士在職專班,15,13,2
,102,私立,技專校院,1025,嘉南藥理大學,720301,藥學系,學士班(日間),248,70,178
,102,私立,技專校院,1025,嘉南藥理大學,720301,藥學系,碩士班(日間),5,3,2
,102,私立,技專校院,1025,嘉南藥理大學,720301,藥學系社區藥局產業碩士專班,碩士班(日間),19,6,13
,102,私立,技專校院,1025,嘉南藥理大學,720301,藥學系,碩士在職專班,4,0,4
,102,私立,技專校院,1025,嘉南藥理大學,720306,醫藥化學系,學士班(日間),101,51,50
,102,私立,技專校院,1025,嘉南藥理大學,720306,醫藥化學系,學士班(進修),1,1,0
,102,私立,技專校院,1025,嘉南藥理大學,720504,保健營養系,學士班(日間),105,21,84
,102,私立,技專校院,1025,嘉南藥理大學,720504,保健營養系,學士班(進修),37,9,28
,102,私立,技專校院,1025,嘉南藥理大學,720504,保健營養系,碩士班(日間),11,3,8
,102,私立,技專校院,1025,嘉南藥理大學,720504,保健營養系,碩士在職專班,4,0,4
,102,私立,技專校院,1025,嘉南藥理大學,760203,老人服務事業管理系,學士班(日間),136,22,114
,102,私立,技專校院,1025,嘉南藥理大學,760203,老人服務事業管理系,學士班(進修),47,19,28
,102,私立,技專校院,1025,嘉南藥理大學,760301,社會工作系,學士班(日間),168,22,146
,102,私立,技專校院,1025,嘉南藥理大學,760301,社會工作系,學士班(進修),22,5,17
,102,私立,技專校院,1025,嘉南藥理大學,760401,嬰幼兒保育系,學士班(日間),94,3,91
,102,私立,技專校院,1025,嘉南藥理大學,760401,嬰幼兒保育系,學士班(進修),19,0,19
,102,私立,技專校院,1025,嘉南藥理大學,810102,餐旅管理系,學士班(日間),178,61,117
,102,私立,技專校院,1025,嘉南藥理大學,810102,餐旅管理系,學士班(進修),85,36,49
,102,私立,技專校院,1025,嘉南藥理大學,810202,觀光事業管理系,學士班(日間),112,28,84
,102,私立,技專校院,1025,嘉南藥理大學,810202,觀光事業管理系,學士班(進修),38,12,26
,102,私立,技專校院,1025,嘉南藥理大學,810202,觀光事業管理系溫泉產業碩士班,碩士班(日間),10,4,6
,102,私立,技專校院,1025,嘉南藥理大學,810202,觀光事業管理系溫泉產業碩士班,碩士在職專班,16,7,9
,102,私立,技專校院,1025,嘉南藥理大學,810509,休閒保健管理系,學士班(日間),166,48,118
,102,私立,技專校院,1025,嘉南藥理大學,810509,休閒保健管理系,學士班(進修),91,45,46
,102,私立,技專校院,1025,嘉南藥理大學,810509,休閒保健管理系,碩士班(日間),13,7,6
,102,私立,技專校院,1025,嘉南藥理大學,810520,運動管理系,學士班(日間),83,58,25
,102,私立,技專校院,1025,嘉南藥理大學,810520,運動管理系,學士班(進修),17,17,0
,102,私立,技專校院,1025,嘉南藥理大學,810601,生活應用與保健系,學士班(日間),83,9,74
,102,私立,技專校院,1025,嘉南藥理大學,810601,生活應用與保健系,學士班(進修),24,8,16
,102,私立,技專校院,1025,嘉南藥理大學,810802,化粧品應用與管理系,學士班(日間),265,21,244
,102,私立,技專校院,1025,嘉南藥理大學,810802,化粧品應用與管理系,學士班(進修),83,9,74
,102,私立,技專校院,1025,嘉南藥理大學,810802,化粧品應用與管理系化粧品科技碩士班,碩士班(日間),16,4,12
,102,私立,技專校院,1025,嘉南藥理大學,810802,化粧品應用與管理系化粧品科技碩士班,碩士在職專班,9,2,7
,102,私立,技專校院,1025,嘉南藥理大學,850103,環境資源管理系,學士班(日間),102,66,36
,102,私立,技專校院,1026,樹德科技大學,210707,表演藝術系,學士班(日間),84,40,44
,102,私立,技專校院,1026,樹德科技大學,210707,表演藝術系,學士班(進修),4,2,2
,102,私立,技專校院,1026,樹德科技大學,220303,應用外語系,學士班(日間),61,13,48
,102,私立,技專校院,1026,樹德科技大學,220303,應用外語系,學士班(進修),4,2,2
,102,私立,技專校院,1026,樹德科技大學,230103,流行設計系,學士班(日間),120,16,104
,102,私立,技專校院,1026,樹德科技大學,230103,流行設計系,學士班(進修),113,17,96
,102,私立,技專校院,1026,樹德科技大學,230113,應用設計研究所,碩士班(日間),14,6,8
,102,私立,技專校院,1026,樹德科技大學,230113,應用設計研究所,碩士在職專班,11,3,8
,102,私立,技專校院,1026,樹德科技大學,230124,動畫與遊戲設計系,學士班(日間),61,44,17
,102,私立,技專校院,1026,樹德科技大學,230124,動畫與遊戲設計系,學士班(進修),13,9,4
,102,私立,技專校院,1026,樹德科技大學,230201,視覺傳達設計系,學士班(日間),136,44,92
,102,私立,技專校院,1026,樹德科技大學,230201,視覺傳達設計系,學士班(進修),56,20,36
,102,私立,技專校院,1026,樹德科技大學,230201,視覺傳達設計系碩士班,碩士在職專班,1,1,0
,102,私立,技專校院,1026,樹德科技大學,230304,生活產品設計系,學士班(日間),126,44,82
,102,私立,技專校院,1026,樹德科技大學,230304,生活產品設計系,學士班(進修),42,22,20
,102,私立,技專校院,1026,樹德科技大學,230401,室內設計系,學士班(日間),119,49,70
,102,私立,技專校院,1026,樹德科技大學,230401,室內設計系,學士班(進修),36,24,12
,102,私立,技專校院,1026,樹德科技大學,230404,建築與室內設計研究所,碩士班(日間),12,9,3
,102,私立,技專校院,1026,樹德科技大學,230404,建築與室內設計研究所,碩士在職專班,7,4,3
,102,私立,技專校院,1026,樹德科技大學,340301,企業管理系,學士班(日間),113,45,68
,102,私立,技專校院,1026,樹德科技大學,340301,企業管理系,學士班(進修),14,9,5
,102,私立,技專校院,1026,樹德科技大學,340303,經營管理研究所,碩士班(日間),26,13,13
,102,私立,技專校院,1026,樹德科技大學,340303,經營管理研究所,碩士在職專班,63,39,24
,102,私立,技專校院,1026,樹德科技大學,340308,國際企業與貿易系,學士班(日間),48,15,33
,102,私立,技專校院,1026,樹德科技大學,340308,國際企業與貿易系,學士班(進修),6,2,4
,102,私立,技專校院,1026,樹德科技大學,340505,金融系,學士班(日間),97,37,60
,102,私立,技專校院,1026,樹德科技大學,340505,金融系,學士班(進修),3,2,1
,102,私立,技專校院,1026,樹德科技大學,340505,金融系碩士班,碩士班(日間),11,3,8
,102,私立,技專校院,1026,樹德科技大學,340505,金融系碩士班,碩士在職專班,19,8,11
,102,私立,技專校院,1026,樹德科技大學,340801,行銷管理系,學士班(日間),131,48,83
,102,私立,技專校院,1026,樹德科技大學,340801,行銷管理系,學士班(進修),30,14,16
,102,私立,技專校院,1026,樹德科技大學,340805,運籌管理系,學士班(日間),97,39,58
,102,私立,技專校院,1026,樹德科技大學,340805,運籌管理系,學士班(進修),11,5,6
,102,私立,技專校院,1026,樹德科技大學,480109,資訊管理系,學士班(日間),107,68,39
,102,私立,技專校院,1026,樹德科技大學,480109,資訊管理系,學士班(進修),19,15,4
,102,私立,技專校院,1026,樹德科技大學,480109,資訊管理系碩士班,碩士班(日間),17,11,6
,102,私立,技專校院,1026,樹德科技大學,480109,資訊管理系碩士班,碩士在職專班,28,13,15
,102,私立,技專校院,1026,樹德科技大學,520114,資訊工程系,學士班(日間),85,80,5
,102,私立,技專校院,1026,樹德科技大學,520114,資訊工程系,學士班(進修),17,17,0
,102,私立,技專校院,1026,樹德科技大學,520114,資訊工程系碩士班,碩士班(日間),11,11,0
,102,私立,技專校院,1026,樹德科技大學,520114,資訊工程系碩士班,碩士在職專班,18,14,4
,102,私立,技專校院,1026,樹德科技大學,520130,電腦與通訊系,學士班(日間),108,104,4
,102,私立,技專校院,1026,樹德科技大學,520130,電腦與通訊系,學士班(進修),16,13,3
,102,私立,技專校院,1026,樹德科技大學,520130,電腦與通訊系碩士班,碩士班(日間),18,16,2
,102,私立,技專校院,1026,樹德科技大學,580110,建築與環境設計系,學士班(日間),41,22,19
,102,私立,技專校院,1026,樹德科技大學,760403,兒童與家庭服務系,學士班(日間),91,3,88
,102,私立,技專校院,1026,樹德科技大學,760403,兒童與家庭服務系,學士班(進修),3,0,3
,102,私立,技專校院,1026,樹德科技大學,760403,兒童與家庭服務系碩士班,碩士班(日間),16,1,15
,102,私立,技專校院,1026,樹德科技大學,760403,兒童與家庭服務系碩士班,碩士在職專班,13,1,12
,102,私立,技專校院,1026,樹德科技大學,810230,休閒與觀光管理系,學士班(日間),118,34,84
,102,私立,技專校院,1026,樹德科技大學,810230,休閒與觀光管理系,學士班(進修),56,18,38
,102,私立,技專校院,1026,樹德科技大學,810526,休閒遊憩與運動管理系,學士班(日間),32,22,10
,102,私立,技專校院,1026,樹德科技大學,810526,休閒遊憩與運動管理系,學士班(進修),22,16,6
,102,私立,技專校院,1026,樹德科技大學,990101,人類性學研究所,碩士班(日間),14,3,11
,102,私立,技專校院,1026,樹德科技大學,990101,人類性學研究所,碩士在職專班,14,4,10
,102,私立,技專校院,1030,龍華科技大學,220303,應用外語系,學士班(日間),87,11,76
,102,私立,技專校院,1030,龍華科技大學,220303,應用外語系,學士班(進修),78,33,45
,102,私立,技專校院,1030,龍華科技大學,340301,企業管理科(雙軌專班),二專(日間),3,2,1
,102,私立,技專校院,1030,龍華科技大學,340301,企業管理系,學士班(日間),96,24,72
,102,私立,技專校院,1030,龍華科技大學,340301,企業管理系,學士班(進修),92,39,53
,102,私立,技專校院,1030,龍華科技大學,340301,企業管理系碩士班,碩士班(日間),15,11,4
,102,私立,技專校院,1030,龍華科技大學,340301,企業管理系碩士班(境內外國學生專班),碩士班(日間),6,3,3
,102,私立,技專校院,1030,龍華科技大學,340301,企業管理系碩士班,碩士在職專班,30,21,9
,102,私立,技專校院,1030,龍華科技大學,340307,國際企業系,學士班(日間),112,17,95
,102,私立,技專校院,1030,龍華科技大學,340307,國際企業系,學士班(進修),24,5,19
,102,私立,技專校院,1030,龍華科技大學,340501,財務金融系,學士班(日間),111,36,75
,102,私立,技專校院,1030,龍華科技大學,340501,財務金融系,學士班(進修),61,13,48
,102,私立,技專校院,1030,龍華科技大學,349906,工業管理系,學士班(日間),92,51,41
,102,私立,技專校院,1030,龍華科技大學,349906,工業管理系,學士班(進修),86,54,32
,102,私立,技專校院,1030,龍華科技大學,480109,資訊管理系,學士班(日間),137,71,66
,102,私立,技專校院,1030,龍華科技大學,480109,資訊管理系,學士班(進修),114,57,57
,102,私立,技專校院,1030,龍華科技大學,480109,資訊管理系碩士班,碩士班(日間),7,7,0
,102,私立,技專校院,1030,龍華科技大學,480109,資訊管理系碩士班(境外專班),碩士班(日間),3,3,0
,102,私立,技專校院,1030,龍華科技大學,480301,多媒體與遊戲發展科學系,學士班(日間),96,60,36
,102,私立,技專校院,1030,龍華科技大學,480301,多媒體與遊戲發展科學系,學士班(進修),114,70,44
,102,私立,技專校院,1030,龍華科技大學,520101,電機工程系,學士班(日間),162,158,4
,102,私立,技專校院,1030,龍華科技大學,520101,電機工程系,學士班(進修),66,62,4
,102,私立,技專校院,1030,龍華科技大學,520101,電機工程系碩士班,碩士班(日間),17,17,0
,102,私立,技專校院,1030,龍華科技大學,520103,電子工程系,學士班(日間),172,162,10
,102,私立,技專校院,1030,龍華科技大學,520103,電子工程系(雙軌專班),學士班(日間),29,21,8
,102,私立,技專校院,1030,龍華科技大學,520103,電子工程系,學士班(進修),41,39,2
,102,私立,技專校院,1030,龍華科技大學,520103,電子工程系(產學攜手專班),學士班(進修),3,3,0
,102,私立,技專校院,1030,龍華科技大學,520103,電子工程系碩士班,碩士班(日間),22,22,0
,102,私立,技專校院,1030,龍華科技大學,520117,資訊網路工程系,學士班(日間),102,94,8
,102,私立,技專校院,1030,龍華科技大學,520117,資訊網路工程系,學士班(進修),72,65,7
,102,私立,技專校院,1030,龍華科技大學,520201,機械工程科(雙軌專班),二專(日間),9,8,1
,102,私立,技專校院,1030,龍華科技大學,520201,機械工程系,學士班(日間),89,81,8
,102,私立,技專校院,1030,龍華科技大學,520201,機械工程系,學士班(進修),107,94,13
,102,私立,技專校院,1030,龍華科技大學,520201,機械工程系碩士班,碩士班(日間),25,23,2
,102,私立,技專校院,1030,龍華科技大學,520201,機械工程系碩士班,碩士在職專班,16,15,1
,102,私立,技專校院,1030,龍華科技大學,520403,化工與材料工程系,學士班(日間),86,75,11
,102,私立,技專校院,1031,輔英科技大學,220303,應用外語科,五專,40,3,37
,102,私立,技專校院,1031,輔英科技大學,220303,應用外語系,學士班(日間),42,10,32
,102,私立,技專校院,1031,輔英科技大學,340904,健康事業管理系,學士班(日間),46,8,38
,102,私立,技專校院,1031,輔英科技大學,340904,健康事業管理系,學士班(進修),26,3,23
,102,私立,技專校院,1031,輔英科技大學,349928,文教事業管理學位學程,學士班(日間),29,11,18
,102,私立,技專校院,1031,輔英科技大學,420302,生物科技系,學士班(日間),56,29,27
,102,私立,技專校院,1031,輔英科技大學,420302,生物科技系,學士班(進修),8,7,1
,102,私立,技專校院,1031,輔英科技大學,420302,生物科技系,碩士班(日間),2,1,1
,102,私立,技專校院,1031,輔英科技大學,440105,應用化學及材料科學系,學士班(日間),28,25,3
,102,私立,技專校院,1031,輔英科技大學,440105,應用化學與材料科學系,學士班(進修),12,10,2
,102,私立,技專校院,1031,輔英科技大學,480101,資訊科技學位學程,學士班(日間),63,62,1
,102,私立,技專校院,1031,輔英科技大學,480109,資訊管理系,學士班(日間),84,60,24
,102,私立,技專校院,1031,輔英科技大學,480109,資訊管理系,學士班(進修),52,35,17
,102,私立,技專校院,1031,輔英科技大學,520903,環境工程與科學系,學士班(日間),61,53,8
,102,私立,技專校院,1031,輔英科技大學,520903,環境工程與科學系,學士班(進修),18,18,0
,102,私立,技專校院,1031,輔英科技大學,520903,環境工程與科學系,碩士班(日間),7,3,4
