,學年度,學期,設立別 ,學校類別,學校代碼,學校名稱,學制,學生總人數,學期內新增辦理休學人數,男,女,至學期底總休學人數,男,女
,101,2,公立,一般大學,49,國立臺灣體育運動大學,學士班(進修),402,12,10,2,34,25,9
,101,2,公立,一般大學,49,國立臺灣體育運動大學,碩士班(日間),257,20,11,9,78,39,39
,101,2,公立,一般大學,49,國立臺灣體育運動大學,碩士在職專班,92,1,1,0,2,2,0
,101,2,公立,一般大學,3001,臺北市立教育大學,學士班(日間),2888,38,16,22,116,63,53
,101,2,公立,一般大學,3001,臺北市立教育大學,碩士班(日間),860,62,18,44,233,68,165
,101,2,公立,一般大學,3001,臺北市立教育大學,碩士在職專班,847,35,14,21,91,30,61
,101,2,公立,一般大學,3001,臺北市立教育大學,博士班,205,20,4,16,51,23,28
,101,2,公立,一般大學,3102,臺北市立體育學院,學士班(日間),1866,34,26,8,102,81,21
,101,2,公立,一般大學,3102,臺北市立體育學院,碩士班(日間),281,11,3,8,42,21,21
,101,2,公立,一般大學,3102,臺北市立體育學院,碩士在職專班,143,2,2,0,7,4,3
,101,2,公立,一般大學,3102,臺北市立體育學院,博士班,23,1,1,0,2,2,0
,101,2,公立,技專校院,22,國立臺灣科技大學,學士班(日間),5537,40,31,9,45,19,26
,101,2,公立,技專校院,22,國立臺灣科技大學,學士班(進修),68,5,1,4,17,11,6
,101,2,公立,技專校院,22,國立臺灣科技大學,碩士班(日間),3039,61,40,21,177,109,68
,101,2,公立,技專校院,22,國立臺灣科技大學,碩士在職專班,805,69,57,12,159,128,31
,101,2,公立,技專校院,22,國立臺灣科技大學,博士班,1058,139,111,28,258,201,57
,101,2,公立,技專校院,23,國立雲林科技大學,學士班(日間),6217,46,32,14,176,107,69
,101,2,公立,技專校院,23,國立雲林科技大學,碩士班(日間),2056,46,22,24,256,154,102
,101,2,公立,技專校院,23,國立雲林科技大學,碩士在職專班,782,31,22,9,148,90,58
,101,2,公立,技專校院,23,國立雲林科技大學,博士班,478,36,25,11,164,122,42
,101,2,公立,技專校院,24,國立屏東科技大學,學士班(日間),7599,64,46,18,155,105,50
,101,2,公立,技專校院,24,國立屏東科技大學,學士班(進修),1410,21,11,10,30,21,9
,101,2,公立,技專校院,24,國立屏東科技大學,碩士班(日間),1697,98,60,38,253,149,104
,101,2,公立,技專校院,24,國立屏東科技大學,碩士在職專班,667,25,19,6,32,23,9
,101,2,公立,技專校院,24,國立屏東科技大學,博士班,209,16,11,5,48,34,14
,101,2,公立,技專校院,25,國立臺北科技大學,學士班(日間),5760,93,64,29,204,152,52
,101,2,公立,技專校院,25,國立臺北科技大學,學士班(進修),1126,21,18,3,61,44,17
,101,2,公立,技專校院,25,國立臺北科技大學,碩士班(日間),2535,66,48,18,183,143,40
,101,2,公立,技專校院,25,國立臺北科技大學,碩士在職專班,1112,130,111,19,205,166,39
,101,2,公立,技專校院,25,國立臺北科技大學,博士班,721,66,51,15,144,123,21
,101,2,公立,技專校院,26,國立高雄第一科技大學,學士班(日間),5392,36,24,12,131,78,53
,101,2,公立,技專校院,26,國立高雄第一科技大學,碩士班(日間),1217,30,22,8,116,62,54
,101,2,公立,技專校院,26,國立高雄第一科技大學,碩士在職專班,814,55,46,9,147,108,39
,101,2,公立,技專校院,26,國立高雄第一科技大學,博士班,220,20,15,5,44,34,10
,101,2,公立,技專校院,27,國立高雄應用科技大學,學士班(日間),7462,52,38,14,123,93,30
,101,2,公立,技專校院,27,國立高雄應用科技大學,學士班(進修),1733,61,47,14,129,97,32
,101,2,公立,技專校院,27,國立高雄應用科技大學,碩士班(日間),1345,34,29,5,103,78,25
,101,2,公立,技專校院,27,國立高雄應用科技大學,碩士在職專班,1301,63,47,16,225,178,47
,101,2,公立,技專校院,27,國立高雄應用科技大學,博士班,233,15,14,1,35,34,1
,101,2,公立,技專校院,33,國立虎尾科技大學,學士班(日間),7703,50,42,8,243,198,45
,101,2,公立,技專校院,33,國立虎尾科技大學,學士班(進修),1368,14,12,2,57,43,14
,101,2,公立,技專校院,33,國立虎尾科技大學,碩士班(日間),1069,19,18,1,110,94,16
,101,2,公立,技專校院,33,國立虎尾科技大學,碩士在職專班,428,30,27,3,38,33,5
,101,2,公立,技專校院,33,國立虎尾科技大學,博士班,27,1,1,0,9,9,0
,101,2,公立,技專校院,34,國立高雄海洋科技大學,五專,480,1,1,0,9,9,0
,101,2,公立,技專校院,34,國立高雄海洋科技大學,學士班(日間),4996,58,46,12,190,146,44
,101,2,公立,技專校院,34,國立高雄海洋科技大學,學士班(進修),1782,20,15,5,64,40,24
,101,2,公立,技專校院,34,國立高雄海洋科技大學,碩士班(日間),357,9,8,1,40,30,10
,101,2,公立,技專校院,34,國立高雄海洋科技大學,碩士在職專班,185,1,1,0,13,11,2
,101,2,公立,技專校院,42,國立澎湖科技大學,二專(進修),28,4,1,3,6,2,4
,101,2,公立,技專校院,42,國立澎湖科技大學,學士班(日間),2563,34,25,9,68,43,25
,101,2,公立,技專校院,42,國立澎湖科技大學,學士班(進修),316,3,2,1,17,10,7
,101,2,公立,技專校院,42,國立澎湖科技大學,碩士班(日間),98,7,7,0,14,9,5
,101,2,公立,技專校院,42,國立澎湖科技大學,碩士在職專班,36,1,0,1,2,1,1
,101,2,公立,技專校院,43,國立勤益科技大學,二專(日間),161,0,0,0,5,4,1
,101,2,公立,技專校院,43,國立勤益科技大學,二專(進修),28,2,2,0,10,9,1
,101,2,公立,技專校院,43,國立勤益科技大學,學士班(日間),6365,61,49,12,258,190,68
,101,2,公立,技專校院,43,國立勤益科技大學,學士班(進修),3143,64,49,15,165,133,32
,101,2,公立,技專校院,43,國立勤益科技大學,碩士班(日間),712,17,15,2,53,44,9
,101,2,公立,技專校院,43,國立勤益科技大學,碩士在職專班,227,24,19,5,32,27,5
,101,2,公立,技專校院,43,國立勤益科技大學,博士班,3,0,0,0,0,0,0
,101,2,公立,技專校院,46,國立臺北護理健康大學,學士班(日間),2769,16,3,13,84,16,68
,101,2,公立,技專校院,46,國立臺北護理健康大學,學士班(進修),639,19,0,19,90,1,89
,101,2,公立,技專校院,46,國立臺北護理健康大學,碩士班(日間),624,49,6,43,209,25,184
,101,2,公立,技專校院,46,國立臺北護理健康大學,碩士在職專班,162,12,0,12,34,3,31
,101,2,公立,技專校院,46,國立臺北護理健康大學,博士班,64,7,0,7,11,0,11
,101,2,公立,技專校院,47,國立高雄餐旅大學,五專,229,1,1,0,10,6,4
,101,2,公立,技專校院,47,國立高雄餐旅大學,學士班(日間),3140,17,8,9,81,29,52
,101,2,公立,技專校院,47,國立高雄餐旅大學,學士班(進修),1236,6,3,3,44,23,21
,101,2,公立,技專校院,47,國立高雄餐旅大學,碩士班(日間),198,5,3,2,47,19,28
,101,2,公立,技專校院,47,國立高雄餐旅大學,碩士在職專班,80,2,2,0,2,2,0
,101,2,公立,技專校院,47,國立高雄餐旅大學,博士班,8,0,0,0,0,0,0
,101,2,公立,技專校院,50,國立臺中科技大學,二專(日間),295,5,1,4,19,2,17
,101,2,公立,技專校院,50,國立臺中科技大學,二專(進修),171,10,0,10,17,0,17
,101,2,公立,技專校院,50,國立臺中科技大學,五專,3732,22,6,16,73,23,50
,101,2,公立,技專校院,50,國立臺中科技大學,學士班(日間),5644,45,14,31,140,52,88
,101,2,公立,技專校院,50,國立臺中科技大學,學士班(進修),2517,71,25,46,116,43,73
,101,2,公立,技專校院,50,國立臺中科技大學,碩士班(日間),365,11,5,6,44,25,19
,101,2,公立,技專校院,50,國立臺中科技大學,碩士在職專班,139,5,2,3,10,3,7
,101,2,公立,技專校院,136,國立屏東商業技術學院,學士班(日間),2969,27,12,15,78,32,46
,101,2,公立,技專校院,136,國立屏東商業技術學院,學士班(進修),832,23,11,12,81,34,47
,101,2,公立,技專校院,136,國立屏東商業技術學院,碩士班(日間),256,16,10,6,68,35,33
,101,2,公立,技專校院,136,國立屏東商業技術學院,碩士在職專班,24,1,0,1,3,2,1
,101,2,公立,技專校院,142,國立臺北商業技術學院,二專(進修),418,20,6,14,49,14,35
,101,2,公立,技專校院,142,國立臺北商業技術學院,五專,2038,20,6,14,76,28,48
,101,2,公立,技專校院,142,國立臺北商業技術學院,學士班(日間),2146,18,8,10,53,21,32
,101,2,公立,技專校院,142,國立臺北商業技術學院,學士班(進修),1804,28,16,12,76,33,43
,101,2,公立,技專校院,142,國立臺北商業技術學院,碩士班(日間),149,4,4,0,17,10,7
,101,2,公立,技專校院,142,國立臺北商業技術學院,碩士在職專班,29,1,1,0,5,4,1
,101,2,公立,技專校院,144,國立臺灣戲曲學院,二專(日間),1,0,0,0,0,0,0
,101,2,公立,技專校院,144,國立臺灣戲曲學院,學士班(日間),492,7,3,4,37,16,21
,101,2,公立,技專校院,221,國立臺南護理專科學校,二專(日間),93,1,0,1,3,0,3
,101,2,公立,技專校院,221,國立臺南護理專科學校,二專(進修),98,5,1,4,14,3,11
,101,2,公立,技專校院,221,國立臺南護理專科學校,五專,1675,13,0,13,26,1,25
,101,2,公立,技專校院,222,國立臺東專科學校,二專(日間),431,10,7,3,22,17,5
,101,2,公立,技專校院,222,國立臺東專科學校,二專(進修),202,9,5,4,32,20,12
,101,2,公立,技專校院,222,國立臺東專科學校,五專,452,9,5,4,43,22,21
,101,2,私立,一般大學,1001,東海大學,學士班(日間),13578,160,95,65,523,318,205
,101,2,私立,一般大學,1001,東海大學,學士班(進修),834,48,32,16,221,143,78
,101,2,私立,一般大學,1001,東海大學,碩士班(日間),1790,114,61,53,383,204,179
,101,2,私立,一般大學,1001,東海大學,碩士在職專班,798,47,30,17,161,86,75
,101,2,私立,一般大學,1001,東海大學,博士班,240,26,19,7,68,46,22
,101,2,私立,一般大學,1002,輔仁大學,學士班(日間),17829,200,125,75,638,353,285
,101,2,私立,一般大學,1002,輔仁大學,學士班(進修),4722,151,64,87,458,191,267
,101,2,私立,一般大學,1002,輔仁大學,碩士班(日間),2225,257,112,145,660,284,376
,101,2,私立,一般大學,1002,輔仁大學,碩士在職專班,1563,106,43,63,384,173,211
,101,2,私立,一般大學,1002,輔仁大學,博士班,417,58,22,36,169,79,90
,101,2,私立,一般大學,1003,東吳大學,學士班(日間),11793,110,67,43,350,185,165
,101,2,私立,一般大學,1003,東吳大學,學士班(進修),1351,52,19,33,153,62,91
,101,2,私立,一般大學,1003,東吳大學,碩士班(日間),1261,154,67,87,273,137,136
,101,2,私立,一般大學,1003,東吳大學,碩士在職專班,1187,118,47,71,253,108,145
,101,2,私立,一般大學,1003,東吳大學,博士班,92,5,2,3,13,6,7
,101,2,私立,一般大學,1004,中原大學,學士班(日間),12582,124,94,30,420,306,114
,101,2,私立,一般大學,1004,中原大學,學士班(進修),6,2,2,0,8,8,0
,101,2,私立,一般大學,1004,中原大學,碩士班(日間),2004,77,43,34,313,188,125
,101,2,私立,一般大學,1004,中原大學,碩士在職專班,1284,70,52,18,251,166,85
,101,2,私立,一般大學,1004,中原大學,博士班,387,32,26,6,96,79,17
,101,2,私立,一般大學,1005,淡江大學,學士班(日間),21025,235,160,75,788,507,281
,101,2,私立,一般大學,1005,淡江大學,學士班(進修),2742,89,61,28,322,177,145
,101,2,私立,一般大學,1005,淡江大學,碩士班(日間),2473,107,59,48,406,220,186
,101,2,私立,一般大學,1005,淡江大學,碩士在職專班,1340,73,40,33,268,142,126
,101,2,私立,一般大學,1005,淡江大學,博士班,533,29,26,3,130,97,33
,101,2,私立,一般大學,1006,中國文化大學,學士班(日間),20488,237,118,119,675,386,289
,101,2,私立,一般大學,1006,中國文化大學,學士班(進修),2783,180,94,86,580,287,293
,101,2,私立,一般大學,1006,中國文化大學,碩士班(日間),2016,127,82,45,372,224,148
,101,2,私立,一般大學,1006,中國文化大學,碩士在職專班,658,33,14,19,159,71,88
,101,2,私立,一般大學,1006,中國文化大學,博士班,523,25,12,13,83,44,39
,101,2,私立,一般大學,1007,逢甲大學,學士班(日間),16460,157,122,35,373,285,88
,101,2,私立,一般大學,1007,逢甲大學,學士班(進修),849,51,35,16,111,66,45
,101,2,私立,一般大學,1007,逢甲大學,碩士班(日間),1847,80,52,28,172,119,53
,101,2,私立,一般大學,1007,逢甲大學,碩士在職專班,1217,82,53,29,158,103,55
,101,2,私立,一般大學,1007,逢甲大學,博士班,411,44,35,9,84,68,16
,101,2,私立,一般大學,1008,靜宜大學,學士班(日間),11083,169,104,65,381,217,164
,101,2,私立,一般大學,1008,靜宜大學,學士班(進修),153,3,3,0,11,8,3
,101,2,私立,一般大學,1008,靜宜大學,碩士班(日間),733,58,23,35,133,60,73
,101,2,私立,一般大學,1008,靜宜大學,碩士在職專班,322,11,5,6,37,16,21
,101,2,私立,一般大學,1008,靜宜大學,博士班,38,2,1,1,2,1,1
,101,2,私立,一般大學,1009,長庚大學,學士班(日間),5054,27,15,12,164,81,83
,101,2,私立,一般大學,1009,長庚大學,碩士班(日間),1452,60,24,36,189,74,115
,101,2,私立,一般大學,1009,長庚大學,碩士在職專班,457,32,27,5,95,65,30
,101,2,私立,一般大學,1009,長庚大學,博士班,543,24,18,6,77,47,30
,101,2,私立,一般大學,1010,元智大學,學士班(日間),7073,50,34,16,128,78,50
,101,2,私立,一般大學,1010,元智大學,學士班(進修),2,0,0,0,0,0,0
,101,2,私立,一般大學,1010,元智大學,碩士班(日間),1332,47,28,19,117,77,40
,101,2,私立,一般大學,1010,元智大學,碩士在職專班,1161,52,30,22,163,110,53
,101,2,私立,一般大學,1010,元智大學,博士班,341,31,23,8,72,53,19
,101,2,私立,一般大學,1011,中華大學,學士班(日間),6871,111,83,28,293,224,69
,101,2,私立,一般大學,1011,中華大學,學士班(進修),452,14,12,2,40,30,10
,101,2,私立,一般大學,1011,中華大學,碩士班(日間),794,39,26,13,129,99,30
,101,2,私立,一般大學,1011,中華大學,碩士在職專班,352,17,16,1,56,52,4
,101,2,私立,一般大學,1011,中華大學,博士班,145,9,5,4,43,30,13
,101,2,私立,一般大學,1012,大葉大學,學士班(日間),7465,90,60,30,299,197,102
,101,2,私立,一般大學,1012,大葉大學,學士班(進修),745,22,15,7,62,46,16
,101,2,私立,一般大學,1012,大葉大學,碩士班(日間),966,34,26,8,94,70,24
,101,2,私立,一般大學,1012,大葉大學,碩士在職專班,928,20,11,9,56,32,24
,101,2,私立,一般大學,1012,大葉大學,博士班,159,5,5,0,26,23,3
,101,2,私立,一般大學,1013,華梵大學,學士班(日間),2918,75,56,19,221,148,73
,101,2,私立,一般大學,1013,華梵大學,碩士班(日間),393,63,47,16,122,87,35
,101,2,私立,一般大學,1013,華梵大學,碩士在職專班,447,62,47,15,110,79,31
,101,2,私立,一般大學,1013,華梵大學,博士班,49,9,8,1,23,17,6
,101,2,私立,一般大學,1014,義守大學,學士班(日間),12009,46,31,15,126,91,35
,101,2,私立,一般大學,1014,義守大學,學士班(進修),2669,52,38,14,218,144,74
,101,2,私立,一般大學,1014,義守大學,碩士班(日間),714,17,16,1,27,25,2
,101,2,私立,一般大學,1014,義守大學,碩士在職專班,645,12,9,3,32,22,10
,101,2,私立,一般大學,1014,義守大學,博士班,127,10,7,3,23,17,6
,101,2,私立,一般大學,1015,世新大學,學士班(日間),9528,156,78,78,298,146,152
,101,2,私立,一般大學,1015,世新大學,學士班(進修),251,11,6,5,23,10,13
,101,2,私立,一般大學,1015,世新大學,碩士班(日間),844,120,65,55,170,92,78
,101,2,私立,一般大學,1015,世新大學,碩士在職專班,1124,110,46,64,375,177,198
,101,2,私立,一般大學,1015,世新大學,博士班,72,10,3,7,14,6,8
,101,2,私立,一般大學,1016,銘傳大學,學士班(日間),16902,235,140,95,557,312,245
,101,2,私立,一般大學,1016,銘傳大學,學士班(進修),29,0,0,0,1,1,0
,101,2,私立,一般大學,1016,銘傳大學,碩士班(日間),887,38,20,18,107,56,51
,101,2,私立,一般大學,1016,銘傳大學,碩士在職專班,923,34,13,21,104,39,65
,101,2,私立,一般大學,1016,銘傳大學,博士班,56,9,3,6,19,7,12
,101,2,私立,一般大學,1017,實踐大學,學士班(日間),12279,136,60,76,337,145,192
,101,2,私立,一般大學,1017,實踐大學,學士班(進修),2909,91,32,59,209,76,133
,101,2,私立,一般大學,1017,實踐大學,碩士班(日間),414,33,17,16,67,34,33
,101,2,私立,一般大學,1017,實踐大學,碩士在職專班,187,10,8,2,29,18,11
,101,2,私立,一般大學,1017,實踐大學,博士班,3,0,0,0,0,0,0
,101,2,私立,一般大學,1019,高雄醫學大學,學士班(日間),5589,41,19,22,187,89,98
,101,2,私立,一般大學,1019,高雄醫學大學,學士班(進修),187,4,0,4,13,0,13
,101,2,私立,一般大學,1019,高雄醫學大學,碩士班(日間),632,53,20,33,147,53,94
,101,2,私立,一般大學,1019,高雄醫學大學,碩士在職專班,183,18,4,14,39,10,29
,101,2,私立,一般大學,1019,高雄醫學大學,博士班,344,40,19,21,89,48,41
,101,2,私立,一般大學,1020,南華大學,學士班(日間),3511,84,58,26,258,175,83
,101,2,私立,一般大學,1020,南華大學,學士班(進修),176,5,3,2,17,14,3
,101,2,私立,一般大學,1020,南華大學,碩士班(日間),852,63,32,31,179,91,88
,101,2,私立,一般大學,1020,南華大學,碩士在職專班,590,27,15,12,82,48,34
,101,2,私立,一般大學,1020,南華大學,博士班,25,1,1,0,6,3,3
,101,2,私立,一般大學,1021,真理大學,學士班(日間),7936,121,77,44,284,179,105
,101,2,私立,一般大學,1021,真理大學,學士班(進修),1006,29,14,15,62,31,31
,101,2,私立,一般大學,1021,真理大學,碩士班(日間),166,14,6,8,21,10,11
,101,2,私立,一般大學,1021,真理大學,碩士在職專班,14,1,1,0,3,2,1
,101,2,私立,一般大學,1022,大同大學,學士班(日間),3694,36,28,8,219,173,46
,101,2,私立,一般大學,1022,大同大學,碩士班(日間),659,23,18,5,90,67,23
,101,2,私立,一般大學,1022,大同大學,碩士在職專班,564,47,39,8,267,213,54
,101,2,私立,一般大學,1022,大同大學,博士班,169,13,11,2,68,58,10
,101,2,私立,一般大學,1027,慈濟大學,學士班(日間),2809,20,13,7,73,33,40
,101,2,私立,一般大學,1027,慈濟大學,碩士班(日間),380,38,11,27,85,28,57
,101,2,私立,一般大學,1027,慈濟大學,碩士在職專班,44,4,3,1,6,4,2
,101,2,私立,一般大學,1027,慈濟大學,博士班,110,10,2,8,33,15,18
,101,2,私立,一般大學,1028,臺北醫學大學,學士班(日間),4507,16,6,10,81,35,46
,101,2,私立,一般大學,1028,臺北醫學大學,學士班(進修),324,2,0,2,17,0,17
,101,2,私立,一般大學,1028,臺北醫學大學,碩士班(日間),690,16,6,10,58,19,39
,101,2,私立,一般大學,1028,臺北醫學大學,碩士在職專班,227,15,3,12,38,4,34
,101,2,私立,一般大學,1028,臺北醫學大學,博士班,360,13,6,7,30,15,15
,101,2,私立,一般大學,1029,中山醫學大學,學士班(日間),6490,38,23,15,174,89,85
,101,2,私立,一般大學,1029,中山醫學大學,學士班(進修),349,4,1,3,12,5,7
,101,2,私立,一般大學,1029,中山醫學大學,碩士班(日間),528,16,9,7,57,26,31
,101,2,私立,一般大學,1029,中山醫學大學,碩士在職專班,91,2,0,2,8,4,4
,101,2,私立,一般大學,1029,中山醫學大學,博士班,235,12,8,4,35,19,16
,101,2,私立,一般大學,1033,長榮大學,學士班(日間),8584,219,137,82,353,222,131
,101,2,私立,一般大學,1033,長榮大學,學士班(進修),523,76,47,29,89,53,36
,101,2,私立,一般大學,1033,長榮大學,碩士班(日間),562,73,36,37,105,56,49
,101,2,私立,一般大學,1033,長榮大學,碩士在職專班,233,24,13,11,38,20,18
,101,2,私立,一般大學,1033,長榮大學,博士班,36,11,9,2,16,12,4
,101,2,私立,一般大學,1035,中國醫藥大學,學士班(日間),6458,32,15,17,99,45,54
,101,2,私立,一般大學,1035,中國醫藥大學,學士班(進修),139,8,1,7,16,1,15
,101,2,私立,一般大學,1035,中國醫藥大學,碩士班(日間),561,35,16,19,41,17,24
,101,2,私立,一般大學,1035,中國醫藥大學,碩士在職專班,67,4,1,3,4,1,3
,101,2,私立,一般大學,1035,中國醫藥大學,博士班,317,19,11,8,25,17,8
,101,2,私立,一般大學,1039,玄奘大學,學士班(日間),3650,93,46,47,326,159,167
,101,2,私立,一般大學,1039,玄奘大學,學士班(進修),1518,100,59,41,458,244,214
,101,2,私立,一般大學,1039,玄奘大學,碩士班(日間),463,56,27,29,159,94,65
,101,2,私立,一般大學,1039,玄奘大學,碩士在職專班,350,27,6,21,62,21,41
,101,2,私立,一般大學,1039,玄奘大學,博士班,29,0,0,0,1,1,0
,101,2,私立,一般大學,1048,亞洲大學,學士班(日間),9261,134,89,45,465,287,178
,101,2,私立,一般大學,1048,亞洲大學,學士班(進修),1513,80,52,28,224,141,83
,101,2,私立,一般大學,1048,亞洲大學,碩士班(日間),739,44,23,21,146,82,64
,101,2,私立,一般大學,1048,亞洲大學,碩士在職專班,472,18,10,8,52,27,25
,101,2,私立,一般大學,1048,亞洲大學,博士班,134,11,5,6,26,11,15
,101,2,私立,一般大學,1049,開南大學,學士班(日間),8020,157,93,64,431,281,150
,101,2,私立,一般大學,1049,開南大學,學士班(進修),1344,55,38,17,178,113,65
,101,2,私立,一般大學,1049,開南大學,碩士班(日間),343,32,15,17,70,34,36
,101,2,私立,一般大學,1049,開南大學,碩士在職專班,384,10,6,4,22,11,11
,101,2,私立,一般大學,1050,佛光大學,學士班(日間),2262,32,21,11,107,63,44
,101,2,私立,一般大學,1050,佛光大學,碩士班(日間),835,76,37,39,233,111,122
,101,2,私立,一般大學,1050,佛光大學,碩士在職專班,276,12,8,4,37,24,13
,101,2,私立,一般大學,1050,佛光大學,博士班,32,0,0,0,3,0,3
,101,2,私立,一般大學,1058,明道大學,學士班(日間),3346,38,17,21,118,60,58
,101,2,私立,一般大學,1058,明道大學,學士班(進修),2292,56,36,20,205,130,75
,101,2,私立,一般大學,1058,明道大學,碩士班(日間),265,17,10,7,38,26,12
,101,2,私立,一般大學,1058,明道大學,碩士在職專班,49,2,2,0,6,4,2
,101,2,私立,一般大學,1059,康寧大學,學士班(日間),1121,69,44,25,227,175,52
,101,2,私立,一般大學,1059,康寧大學,學士班(進修),400,36,30,6,116,92,24
,101,2,私立,一般大學,1059,康寧大學,碩士班(日間),223,12,10,2,56,41,15
,101,2,私立,一般大學,1059,康寧大學,碩士在職專班,162,3,3,0,17,9,8
,101,2,私立,一般大學,1067,台灣首府大學,學士班(日間),3722,81,43,38,214,123,91
,101,2,私立,一般大學,1067,台灣首府大學,學士班(進修),1533,27,18,9,140,95,45
,101,2,私立,一般大學,1067,台灣首府大學,碩士班(日間),81,1,1,0,5,2,3
,101,2,私立,一般大學,1125,興國管理學院,學士班(日間),199,5,3,2,0,0,0
,101,2,私立,一般大學,1125,興國管理學院,學士班(進修),1197,15,9,6,1,1,0
,101,2,私立,一般大學,1176,稻江科技暨管理學院,學士班(日間),1562,30,19,11,94,62,32
,101,2,私立,一般大學,1176,稻江科技暨管理學院,學士班(進修),1156,10,4,6,70,45,25
,101,2,私立,一般大學,1176,稻江科技暨管理學院,碩士班(日間),51,2,1,1,11,7,4
,101,2,私立,一般大學,1195,馬偕醫學院,學士班(日間),335,3,1,2,11,4,7
,101,2,私立,一般大學,1195,馬偕醫學院,碩士班(日間),2,0,0,0,1,0,1
,101,2,私立,一般大學,1R01,法鼓佛教學院,學士班(日間),54,0,0,0,0,0,0
,101,2,私立,一般大學,1R01,法鼓佛教學院,碩士班(日間),63,7,1,6,9,1,8
,101,2,私立,一般大學,1R01,法鼓佛教學院,博士班,3,0,0,0,0,0,0
,101,2,私立,一般大學,1R02,基督教台灣浸會神學院,碩士班(日間),39,0,0,0,0,0,0
,101,2,私立,一般大學,1R03,臺北基督學院,學士班(日間),41,5,3,2,5,3,2
,101,2,私立,技專校院,1018,朝陽科技大學,學士班(日間),11041,94,65,29,338,197,141
,101,2,私立,技專校院,1018,朝陽科技大學,學士班(進修),3853,136,72,64,376,181,195
,101,2,私立,技專校院,1018,朝陽科技大學,碩士班(日間),1007,58,26,32,133,75,58
,101,2,私立,技專校院,1018,朝陽科技大學,碩士在職專班,580,35,18,17,99,61,38
,101,2,私立,技專校院,1018,朝陽科技大學,博士班,72,2,2,0,12,12,0
,101,2,私立,技專校院,1023,南臺科技大學,學士班(日間),13094,96,61,35,327,210,117
,101,2,私立,技專校院,1023,南臺科技大學,學士班(進修),4929,108,69,39,492,295,197
,101,2,私立,技專校院,1023,南臺科技大學,碩士班(日間),1257,64,42,22,228,153,75
,101,2,私立,技專校院,1023,南臺科技大學,碩士在職專班,544,23,14,9,84,43,41
,101,2,私立,技專校院,1023,南臺科技大學,博士班,44,0,0,0,5,4,1
,101,2,私立,技專校院,1024,崑山科技大學,學士班(日間),8578,136,89,47,424,294,130
,101,2,私立,技專校院,1024,崑山科技大學,學士班(進修),3560,173,111,62,717,461,256
,101,2,私立,技專校院,1024,崑山科技大學,碩士班(日間),589,28,19,9,87,70,17
,101,2,私立,技專校院,1024,崑山科技大學,碩士在職專班,213,10,7,3,26,20,6
,101,2,私立,技專校院,1024,崑山科技大學,博士班,26,2,2,0,3,3,0
,101,2,私立,技專校院,1025,嘉南藥理大學,學士班(日間),12702,110,55,55,491,246,245
,101,2,私立,技專校院,1025,嘉南藥理大學,學士班(進修),3743,127,64,63,754,428,326
,101,2,私立,技專校院,1025,嘉南藥理大學,碩士班(日間),357,22,13,9,107,76,31
,101,2,私立,技專校院,1025,嘉南藥理大學,碩士在職專班,183,5,2,3,49,23,26
,101,2,私立,技專校院,1026,樹德科技大學,二專(日間),0,1,1,0,1,1,0
,101,2,私立,技專校院,1026,樹德科技大學,學士班(日間),8103,210,135,75,334,223,111
,101,2,私立,技專校院,1026,樹德科技大學,學士班(進修),2352,117,79,38,218,138,80
,101,2,私立,技專校院,1026,樹德科技大學,碩士班(日間),429,39,25,14,63,40,23
,101,2,私立,技專校院,1026,樹德科技大學,碩士在職專班,628,14,13,1,28,20,8
,101,2,私立,技專校院,1026,樹德科技大學,博士班,16,2,2,0,3,2,1
,101,2,私立,技專校院,1030,龍華科技大學,二專(日間),44,0,0,0,0,0,0
,101,2,私立,技專校院,1030,龍華科技大學,學士班(日間),6346,69,53,16,291,226,65
,101,2,私立,技專校院,1030,龍華科技大學,學士班(進修),4111,117,86,31,312,225,87
,101,2,私立,技專校院,1030,龍華科技大學,碩士班(日間),308,10,8,2,33,26,7
,101,2,私立,技專校院,1030,龍華科技大學,碩士在職專班,110,4,2,2,9,6,3
,101,2,私立,技專校院,1031,輔英科技大學,二專(進修),13,0,0,0,1,1,0
,101,2,私立,技專校院,1031,輔英科技大學,五專,3429,20,1,19,84,14,70
,101,2,私立,技專校院,1031,輔英科技大學,學士班(日間),5261,76,40,36,333,195,138
,101,2,私立,技專校院,1031,輔英科技大學,學士班(進修),1509,42,22,20,207,111,96
,101,2,私立,技專校院,1031,輔英科技大學,碩士班(日間),133,16,7,9,41,10,31
,101,2,私立,技專校院,1031,輔英科技大學,碩士在職專班,26,0,0,0,13,1,12
,101,2,私立,技專校院,1032,明新科技大學,二專(日間),9,0,0,0,0,0,0
,101,2,私立,技專校院,1032,明新科技大學,二專(進修),172,0,0,0,0,0,0
,101,2,私立,技專校院,1032,明新科技大學,學士班(日間),8583,115,80,35,788,473,315
,101,2,私立,技專校院,1032,明新科技大學,學士班(進修),4244,157,116,41,408,286,122
,101,2,私立,技專校院,1032,明新科技大學,碩士班(日間),451,17,13,4,135,98,37
,101,2,私立,技專校院,1032,明新科技大學,碩士在職專班,226,7,6,1,32,27,5
,101,2,私立,技專校院,1034,弘光科技大學,五專,391,3,0,3,11,1,10
,101,2,私立,技專校院,1034,弘光科技大學,學士班(日間),7618,78,31,47,323,133,190
,101,2,私立,技專校院,1034,弘光科技大學,學士班(進修),4396,96,37,59,526,202,324
