水號,繳費年月,繳費金額,用水度數,同期增減金額,同期增減度數
51-18000100-6,2016-02-01,93031,5638,-1431,
51-18000200-K,2016-03-01,13733,788,-123,
51-06329700-9,2016-03-01,333,25,9,
5Y-24001800-5,2016-03-01,156449,9517,2487,
51-30963840-0,2016-03-01,13616,781,-872,
51-18000201-5,2016-03-01,271141,16474,-1751,
51-18000100-6,2016-03-01,21532,1265,-1582,
51-30963840-0,2012-03-01,18147,1058,8,
51-18025522-8,2012-03-01,9283,458,-443,
5Y-24001800-5,2012-04-01,141278,8589,-13298,
51-30963840-0,2012-04-01,37669,2252,386,
51-30963840-0,2012-05-01,38372,2295,381,
51-18025522-8,2012-05-01,7959,377,-375,
51-18000100-6,2012-05-01,99439,6030,564,
51-18000200-K,2012-06-01,23411,1380,-752,
5Y-24001800-5,2012-06-01,200711,12224,-11322,
51-19326740-5,2012-06-01,6212,375,13,
51-18000201-5,2012-06-01,615115,37512,,
51-18025522-8,2012-06-01,7468,347,-505,
51-18000100-6,2012-06-01,97821,5931,-308,
5Y-24001800-5,2013-04-01,154948,9425,836,
51-30963840-0,2013-04-01,35232,2103,-149,
51-18000100-6,2013-04-01,89726,5436,37,
51-19326735-8,2013-04-01,24458,1444,1378,
51-06329700-9,2013-05-01,308,23,6,
5Y-24001800-5,2013-05-01,163891,9972,-3150,
51-30963840-0,2013-05-01,38175,2283,-12,
5Y-24001800-5,2013-06-01,192175,11702,-522,
51-30963840-0,2013-06-01,38649,2312,17,
51-18000201-5,2013-06-01,279500,16985,,
51-18000100-6,2013-06-01,82745,5009,-922,
51-19326740-5,2013-06-01,7390,447,72,
51-18025522-8,2016-12-01,15526,840,0,
51-19326740-5,2016-12-01,5126,340,-1316,
5Y-24001800-5,2014-03-01,110425,6702,111,
51-30963840-0,2014-03-01,28971,1720,423,
51-18025522-8,2014-03-01,7043,321,-256,
51-18000200-K,2014-04-01,25243,1492,-32,
51-06329700-9,2014-04-01,210,16,-4,
51-18000201-5,2015-03-01,299771,18225,2249,
51-18000100-6,2015-03-01,47398,2847,890,
51-18025522-8,2015-03-01,12451,652,331,
51-19326740-5,2015-03-01,6775,451,-39,
51-19326735-8,2015-03-01,6417,375,356,
51-06329700-9,2012-08-01,268,20,2,
51-18000200-K,2017-04-01,18408,1074,95,
51-06329700-9,2017-04-01,333,25,6,
5Y-24001800-5,2017-04-01,148780,9048,-6273,
51-30963840-0,2017-04-01,36979,2210,250,
51-18000201-5,2017-04-01,271813,16515,3265,
51-18000100-6,2017-04-01,92753,5621,306,
51-18025522-8,2017-04-01,19466,1081,-789,
51-19326740-5,2017-04-01,5261,349,33,
51-19326735-8,2017-04-01,1111,14,-21,
51-18000200-K,2017-05-01,16889,981,-38,
51-06329700-9,2017-05-01,374,28,-2,
5Y-24001800-5,2017-05-01,202016,12304,-2831,
51-18025522-8,2017-05-01,8233,394,3,
51-19326740-5,2017-05-01,5038,334,5,
51-18000200-K,2017-06-01,18458,1077,184,
51-06329700-9,2017-06-01,346,26,5,
5Y-24001800-5,2017-06-01,190097,11575,-4116,
51-18000100-6,2017-06-01,94339,5718,-538,
51-19326740-5,2017-06-01,6567,437,47,
51-30963840-0,2017-07-01,36996,2211,-330,
51-18000201-5,2017-07-01,278335,16914,-3033,
51-18025522-8,2017-07-01,15281,825,-76,
51-19326735-8,2017-07-01,5660,324,-176,
51-06329700-9,2017-08-01,265,20,-9,
51-19326735-8,2019-09-01,11778,736,282,
51-18000200-K,2019-10-01,18440,1076,-704,
5Y-24001800-5,2019-10-01,151461,9212,0,
51-18000201-5,2019-10-01,266678,16201,1135,
51-19326735-8,2019-10-01,4873,271,40,
51-18000200-K,2019-11-01,25848,1529,-601,
51-06329700-9,2019-11-01,401,30,5,
51-18000201-5,2019-11-01,317690,19321,606,
51-18000100-6,2019-11-01,95711,5802,679,
51-18025522-8,2019-11-01,9101,447,-440,
51-19326740-5,2019-11-01,5038,334,-10,
51-19326735-8,2019-11-01,6686,393,168,
51-18000200-K,2019-12-01,28872,1714,-734,
51-06329700-9,2019-12-01,374,28,-2,
5Y-24001800-5,2019-12-01,241959,14747,498,
51-30963840-0,2019-12-01,42145,2526,-192,
51-18000201-5,2019-12-01,298266,18133,-4216,
51-18000100-6,2019-12-01,99848,6055,-576,
51-18025522-8,2019-12-01,7694,361,-200,
51-19326740-5,2019-12-01,5304,352,-8,
51-19326735-8,2019-12-01,4384,238,66,
51-19326735-8,2012-09-01,33253,1982,,
51-30963840-0,2012-09-01,19177,1121,330,
5Y-24001800-5,2012-09-01,89923,5448,-254,
51-19326740-5,2012-09-01,6179,373,94,
51-30963840-0,2012-07-01,37228,2225,-123,
51-18000200-K,2012-07-01,20583,1207,-778,
51-19326740-5,2012-07-01,5477,330,13,
51-19326735-8,2012-07-01,28771,1686,,
51-18025522-8,2012-07-01,6209,270,-512,
51-18000201-5,2012-07-01,547346,33367,,
51-18000100-6,2012-07-01,97641,5920,-311,
51-06329700-9,2012-07-01,186,14,-11,
5Y-24001800-5,2012-07-01,173260,10545,-9228,
5Y-24001800-5,2012-08-01,141574,8607,1141,
51-18000201-5,2020-02-01,240812,14619,-38668,-2365
51-18000201-5,2020-04-01,268133,16290,-16660,-1019
51-18000201-5,2020-11-01,365938,22272,48248,2951
51-18000201-5,2021-02-01,324214,19720,83402,5101
51-18025522-8,2020-10-01,34247,1985,26047,1593
51-18025522-8,2020-12-01,5274,213,-2420,-148
51-18025522-8,2021-01-01,4866,188,-588,-36
51-18025522-8,2021-05-01,7400,343,2648,162
51-18000200-K,2020-01-01,23788,1403,2321,142
51-18000200-K,2020-02-01,21384,1256,-2355,-144
51-18000200-K,2020-08-01,18475,1078,164,10
51-18000200-K,2020-11-01,25602,1514,-246,-15
51-18000200-K,2020-12-01,27385,1623,-1487,-91
51-18000200-K,2021-01-01,25995,1538,2207,135
51-18000200-K,2021-02-01,26796,1587,5412,331
51-18000200-K,2021-03-01,23346,1376,8551,523
51-18000200-K,2021-05-01,61114,3686,37097,2269
51-18000200-K,2021-10-01,22250,1309,1127,69
51-18000100-6,2020-02-01,77645,4697,-18621,-1139
51-18000100-6,2020-04-01,67083,4051,-17936,-1097
51-18000100-6,2020-10-01,59399,3581,9417,576
51-18000100-6,2020-12-01,125092,7599,25244,1544
51-18000100-6,2021-02-01,114710,6964,37065,2267
51-18000100-6,2021-03-01,36623,2188,19898,1217
51-18000100-6,2021-04-01,98524,5974,31441,1923
51-18000100-6,2021-05-01,109642,6654,24395,1492
51-18000100-6,2021-07-01,60950,3676,-45504,-2783
51-18000100-6,2021-10-01,19487,1140,-39912,-2441
5Y-24001800-5,2020-03-01,122457,7438,5673,347
5Y-24001800-5,2020-04-01,163396,9942,-5691,-348
5Y-24001800-5,2020-05-01,174156,10600,-11183,-684
5Y-24001800-5,2020-07-01,201165,12252,-45160,-2762
5Y-24001800-5,2020-09-01,120625,7326,16986,1039
5Y-24001800-5,2020-11-01,203341,12385,-73656,-4505
5Y-24001800-5,2021-02-01,159817,9723,2518,154
5Y-24001800-5,2021-04-01,142436,8660,-20960,-1282
5Y-24001800-5,2021-05-01,168367,10246,-5789,-354
51-03000800-2,2020-10-01,25599,1514,4921,301
51-03000800-2,2020-12-01,29654,1762,4742,290
51-03000800-2,2021-07-01,13616,781,-5361,-328
51-03000800-2,2021-08-01,11571,656,-11805,-722
51-03000800-2,2021-09-01,11425,647,-19849,-1214
51-30963840-0,2020-02-01,33170,1977,-4004,-245
51-30963840-0,2020-03-01,17980,1048,-2568,-157
51-30963840-0,2020-04-01,28233,1675,-4414,-270
51-30963840-0,2020-05-01,31616,1882,113,7
51-30963840-0,2020-06-01,39154,2343,2895,177
51-30963840-0,2020-10-01,25566,1512,-279,-17
51-30963840-0,2020-12-01,46887,2816,4742,290
51-30963840-0,2021-02-01,36799,2199,3629,222
51-30963840-0,2021-03-01,21365,1255,3385,207
51-30963840-0,2021-06-01,43060,2582,3906,239
51-30963840-0,2021-07-01,24929,1473,-13146,-804
51-19326740-5,2020-01-01,4756,315,267,18
51-19326740-5,2020-05-01,5958,396,1885,127
51-19326740-5,2020-07-01,6627,441,1069,72
51-19326740-5,2020-08-01,5795,385,936,63
51-19326740-5,2021-01-01,5350,355,594,40
51-19326740-5,2021-04-01,5172,343,-103,-7
51-19326740-5,2021-05-01,5691,378,-267,-18
51-19326740-5,2021-06-01,5543,368,-638,-43
51-19326740-5,2021-08-01,4116,272,-1679,-113
51-19326740-5,2021-10-01,5781,384,-325,-22
51-19326735-8,2020-01-01,2245,94,-1247,-84
51-19326735-8,2020-02-01,2259,95,356,24
51-19326735-8,2020-06-01,1244,25,-1193,-82
51-19326735-8,2020-08-01,5095,286,-3950,-266
51-19326735-8,2020-12-01,2289,97,-2095,-141
51-19326735-8,2021-02-01,2956,142,697,47
51-19326735-8,2021-03-01,4946,276,3087,208
51-19326735-8,2021-04-01,1348,33,-1550,-105
51-19326735-8,2021-07-01,1003,4,-35129,-2372
51-19326735-8,2021-08-01,1014,5,-4081,-281
51-19326735-8,2021-10-01,1023,6,-3256,-225
51-06329700-9,2020-02-01,210,16,-82,-6
51-06329700-9,2020-04-01,360,27,55,4
51-06329700-9,2020-06-01,320,24,15,1
51-06329700-9,2020-09-01,360,27,0,0
51-06329700-9,2020-10-01,305,23,0,0
51-06329700-9,2020-11-01,799,55,398,25
51-06329700-9,2021-03-01,387,29,13,1
51-06329700-9,2021-04-01,305,23,-55,-4
