水號,繳費年月,繳費金額,用水度數,同期增減金額,同期增減度數,序號,代碼,校區,供水區,水號.y,裝置日期,供水區說明
51-0632-9700-9,2008-06-01,308,23,,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2008-07-01,295,22,,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2008-08-01,268,20,,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2008-09-01,186,14,,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2008-10-01,241,18,,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2008-11-01,377,28,,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2008-12-01,241,18,,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2010-07-01,213,16,-5,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2010-08-01,268,20,-1,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2010-09-01,254,19,-2,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2010-10-01,241,18,-3,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2010-11-01,308,23,2,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2010-12-01,323,24,3,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2011-01-01,281,21,0,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2011-02-01,295,22,6,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2011-03-01,483,35,18,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2011-04-01,281,21,-3,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2011-05-01,336,25,5,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2011-06-01,308,23,8,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2011-07-01,336,25,9,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2011-08-01,241,18,-2,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2011-09-01,323,24,5,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2011-10-01,323,24,6,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2011-11-01,323,24,1,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2011-12-01,323,24,0,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2012-01-01,350,26,5,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2012-02-01,350,26,4,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2012-03-01,146,11,-24,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2012-04-01,173,13,-8,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2012-05-01,228,17,-8,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2012-06-01,186,14,-9,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2012-07-01,186,14,-11,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2012-08-01,268,20,2,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2012-09-01,228,17,-7,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2012-10-01,350,26,2,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2012-11-01,241,18,-6,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2012-12-01,281,21,-3,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2013-01-01,295,22,-4,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2013-02-01,420,31,5,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2013-03-01,323,24,13,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2013-04-01,268,20,7,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2013-05-01,308,23,6,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2013-06-01,254,19,5,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2013-07-01,295,22,8,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2013-08-01,268,20,0,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2013-09-01,173,13,-4,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2013-10-01,110,8,-18,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2013-11-01,281,21,3,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2013-12-01,254,19,-2,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2014-01-01,404,30,8,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2014-02-01,295,22,-9,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2014-04-01,210,16,-4,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2014-05-01,251,19,-4,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2014-06-01,238,18,-1,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2014-07-01,251,19,-3,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2014-08-01,225,17,-3,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2014-09-01,278,21,8,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2014-10-01,265,20,12,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2014-11-01,238,18,-3,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2014-12-01,305,23,4,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2015-01-01,305,23,-7,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2015-02-01,251,19,-3,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2015-03-01,210,16,-8,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2015-04-01,401,30,14,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2015-05-01,305,23,4,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2015-06-01,251,19,1,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2015-07-01,251,19,0,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2015-08-01,320,24,7,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2015-09-01,278,21,0,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2015-10-01,238,18,-2,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2015-11-01,374,28,10,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2015-12-01,432,32,9,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2016-01-01,265,20,-3,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2016-02-01,265,20,1,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2016-03-01,333,25,9,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2016-04-01,251,19,-11,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2016-05-01,401,30,7,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2016-06-01,278,21,2,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2016-07-01,305,23,4,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2016-08-01,387,29,5,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2016-09-01,292,22,1,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2016-10-01,374,28,10,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2016-11-01,333,25,-3,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2016-12-01,496,36,4,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2017-01-01,480,35,15,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2017-02-01,417,31,11,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2017-03-01,374,28,3,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2017-04-01,333,25,6,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2017-05-01,374,28,-2,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2017-06-01,346,26,5,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2017-07-01,360,27,4,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2017-08-01,265,20,-9,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2017-09-01,346,26,4,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2017-10-01,360,27,-1,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2017-11-01,305,23,-2,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2017-12-01,360,27,-9,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2018-01-01,333,25,-10,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2018-02-01,292,22,-9,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2018-03-01,387,29,1,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2018-04-01,224,17,-8,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2018-05-01,26,1,-27,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2018-06-01,26,1,-26,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2018-07-01,360,27,7,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2018-08-01,417,31,5,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2018-09-01,320,24,-3,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2018-10-01,333,25,2,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2018-11-01,401,30,3,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2019-01-01,333,25,0,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2019-02-01,292,22,0,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2019-03-01,448,33,4,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2019-04-01,305,23,6,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2019-05-01,333,25,24,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2019-06-01,305,23,22,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2019-07-01,183,14,13,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2019-08-01,251,19,-8,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2019-09-01,360,27,-4,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2019-10-01,305,23,-1,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2019-11-01,401,30,5,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2019-12-01,374,28,-2,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2020-01-01,305,23,-28,-2,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2020-02-01,210,16,-82,-6,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2020-03-01,374,28,-74,-5,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2020-04-01,360,27,55,4,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2020-05-01,360,27,27,2,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2020-06-01,320,24,15,1,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2020-07-01,360,27,177,13,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2020-08-01,305,23,54,4,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2020-09-01,360,27,0,0,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2020-10-01,305,23,0,0,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2020-11-01,799,55,398,25,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2020-12-01,448,33,74,5,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2021-01-01,278,21,-27,-2,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2021-02-01,292,22,82,6,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2021-03-01,387,29,13,1,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2021-04-01,305,23,-55,-4,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2021-05-01,305,23,-55,-4,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2021-06-01,278,21,-42,-3,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2021-07-01,346,26,-14,-1,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2021-08-01,333,25,28,2,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2021-09-01,320,24,-40,-3,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2021-10-01,320,24,15,1,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2021-11-01,292,22,,-33,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2021-12-01,333,25,,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2022-01-01,292,22,,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2022-02-01,265,20,,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2022-03-01,346,26,,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2022-04-01,305,23,,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2022-05-01,238,18,,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2022-06-01,15,0,,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2022-07-01,15,0,,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-0632-9700-9,2022-08-01,72,5,,,10,Z1,首長宿舍,其他,51063297009,"",忠義街首長宿舍用水
51-1800-0100-6,2008-01-01,117801,7153,,,4,A4,蘭潭,蘭潭宿舍區,51180001006,1984-1-14,學生2、3、5、6舍用水
51-1800-0100-6,2008-02-01,125467,7622,,,4,A4,蘭潭,蘭潭宿舍區,51180001006,1984-1-14,學生2、3、5、6舍用水
51-1800-0100-6,2008-03-01,48100,2890,,,4,A4,蘭潭,蘭潭宿舍區,51180001006,1984-1-14,學生2、3、5、6舍用水
51-1800-0100-6,2008-04-01,107548,6526,,,4,A4,蘭潭,蘭潭宿舍區,51180001006,1984-1-14,學生2、3、5、6舍用水
51-1800-0100-6,2008-05-01,99603,6040,,,4,A4,蘭潭,蘭潭宿舍區,51180001006,1984-1-14,學生2、3、5、6舍用水
51-1800-0100-6,2008-06-01,101648,6165,,,4,A4,蘭潭,蘭潭宿舍區,51180001006,1984-1-14,學生2、3、5、6舍用水
51-1800-0100-6,2008-07-01,107827,6543,,,4,A4,蘭潭,蘭潭宿舍區,51180001006,1984-1-14,學生2、3、5、6舍用水
51-1800-0100-6,2008-08-01,63845,3853,,,4,A4,蘭潭,蘭潭宿舍區,51180001006,1984-1-14,學生2、3、5、6舍用水
51-1800-0100-6,2008-09-01,24540,1449,,,4,A4,蘭潭,蘭潭宿舍區,51180001006,1984-1-14,學生2、3、5、6舍用水
51-1800-0100-6,2008-10-01,36280,2167,,,4,A4,蘭潭,蘭潭宿舍區,51180001006,1984-1-14,學生2、3、5、6舍用水
51-1800-0100-6,2008-11-01,112961,6857,,,4,A4,蘭潭,蘭潭宿舍區,51180001006,1984-1-14,學生2、3、5、6舍用水
51-1800-0100-6,2008-12-01,119599,7263,,,4,A4,蘭潭,蘭潭宿舍區,51180001006,1984-1-14,學生2、3、5、6舍用水
51-1800-0100-6,2009-01-01,12161,7386,,,4,A4,蘭潭,蘭潭宿舍區,51180001006,1984-1-14,學生2、3、5、6舍用水
51-1800-0100-6,2009-02-01,133969,8142,,,4,A4,蘭潭,蘭潭宿舍區,51180001006,1984-1-14,學生2、3、5、6舍用水
51-1800-0100-6,2009-03-01,54215,1872,,,4,A4,蘭潭,蘭潭宿舍區,51180001006,1984-1-14,學生2、3、5、6舍用水
51-1800-0100-6,2009-04-01,103151,6257,,,4,A4,蘭潭,蘭潭宿舍區,51180001006,1984-1-14,學生2、3、5、6舍用水
51-1800-0100-6,2009-05-01,108137,6562,,,4,A4,蘭潭,蘭潭宿舍區,51180001006,1984-1-14,學生2、3、5、6舍用水
51-1800-0100-6,2009-06-01,116690,7085,,,4,A4,蘭潭,蘭潭宿舍區,51180001006,1984-1-14,學生2、3、5、6舍用水
51-1800-0100-6,2009-07-01,123130,7479,,,4,A4,蘭潭,蘭潭宿舍區,51180001006,1984-1-14,學生2、3、5、6舍用水
51-1800-0100-6,2009-08-01,43881,2632,,,4,A4,蘭潭,蘭潭宿舍區,51180001006,1984-1-14,學生2、3、5、6舍用水
51-1800-0100-6,2009-09-01,23477,1384,,,4,A4,蘭潭,蘭潭宿舍區,51180001006,1984-1-14,學生2、3、5、6舍用水
51-1800-0100-6,2009-10-01,22399,1318,,,4,A4,蘭潭,蘭潭宿舍區,51180001006,1984-1-14,學生2、3、5、6舍用水
51-1800-0100-6,2009-11-01,90544,5486,,,4,A4,蘭潭,蘭潭宿舍區,51180001006,1984-1-14,學生2、3、5、6舍用水
51-1800-0100-6,2009-12-01,102055,6190,,,4,A4,蘭潭,蘭潭宿舍區,51180001006,1984-1-14,學生2、3、5、6舍用水
51-1800-0100-6,2010-01-01,122656,7450,,,4,A4,蘭潭,蘭潭宿舍區,51180001006,1984-1-14,學生2、3、5、6舍用水
51-1800-0100-6,2010-02-01,100698,6107,,,4,A4,蘭潭,蘭潭宿舍區,51180001006,1984-1-14,學生2、3、5、6舍用水
51-1800-0100-6,2010-03-01,56521,3405,,,4,A4,蘭潭,蘭潭宿舍區,51180001006,1984-1-14,學生2、3、5、6舍用水
51-1800-0100-6,2010-04-01,86605,5245,,,4,A4,蘭潭,蘭潭宿舍區,51180001006,1984-1-14,學生2、3、5、6舍用水
51-1800-0100-6,2010-05-01,96659,5860,,,4,A4,蘭潭,蘭潭宿舍區,51180001006,1984-1-14,學生2、3、5、6舍用水
51-1800-0100-6,2010-06-01,116475,7072,,,4,A4,蘭潭,蘭潭宿舍區,51180001006,1984-1-14,學生2、3、5、6舍用水
51-1800-0100-6,2010-07-01,113009,6860,-590,,4,A4,蘭潭,蘭潭宿舍區,51180001006,1984-1-14,學生2、3、5、6舍用水
51-1800-0100-6,2010-08-01,62929,3797,-3653,,4,A4,蘭潭,蘭潭宿舍區,51180001006,1984-1-14,學生2、3、5、6舍用水
51-1800-0100-6,2010-09-01,22561,1328,-6122,,4,A4,蘭潭,蘭潭宿舍區,51180001006,1984-1-14,學生2、3、5、6舍用水
51-1800-0100-6,2010-10-01,34775,2075,-5375,,4,A4,蘭潭,蘭潭宿舍區,51180001006,1984-1-14,學生2、3、5、6舍用水
51-1800-0100-6,2010-11-01,98114,5949,-1501,,4,A4,蘭潭,蘭潭宿舍區,51180001006,1984-1-14,學生2、3、5、6舍用水
51-1800-0100-6,2010-12-01,107680,6534,-916,,4,A4,蘭潭,蘭潭宿舍區,51180001006,1984-1-14,學生2、3、5、6舍用水
51-1800-0100-6,2011-01-01,95629,5797,-1653,,4,A4,蘭潭,蘭潭宿舍區,51180001006,1984-1-14,學生2、3、5、6舍用水
51-1800-0100-6,2011-02-01,107941,6550,443,,4,A4,蘭潭,蘭潭宿舍區,51180001006,1984-1-14,學生2、3、5、6舍用水
